link_id,order_count,occurrence_count,connector_distance_m,oneway_code,connector_semantics,semantic_group,reviewer_id,review_status,direction_correct,level_transition_correct,ramp_or_terminal_evidence,major_error,data_limitation,comments
grade_transition_connector__2167,73,86,0.0,F,"('1', True, False)->('2', True, False)|trunk->trunk","('1', True, False)->('2', True, False)|trunk->trunk",,pending,,,,,,
grade_transition_connector__2169,73,86,0.0,T,"('2', True, False)->('1', True, False)|trunk->trunk","('2', True, False)->('1', True, False)|trunk->trunk",,pending,,,,,,
grade_transition_connector__466,55,72,0.0,T,"('0', False, False)->('1', True, False)|primary->primary","('0', False, False)->('1', True, False)|primary->primary",,pending,,,,,,
grade_transition_connector__1445,46,58,0.0,B,"('1', True, False)->('0', False, False)|primary->primary","('1', True, False)->('0', False, False)|primary->primary",,pending,,,,,,
grade_transition_connector__1444,43,46,0.0,F,"('1', True, False)->('0', False, False)|trunk->trunk||('1', True, False)->('0', False, False)|trunk_link->trunk","('1', True, False)->('0', False, False)|trunk->trunk||('1', True, False)->('0', False, False)|trunk_link->trunk",,pending,,,,,,
grade_transition_connector__2212,43,46,0.0,T,"('1', True, False)->('2', True, False)|trunk->trunk||('2', True, False)->('1', True, False)|trunk->trunk_link","('1', True, False)->('2', True, False)|trunk->trunk||('2', True, False)->('1', True, False)|trunk->trunk_link",,pending,,,,,,
grade_transition_connector__2214,43,46,0.0,F,"('2', True, False)->('1', True, False)|trunk->trunk||('2', True, False)->('1', True, False)|trunk->trunk_link","('2', True, False)->('1', True, False)|trunk->trunk||('2', True, False)->('1', True, False)|trunk->trunk_link",,pending,,,,,,
grade_transition_connector__465,43,83,0.0,F,"('0', False, False)->('1', True, False)|primary->primary","('0', False, False)->('1', True, False)|primary->primary",,pending,,,,,,
grade_transition_connector__470,41,41,0.0,T,"('0', False, False)->('1', False, False)|trunk->trunk","('0', False, False)->('1', False, False)|trunk->trunk",,pending,,,,,,
grade_transition_connector__645,41,42,0.0,T,"('0', False, False)->('1', True, False)|primary->primary","('0', False, False)->('1', True, False)|primary->primary",,pending,,,,,,
grade_transition_connector__648,41,42,0.0,T,"('0', False, False)->('0', False, True)|primary->primary","('0', False, False)->('0', False, True)|primary->primary",,pending,,,,,,
grade_transition_connector__649,41,42,0.0,F,"('1', True, False)->('0', False, False)|primary->primary","('1', True, False)->('0', False, False)|primary->primary",,pending,,,,,,
grade_transition_connector__659,41,42,0.0,F,"('0', False, True)->('0', False, False)|primary->primary","('0', False, True)->('0', False, False)|primary->primary",,pending,,,,,,
grade_transition_connector__680,40,42,0.0,T,"('0', False, False)->('0', False, True)|secondary->primary_link","('0', False, False)->('0', False, True)|secondary->primary_link",,pending,,,,,,
grade_transition_connector__681,40,42,0.0,F,"('0', False, False)->('0', False, True)|secondary->primary_link","('0', False, False)->('0', False, True)|secondary->primary_link",,pending,,,,,,
grade_transition_connector__1502,39,39,0.0,T,"('1', False, False)->('0', False, False)|trunk->trunk||('1', False, False)->('0', False, False)|trunk_link->trunk","('1', False, False)->('0', False, False)|trunk->trunk||('1', False, False)->('0', False, False)|trunk_link->trunk",,pending,,,,,,
grade_transition_connector__58,39,39,0.0,B,"('0', False, False)->('-1', False, True)|primary->primary","('0', False, False)->('-1', False, True)|primary->primary",,pending,,,,,,
grade_transition_connector__59,39,40,0.0,B,"('-1', False, True)->('0', False, False)|primary->primary","('-1', False, True)->('0', False, False)|primary->primary",,pending,,,,,,
grade_transition_connector__678,38,39,0.0,T,"('0', False, True)->('0', False, False)|primary_link->secondary","('0', False, True)->('0', False, False)|primary_link->secondary",,pending,,,,,,
grade_transition_connector__679,38,39,0.0,F,"('0', False, True)->('0', False, False)|primary_link->secondary","('0', False, True)->('0', False, False)|primary_link->secondary",,pending,,,,,,
grade_transition_connector__100,14,14,0.0,B,"('-1', False, True)->('0', False, False)|primary->primary","('-1', False, True)->('0', False, False)|primary->primary",,pending,,,,,,
grade_transition_connector__1388,6,6,0.0,T,"('0', False, False)->('1', True, False)|secondary->secondary","('0', False, False)->('1', True, False)|secondary->secondary",,pending,,,,,,
grade_transition_connector__1389,1,1,0.0,T,"('0', False, False)->('1', True, False)|primary->primary","('0', False, False)->('1', True, False)|primary->primary",,pending,,,,,,
grade_transition_connector__1393,5,5,0.0,F,"('0', False, False)->('1', True, False)|primary->primary","('0', False, False)->('1', True, False)|primary->primary",,pending,,,,,,
grade_transition_connector__1394,9,9,0.0,F,"('0', False, False)->('1', True, False)|secondary->secondary","('0', False, False)->('1', True, False)|secondary->secondary",,pending,,,,,,
grade_transition_connector__1423,6,6,0.0,F,"('1', True, False)->('0', False, False)|secondary->secondary","('1', True, False)->('0', False, False)|secondary->secondary",,pending,,,,,,
grade_transition_connector__1424,9,9,0.0,T,"('1', True, False)->('0', False, False)|secondary->secondary","('1', True, False)->('0', False, False)|secondary->secondary",,pending,,,,,,
grade_transition_connector__1425,1,1,0.0,F,"('1', True, False)->('0', False, False)|primary->primary","('1', True, False)->('0', False, False)|primary->primary",,pending,,,,,,
grade_transition_connector__1426,5,5,0.0,T,"('1', True, False)->('0', False, False)|primary->primary","('1', True, False)->('0', False, False)|primary->primary",,pending,,,,,,
grade_transition_connector__1427,35,44,0.0,B,"('0', False, False)->('1', True, False)|primary->primary","('0', False, False)->('1', True, False)|primary->primary",,pending,,,,,,
grade_transition_connector__1428,7,7,0.0,F,"('0', False, False)->('1', False, False)|service->service","('0', False, False)->('1', False, False)|service->service",,pending,,,,,,
grade_transition_connector__1429,34,34,0.0,F,"('0', False, False)->('1', True, False)|trunk->trunk||('0', False, False)->('1', True, False)|trunk->trunk_link","('0', False, False)->('1', True, False)|trunk->trunk||('0', False, False)->('1', True, False)|trunk->trunk_link",,pending,,,,,,
grade_transition_connector__1430,35,35,0.0,T,"('0', False, False)->('1', True, False)|trunk->trunk||('0', False, False)->('1', True, False)|trunk->trunk_link","('0', False, False)->('1', True, False)|trunk->trunk||('0', False, False)->('1', True, False)|trunk->trunk_link",,pending,,,,,,
grade_transition_connector__1431,7,7,0.0,T,"('1', False, False)->('0', False, False)|service->service","('1', False, False)->('0', False, False)|service->service",,pending,,,,,,
grade_transition_connector__1433,18,21,0.0,T,"('0', False, False)->('1', False, False)|service->service","('0', False, False)->('1', False, False)|service->service",,pending,,,,,,
grade_transition_connector__1436,18,21,0.0,F,"('1', False, False)->('0', False, False)|service->service","('1', False, False)->('0', False, False)|service->service",,pending,,,,,,
grade_transition_connector__1440,31,49,0.0,T,"('1', True, False)->('0', False, False)|trunk->trunk||('1', True, False)->('0', False, False)|trunk_link->trunk","('1', True, False)->('0', False, False)|trunk->trunk||('1', True, False)->('0', False, False)|trunk_link->trunk",,pending,,,,,,
grade_transition_connector__1441,23,23,0.0,F,"('0', False, False)->('1', False, False)|trunk->trunk","('0', False, False)->('1', False, False)|trunk->trunk",,pending,,,,,,
grade_transition_connector__1442,23,23,0.0,T,"('0', False, False)->('1', False, False)|trunk->trunk","('0', False, False)->('1', False, False)|trunk->trunk",,pending,,,,,,
