date,order_id,route_link_count,route_transition_count,direction_gap_count,direction_gap_share,all_gaps_bridgeable,maximum_bridge_distance_m,maximum_bridge_link_count,interpolated_link_count,interpolated_link_share,interpolated_distance_m,interpolated_distance_share,matched_route_length_m,route_length_ratio,u_turn_count,repeated_link_count,repeated_link_share,mean_match_confidence,fallback_point_share,matcher_version,gps_length_m,unreasonable_detour_count,p50_projection_distance_m,p90_projection_distance_m,p95_projection_distance_m,origin_projection_error_m,destination_projection_error_m,core_direction_continuous,core_no_unreasonable_detour,core_fallback_share_ok,core_projection_ok,core_route_length_ratio_ok,core_interpolation_ok,core_origin_error_ok,core_destination_error_ok,core_confidence_ok,core_u_turn_ok,core_repeated_link_ok,core_all_thresholds_pass,core_route_link_count_ok,extended_direction_continuous,extended_no_unreasonable_detour,extended_fallback_share_ok,extended_projection_ok,extended_route_length_ratio_ok,extended_interpolation_ok,extended_origin_error_ok,extended_destination_error_ok,extended_confidence_ok,extended_u_turn_ok,extended_repeated_link_ok,extended_all_thresholds_pass,extended_route_link_count_ok,route_quality_class,formal_training_eligible,robustness_only_eligible,quality_reason,contains_bridge,contains_tunnel,contains_nonzero_layer,maximum_route_node_degree,road_context_stratum,confidence_band,distance_band,route_feature_stratum,sampling_stratum,reviewer_id,review_status,route_correct,major_error,minor_error,wrong_road_level,wrong_direction,wrong_parallel_road,wrong_bridge_or_tunnel,unreasonable_detour,od_endpoint_error,comments
20161019,054b78abd56ad5d181c2addbabc46ca5,56,55,0,0.0,False,,,18,0.32142857142857145,1231.5688150148035,0.16885583510147706,7293.611229216149,1.401229778572148,6,1,0.017857142857142856,0.6137455546474735,0.0,hmm_viterbi,5205.150033742741,2,3.882097538114312,11.789227429746399,14.709461982750614,3.9082371772042945,3.9988469723882485,True,False,True,True,True,True,True,True,True,False,True,False,True,True,False,True,True,True,True,True,True,True,False,True,False,True,rejected,False,False,unreasonable_detour_detected,False,True,True,7,tunnel,mid_low,long,detour,rejected|mid_low|long|detour|tunnel,,pending,,,,,,,,,,
20161020,93798d5289efb8f63d56eef22a143989,2,1,0,0.0,False,,,0,0.0,0.0,0.0,509.21988973665316,1.2241944091066175,0,0,0.0,0.8335164024737562,0.0,hmm_viterbi,415.9632538334066,0,2.7630585858622894,4.754633613359565,4.841526297151316,4.9312197794645485,2.308590164400718,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,core,True,False,fully_directed_continuous_and_quality_thresholds_passed,False,False,False,4,ordinary_road,high,short,ordinary,core|high|short|ordinary|ordinary_road,,pending,,,,,,,,,,
20161019,c7bc1f08199874a2e96ef2ebec921077,79,78,2,0.02564102564102564,False,,,29,0.3670886075949367,2395.5602065471126,0.19429477616780588,12329.51422470642,1.818407333850825,8,5,0.06329113924050633,0.4678229620214327,0.0,hmm_viterbi,6780.391827059077,3,5.390855901892347,10.163880249671056,13.445992046353993,15.984529006491282,6.34993145214602,False,False,True,True,True,True,True,True,True,False,True,False,True,True,False,True,True,True,True,True,True,True,False,True,False,True,rejected,False,False,unbridgeable_direction_gap,True,False,True,4,bridge,low,long,detour,rejected|low|long|detour|bridge,,pending,,,,,,,,,,
20161019,1639ea419a7690c4e24dd82447d64343,3,2,0,0.0,False,,,1,0.3333333333333333,32.10971073910317,0.04344663093504173,739.0610053771786,4.669820616351048,0,0,0.0,0.5442653576337478,0.0,hmm_viterbi,158.26325379381996,0,2.7253615673939167,3.067735097130474,3.1462585306484017,2.9042845894153633,3.217688556037671,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,False,True,rejected,False,False,route_length_ratio_threshold_failure,False,False,False,4,ordinary_road,low,short,ordinary,rejected|low|short|ordinary|ordinary_road,,pending,,,,,,,,,,
20161020,f52e4108e01a6a8f7cf801dabc287ef1,43,42,0,0.0,False,,,11,0.2558139534883721,45.89594763645386,0.014288875349400418,3212.005599753498,1.091747948145767,6,1,0.023255813953488372,0.7333533854732673,0.0,hmm_viterbi,2942.0761497274098,0,5.097286247342417,7.318413163457108,7.345787075600823,5.878550368877478,0.917020936454842,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,False,True,False,True,rejected,False,False,u_turn_detected,True,True,True,5,bridge,mid_high,medium,u_turn,rejected|mid_high|medium|u_turn|bridge,,pending,,,,,,,,,,
20161020,f49883b936500cfee19fddb8deebc4e9,10,9,0,0.0,False,,,0,0.0,0.0,0.0,2027.4511270243042,1.2079177828991827,0,0,0.0,0.9081591593542049,0.0,hmm_viterbi,1678.467819356148,0,0.9308717057251795,3.766629278559366,4.412033699055517,0.8932535664456555,0.23938245592382668,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,core,True,False,fully_directed_continuous_and_quality_thresholds_passed,False,False,False,5,ordinary_road,high,short,ordinary,core|high|short|ordinary|ordinary_road,,pending,,,,,,,,,,
20161022,4d5ba116f09ce9b1c9ab60805eb76561,77,76,0,0.0,False,,,49,0.6363636363636364,2857.5675088316393,0.43532610878174627,6564.19969118898,2.5874459059451795,8,17,0.22077922077922077,0.34156539280004855,0.0,hmm_viterbi,2536.941806631167,4,13.165827540662672,15.033311624795006,15.066348833926785,9.660224110139028,3.0656045406042534,True,False,True,True,False,True,True,True,False,False,False,False,True,True,False,True,True,True,True,True,True,True,False,True,False,True,rejected,False,False,route_length_ratio_threshold_failure,True,True,True,4,bridge,low,medium,detour,rejected|low|medium|detour|bridge,,pending,,,,,,,,,,
20161020,3825af03bd4a3fad1d05bcf2a300b0db,61,60,0,0.0,False,,,12,0.19672131147540983,808.9350988870323,0.10739805403222301,7532.120634553813,1.174090045018678,3,2,0.03278688524590164,0.6890892722580462,0.0,hmm_viterbi,6415.283620289948,1,3.264638752477107,12.680416857029337,15.299550248732196,0.13235377459190598,4.864633611770889,True,False,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,False,True,False,True,rejected,False,False,unreasonable_detour_detected,True,True,True,4,bridge,mid_high,long,detour,rejected|mid_high|long|detour|bridge,,pending,,,,,,,,,,
20161022,23de2cd59dc55cc7638668f3aef7cc1f,94,93,0,0.0,False,,,50,0.5319148936170213,2606.7421331419387,0.2691632202395504,9684.61489954677,1.5922594057482728,9,2,0.02127659574468085,0.46026214549186595,0.0,hmm_viterbi,6082.309744620754,4,5.766281366575611,12.569670120120346,13.917648249514285,3.7527434207585406,1.4353708564492407,True,False,True,True,True,True,True,True,True,False,True,False,True,True,False,True,True,True,True,True,True,True,False,True,False,True,rejected,False,False,unreasonable_detour_detected,True,True,True,7,bridge,low,long,detour,rejected|low|long|detour|bridge,,pending,,,,,,,,,,
20161020,8567c99bf628b23001a1fc2f0d5ca736,45,44,0,0.0,False,,,20,0.4444444444444444,1464.5129872291552,0.18274885065843527,8013.801356082874,1.952579571102321,5,10,0.2222222222222222,0.33106970896952115,0.0,hmm_viterbi,4104.212435019339,3,7.080707622994008,24.048186181012017,24.048186181012017,2.3904084315159917,42.715660325670136,True,False,True,True,True,True,True,True,False,False,False,False,True,True,False,True,True,True,True,True,True,True,False,True,False,True,rejected,False,False,unreasonable_detour_detected,False,True,True,5,tunnel,low,medium,detour,rejected|low|medium|detour|tunnel,,pending,,,,,,,,,,
