date,order_id,transition_index,from_link_id,to_link_id,bridge_found,bridge_repairable,bridge_distance_m,bridge_link_count,bridge_node_path,bridge_reason
20161023,0f7533ef6be0cfb8481c22ee575f8dcf,26,263485691_8790__n0,26174011_2565__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,27cb35cc1df418593b1dd8f7cddf1870,9,381473924_2493__n0,162532761_2422__n1,False,False,,,,no_directed_path_within_distance_cap
20161023,2851a1026f486cdd1b613d6fde12434a,2,457983480_10346__n0,457983472_10329__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,31fb79b415b91514cb72b07fed464ff1,22,231866359_9034__n0,378402213_9030__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,3ec6147c7374ef4928278b5c6b81635c,3,152427987_2576__n0,152427999_2561__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,3fd895f0d67e5d9329328ea0d65d7232,6,152427987_2576__n0,152427999_2561__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,4cdfa8c393227dda1ddf1153c7117f4e,13,152427995_2559__n0,152427999_2561__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,4cdfa8c393227dda1ddf1153c7117f4e,33,264453197_8806__n0,155248440_8810__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,5165dcd2b1cad3453dd52a085c7d1546,14,156592804_10093__n0,28258015_10091__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,54a3e803dce4754d673bb5610d27dc5d,8,335513936_2221__n1,162532933_2408__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,54a3e803dce4754d673bb5610d27dc5d,15,381473318_2414__n0,162532761_2422__n1,False,False,,,,no_directed_path_within_distance_cap
20161023,54a3e803dce4754d673bb5610d27dc5d,18,162532761_2422__n1,162532768_2499__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,62bd5eae4aa546e35557b8a5ba0f3397,9,335513936_2221__n1,162532933_2408__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,655df8870068833599357e1706e5e31e,48,381473315_2421__n0,162532761_2422__n1,False,False,,,,no_directed_path_within_distance_cap
20161023,659e84832876ac498a49760fe8e686ff,41,162540382_2656__n0,152428519_2370__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,697d0e5327cbae2ab2e68e0f057625d6,2,457983480_10346__n0,457983473_10345__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,721816545fd525ce75157e1f0260d538,27,266583962_9032__n0,267213557_9010__n1,False,False,,,,no_directed_path_within_distance_cap
20161023,7803161360654874583fa2d282847acf,52,369790064_4622__n0,263773394_4625__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,7ac39da74972fb22c983c5e8274e1756,10,335513936_2221__n1,162532933_2408__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,827467e07005a2ac944b5eaad8816c00,3,457983480_10346__n0,457983472_10329__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,84a541f30e686d6e280449989075cf98,12,369790064_4622__n0,263773394_4625__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,a32c45f6f3b655c5ee3a445db576d9e6,58,89567417_2568__n0,258738678_2548__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,a979ad03aaa85302111cd5a49d054655,43,89567417_2568__n0,258738678_2548__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,aefdcf52acbfb3b9ef8a97966fe28142,48,28258926_2311__n0,258738678_2548__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,b7c2516ce59b79b7866eeae714e9c349,8,266583975_10026__n0,156592802_10050__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,ba1b72c79d5e356039130b288f9a26fd,47,263485691_8790__n0,26174011_2565__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,d1174f0d27c120ea1b3f76a5ab40b91e,30,263486156_2564__n0,152427999_2561__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,d144b1872580be2f0ecdc03ab5e2bea4,10,142323461_8750__n1,247978424_8762__n1,False,False,,,,no_directed_path_within_distance_cap
20161023,e23c021a837d8a88591c0fd8c61ae9c0,1,142320577_2424__n2,152428516_2373__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,e54382408f0e6259b0d94b7c05f8c49e,38,156593889_8906__n0,335697685_8881__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,01914e42cd1199b9e45e5551abf04f1b,37,369790064_4622__n0,369790065_4624__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,0915a2b16af4419e420d28e78cfb237e,12,258738667_2572__n1,28340417_2566__n3,False,False,,,,no_directed_path_within_distance_cap
20161023,11190bf27e44c5813d3186815bb81718,11,89567417_2568__n0,258738678_2548__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,16eb5495b08b54c39d40f830aa51258e,13,381473318_2414__n0,162532761_2422__n1,False,False,,,,no_directed_path_within_distance_cap
20161023,16eb5495b08b54c39d40f830aa51258e,14,162532761_2422__n1,162542043_2415__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,16eb5495b08b54c39d40f830aa51258e,37,381473317_2629__n0,152428520_2634__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,16eb5495b08b54c39d40f830aa51258e,38,152428520_2634__n0,162542042_2628__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,1bd24437409a4a9600a72a063500c9c0,19,152427991_2563__n0,26174011_2565__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,1bd24437409a4a9600a72a063500c9c0,47,162540382_2656__n0,28340415_2395__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,2fe989cba5f2175c68358287826a631e,13,335513936_2221__n1,162532933_2408__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,304a2d0b57db0d0e5892091fcb1e2a4f,42,162532765_2419__n4,162542042_2628__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,49114c24905a87124926246da1cf0c1f,1,255201450_10351__n0,457983472_10329__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,4c2951d171dd09285301e9fa1bcf3010,7,162540382_2656__n0,152428519_2370__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,50276b2dee02f9da36bbdabc7b799fb8,51,263486156_2564__n0,152427999_2561__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,510579e665acf5f90e56c90ccc2efb35,45,264453197_8806__n0,155248440_8810__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,5c4e266f779ca7cc4b56ad40f3f58769,32,89567417_2568__n0,258738678_2548__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,76a962d1da606abe7227e0c337a3db6a,49,231866355_9013__n0,267213557_9010__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,7cefb033761fb82169aa992da553f34f,19,266583962_9032__n0,267213557_9010__n1,False,False,,,,no_directed_path_within_distance_cap
20161023,7cefb033761fb82169aa992da553f34f,42,152427987_2576__n0,152427999_2561__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,97dfe77c39d5fa81b722a820c37edabd,35,264453197_8806__n0,155248440_8810__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,b7ebcad5292280ce01734ec4c34e25e9,8,334648916_2386__n1,152428519_2370__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,b7ebcad5292280ce01734ec4c34e25e9,11,152428516_2373__n1,152428516_2373__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,bc003d76091e74828ea30a15ff9600a3,15,28258926_2311__n0,258738678_2548__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,dbcf6cd3882a729ea78d827ff0199e5b,44,369790064_4622__n0,369790065_4624__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,dc8b7ea014a05b048a8dd6844b7300af,3,335513936_2221__n1,162532933_2408__n0,False,False,,,,no_directed_path_within_distance_cap
