date,condition_name,condition_type,orders,single_condition_failure_orders,single_condition_failure_rate,unique_failure_orders,joint_failure_orders,strict_core_candidates,analysis_set_candidates
20161019,direction_continuous,hard,982,162,0.164969450101833,5,157,160,176
20161019,no_unreasonable_detour,hard,982,371,0.37780040733197556,20,351,160,176
20161019,fallback_share,soft,982,0,0.0,0,0,160,176
20161019,p90_projection_distance,soft,982,0,0.0,0,0,160,176
20161019,route_length_ratio,soft,982,60,0.06109979633401222,12,48,160,176
20161019,interpolated_distance_share,soft,982,18,0.018329938900203666,0,18,160,176
20161019,origin_endpoint_error,hard,982,0,0.0,0,0,160,176
20161019,destination_endpoint_error,hard,982,0,0.0,0,0,160,176
20161019,match_confidence,soft,982,45,0.045824847250509164,1,44,160,176
20161019,u_turn,hard,982,752,0.7657841140529531,359,393,160,176
20161019,repeated_link_share,soft,982,56,0.05702647657841141,1,55,160,176
20161019,minimum_route_links,hard,982,12,0.012219959266802444,4,8,160,176
20161020,direction_continuous,hard,990,162,0.16363636363636364,9,153,159,169
20161020,no_unreasonable_detour,hard,990,375,0.3787878787878788,16,359,159,169
20161020,fallback_share,soft,990,0,0.0,0,0,159,169
20161020,p90_projection_distance,soft,990,0,0.0,0,0,159,169
20161020,route_length_ratio,soft,990,64,0.06464646464646465,10,54,159,169
20161020,interpolated_distance_share,soft,990,16,0.01616161616161616,0,16,159,169
20161020,origin_endpoint_error,hard,990,0,0.0,0,0,159,169
20161020,destination_endpoint_error,hard,990,0,0.0,0,0,159,169
20161020,match_confidence,soft,990,37,0.03737373737373737,0,37,159,169
20161020,u_turn,hard,990,764,0.7717171717171717,355,409,159,169
20161020,repeated_link_share,soft,990,71,0.07171717171717172,0,71,159,169
20161020,minimum_route_links,hard,990,17,0.01717171717171717,4,13,159,169
20161022,direction_continuous,hard,982,167,0.17006109979633402,5,162,131,144
20161022,no_unreasonable_detour,hard,982,376,0.38289205702647655,13,363,131,144
20161022,fallback_share,soft,982,0,0.0,0,0,131,144
20161022,p90_projection_distance,soft,982,0,0.0,0,0,131,144
20161022,route_length_ratio,soft,982,64,0.06517311608961303,10,54,131,144
20161022,interpolated_distance_share,soft,982,20,0.020366598778004074,0,20,131,144
20161022,origin_endpoint_error,hard,982,0,0.0,0,0,131,144
20161022,destination_endpoint_error,hard,982,0,0.0,0,0,131,144
20161022,match_confidence,soft,982,39,0.03971486761710794,1,38,131,144
20161022,u_turn,hard,982,792,0.8065173116089613,371,421,131,144
20161022,repeated_link_share,soft,982,82,0.0835030549898167,1,81,131,144
20161022,minimum_route_links,hard,982,19,0.019348268839103868,6,13,131,144
20161023,direction_continuous,hard,984,169,0.1717479674796748,6,163,139,154
20161023,no_unreasonable_detour,hard,984,397,0.4034552845528455,14,383,139,154
20161023,fallback_share,soft,984,0,0.0,0,0,139,154
20161023,p90_projection_distance,soft,984,0,0.0,0,0,139,154
20161023,route_length_ratio,soft,984,64,0.06504065040650407,13,51,139,154
20161023,interpolated_distance_share,soft,984,17,0.017276422764227643,0,17,139,154
20161023,origin_endpoint_error,hard,984,0,0.0,0,0,139,154
20161023,destination_endpoint_error,hard,984,0,0.0,0,0,139,154
20161023,match_confidence,soft,984,40,0.04065040650406504,0,40,139,154
20161023,u_turn,hard,984,778,0.790650406504065,342,436,139,154
20161023,repeated_link_share,soft,984,71,0.07215447154471545,2,69,139,154
20161023,minimum_route_links,hard,984,16,0.016260162601626018,5,11,139,154
ALL,direction_continuous,hard,3938,660,0.16759776536312848,25,635,589,643
ALL,no_unreasonable_detour,hard,3938,1519,0.38572879634332147,63,1456,589,643
ALL,fallback_share,soft,3938,0,0.0,0,0,589,643
ALL,p90_projection_distance,soft,3938,0,0.0,0,0,589,643
ALL,route_length_ratio,soft,3938,252,0.06399187404773997,45,207,589,643
ALL,interpolated_distance_share,soft,3938,71,0.01802945657694261,0,71,589,643
ALL,origin_endpoint_error,hard,3938,0,0.0,0,0,589,643
ALL,destination_endpoint_error,hard,3938,0,0.0,0,0,589,643
ALL,match_confidence,soft,3938,161,0.040883697308278316,2,159,589,643
ALL,u_turn,hard,3938,3086,0.7836465210766886,1427,1659,589,643
ALL,repeated_link_share,soft,3938,280,0.07110208227526663,4,276,589,643
ALL,minimum_route_links,hard,3938,64,0.016251904520060943,19,45,589,643
