split,dimension,reason,count
test,lcs,DISCONTINUOUS_DIRECT_WINDOW,45987
test,lcs,IMPOSSIBLE_DIRECT_ACCELERATION,28
test,lcs,INSUFFICIENT_DIRECT_DISTANCE,85
test,lcs,INSUFFICIENT_DIRECT_INTERVALS,413085
test,lcs,INSUFFICIENT_DIRECT_TIME,11
test,rts,DISCONTINUOUS_DIRECT_WINDOW,50988
test,rts,INSUFFICIENT_DIRECT_DISTANCE,3618
test,rts,INSUFFICIENT_DIRECT_TIME,5006
train,lcs,DISCONTINUOUS_DIRECT_WINDOW,263646
train,lcs,IMPOSSIBLE_DIRECT_ACCELERATION,141
train,lcs,INSUFFICIENT_DIRECT_DISTANCE,525
train,lcs,INSUFFICIENT_DIRECT_INTERVALS,2233248
train,lcs,INSUFFICIENT_DIRECT_TIME,49
train,rts,DISCONTINUOUS_DIRECT_WINDOW,293081
train,rts,INSUFFICIENT_DIRECT_DISTANCE,19835
train,rts,INSUFFICIENT_DIRECT_TIME,27125
validation,lcs,DISCONTINUOUS_DIRECT_WINDOW,51929
validation,lcs,IMPOSSIBLE_DIRECT_ACCELERATION,24
validation,lcs,INSUFFICIENT_DIRECT_DISTANCE,102
validation,lcs,INSUFFICIENT_DIRECT_INTERVALS,407935
validation,lcs,INSUFFICIENT_DIRECT_TIME,2
validation,rts,DISCONTINUOUS_DIRECT_WINDOW,57644
validation,rts,INSUFFICIENT_DIRECT_DISTANCE,3981
validation,rts,INSUFFICIENT_DIRECT_TIME,5155
