split,metric,coverage_bin,count
test,observed_distance_share,"(0.25,0.5]",6075
test,observed_distance_share,"(0.5,0.75]",23492
test,observed_distance_share,"(0.75,1]",356
test,observed_distance_share,<=0.25,77
test,observed_distance_share,>1,0
test,observed_time_share,"(0.25,0.5]",22286
test,observed_time_share,"(0.5,0.75]",4476
test,observed_time_share,"(0.75,1]",27
test,observed_time_share,<=0.25,3211
test,observed_time_share,>1,0
train,observed_distance_share,"(0.25,0.5]",35009
train,observed_distance_share,"(0.5,0.75]",122777
train,observed_distance_share,"(0.75,1]",1732
train,observed_distance_share,<=0.25,482
train,observed_distance_share,>1,0
train,observed_time_share,"(0.25,0.5]",115434
train,observed_time_share,"(0.5,0.75]",22000
train,observed_time_share,"(0.75,1]",120
train,observed_time_share,<=0.25,22446
train,observed_time_share,>1,0
validation,observed_distance_share,"(0.25,0.5]",6890
validation,observed_distance_share,"(0.5,0.75]",22673
validation,observed_distance_share,"(0.75,1]",316
validation,observed_distance_share,<=0.25,121
validation,observed_distance_share,>1,0
validation,observed_time_share,"(0.25,0.5]",20765
validation,observed_time_share,"(0.5,0.75]",4145
validation,observed_time_share,"(0.75,1]",23
validation,observed_time_share,<=0.25,5067
validation,observed_time_share,>1,0
