split,unit,dimension,status,count
test,order,lcs,available_no_tail,11989
test,order,lcs,available_tail,17896
test,order,lcs,unavailable,115
test,order,rts,available_no_tail,5946
test,order,rts,available_tail,24054
test,order,rts,unavailable,0
test,traversal,lcs,available_no_tail,284660
test,traversal,lcs,available_tail,33561
test,traversal,lcs,unavailable,459196
test,traversal,rts,available_no_tail,645855
test,traversal,rts,available_tail,71950
test,traversal,rts,unavailable,59612
train,order,lcs,available_no_tail,63676
train,order,lcs,available_tail,95682
train,order,lcs,unavailable,642
train,order,rts,available_no_tail,28919
train,order,rts,available_tail,131081
train,order,rts,unavailable,0
train,traversal,lcs,available_no_tail,1538747
train,traversal,lcs,available_tail,181517
train,traversal,lcs,unavailable,2497609
train,traversal,rts,available_no_tail,3447675
train,traversal,rts,available_tail,430157
train,traversal,rts,unavailable,340041
validation,order,lcs,available_no_tail,11481
validation,order,lcs,available_tail,18372
validation,order,lcs,unavailable,147
validation,order,rts,available_no_tail,4876
validation,order,rts,available_tail,25124
validation,order,rts,unavailable,0
validation,traversal,lcs,available_no_tail,284367
validation,traversal,lcs,available_tail,35881
validation,traversal,lcs,unavailable,459992
validation,traversal,rts,available_no_tail,621401
validation,traversal,rts,available_tail,92059
validation,traversal,rts,unavailable,66780
