split,metric,count,mean,std,min,max
test,lcs_pct,318221,0.5058836069600523,0.28990792447078345,0.0,1.0
test,lcs_raw,318221,0.174060440376544,0.07989019539737521,0.0,0.569978213653981
test,rts_pct,717805,0.4913620189122197,0.2689366966019334,0.0,1.0
test,rts_raw,717805,0.09532934563536695,0.14199647122271922,0.0,0.9796658654791377
train,lcs_pct,1720264,0.5053702419469512,0.29018399289324776,0.00010544074230282581,0.9999589760420086
train,lcs_raw,1720264,0.17382025740575477,0.08038124927370782,0.0,0.5812863503717323
train,rts_pct,3877832,0.507162712058146,0.27251754080950796,0.005,0.9999817218058856
train,rts_raw,3877832,0.10349952089741336,0.14748331576555943,0.0,0.9927619858604594
validation,lcs_pct,320248,0.5143556014477777,0.2911403941406175,0.0,1.0
validation,lcs_raw,320248,0.17632424079920284,0.08121343942803562,0.0,0.5613167588251318
validation,rts_pct,713460,0.5300879216154823,0.2771420326509198,0.0,1.0
validation,rts_raw,713460,0.11512545972819437,0.15333169436961283,0.0,0.9923353820886213
