split,date,target,model,count,mae,rmse,pearson,spearman
validation_model,20161022,pace_sec_per_m,global_mean,242193,0.043637472879027125,0.07664060261018137,,
validation_model,20161022,pace_sec_per_m,highway_time_bin_mean,242193,0.0411239695655263,0.07487316924946089,0.21715780144170305,0.295392884594461
validation_model,20161022,pace_sec_per_m,strict_historical_profile,242193,0.033200659989236,0.0687668669781454,0.44465301061484375,0.6271104105174151
validation_model,20161022,pace_sec_per_m,edge_rolling_mean,242193,0.038192673909155705,0.09146546591756316,0.2713538748999869,0.5754611317115255
validation_model,20161022,pace_sec_per_m,v4_static_entry_time,242193,0.03319452430904305,0.06866589911425909,0.44668216386313836,0.6271104075116194
validation_model,20161022,pace_sec_per_m,hist_gradient_boosting,242193,0.030976293650966488,0.06568675449311247,0.509618146117019,0.6947499303601773
validation_model,20161023,pace_sec_per_m,global_mean,241839,0.04209487371743147,0.06221739349028709,,
validation_model,20161023,pace_sec_per_m,highway_time_bin_mean,241839,0.03985681439578119,0.06029476807198213,0.24783206549327444,0.2992484206890605
validation_model,20161023,pace_sec_per_m,strict_historical_profile,241839,0.031174464710693912,0.05265949966321783,0.5421688653459342,0.6476532551829961
validation_model,20161023,pace_sec_per_m,edge_rolling_mean,241839,0.034986085746004675,0.06029880519178826,0.44734584868114213,0.5772407249907436
validation_model,20161023,pace_sec_per_m,v4_static_entry_time,241839,0.03117017167005883,0.052581842630011276,0.543605235567255,0.6476483199739923
validation_model,20161023,pace_sec_per_m,hist_gradient_boosting,241839,0.02852196320253545,0.04942341226817324,0.6074079457572155,0.7045039484007347
calibration,20161024,pace_sec_per_m,global_mean,237564,0.04287788917697114,0.0699575341454082,,
calibration,20161024,pace_sec_per_m,highway_time_bin_mean,237564,0.04031115575255555,0.0679104598467064,0.23939291228168466,0.31191443149659215
calibration,20161024,pace_sec_per_m,strict_historical_profile,237564,0.030879736030627745,0.0558690383464516,0.6016465983250485,0.6655718715304005
calibration,20161024,pace_sec_per_m,edge_rolling_mean,237564,0.03651243052438384,0.06546303764225415,0.481373191370139,0.5781438925762671
calibration,20161024,pace_sec_per_m,v4_static_entry_time,237564,0.030910142470443464,0.05939210424568974,0.5286751201290898,0.6655718722621303
calibration,20161024,pace_sec_per_m,hist_gradient_boosting,237564,0.02952382136151992,0.05804882153042514,0.5571737661733612,0.7090133263172056
evaluation,20161025,pace_sec_per_m,global_mean,237553,0.04367957386299929,0.0702600736441993,,
evaluation,20161025,pace_sec_per_m,highway_time_bin_mean,237553,0.04093640616960107,0.0679468411466922,0.2538740313291817,0.32481239229217074
evaluation,20161025,pace_sec_per_m,strict_historical_profile,237553,0.03143298233114441,0.05667948514353876,0.5908335146249477,0.6695234233729871
evaluation,20161025,pace_sec_per_m,edge_rolling_mean,237553,0.03758219444968126,0.06763243210281521,0.46560201824079744,0.5817768920517018
evaluation,20161025,pace_sec_per_m,v4_static_entry_time,237553,0.03146639508161345,0.05949839119677833,0.5313361142019798,0.6695234194628595
evaluation,20161025,pace_sec_per_m,hist_gradient_boosting,237553,0.030270310174579127,0.05783771090372444,0.5642775045070063,0.7109992382847478
evaluation,20161026,pace_sec_per_m,global_mean,238711,0.043307123800610824,0.07417919077169963,,
evaluation,20161026,pace_sec_per_m,highway_time_bin_mean,238711,0.04026984734480094,0.07186891747082425,0.2496238023946118,0.34402143392421
evaluation,20161026,pace_sec_per_m,strict_historical_profile,238711,0.03095085106875449,0.061058914591219704,0.5722580601964375,0.6736931067150964
evaluation,20161026,pace_sec_per_m,edge_rolling_mean,238711,0.03710111886513667,0.07183252315744444,0.4594794462542417,0.5759831138594438
evaluation,20161026,pace_sec_per_m,v4_static_entry_time,238711,0.03094775108790317,0.06387938039535841,0.5082327332030298,0.6736893545504756
evaluation,20161026,pace_sec_per_m,hist_gradient_boosting,238711,0.0298861119358447,0.06276080128603277,0.5314792665647581,0.7083879908813914
evaluation,20161027,pace_sec_per_m,global_mean,237196,0.043034865884788435,0.06553313745828956,,
evaluation,20161027,pace_sec_per_m,highway_time_bin_mean,237196,0.03985757900767844,0.06287010448388325,0.28448224955816487,0.34799780848993256
evaluation,20161027,pace_sec_per_m,strict_historical_profile,237196,0.03042169823988652,0.05426479333026771,0.5610173684149276,0.6837192489956113
evaluation,20161027,pace_sec_per_m,edge_rolling_mean,237196,0.036383514792315205,0.06555224256799848,0.4195129322415851,0.5886337285339277
evaluation,20161027,pace_sec_per_m,v4_static_entry_time,237196,0.030421698239886524,0.05426479333026771,0.5610173684149277,0.6837192501077733
evaluation,20161027,pace_sec_per_m,hist_gradient_boosting,237196,0.02945667527499167,0.052372402656081396,0.5989824465983387,0.7156919261124562
