split,date,left_model,right_model,left_minus_right_absolute_error,ci95,replicates,order_count
validation_model,20161022,ordinary_concatenation,horizon_gate,-0.00013296838615486892,"[-0.00015989659221509825, -0.00010434701072918583]",500,10000
validation_model,20161022,without_recent,horizon_gate,-4.993976993467937e-05,"[-8.960466384248569e-05, -2.0144923556970137e-05]",500,10000
validation_model,20161022,without_profile,horizon_gate,1.507130859941903e-05,"[-1.4396362897782424e-05, 4.7782260532370625e-05]",500,10000
validation_model,20161023,ordinary_concatenation,horizon_gate,-9.273918147759973e-05,"[-0.00012068610805049463, -6.46824528551203e-05]",500,10000
validation_model,20161023,without_recent,horizon_gate,5.0283031751348595e-06,"[-2.8326836659326397e-05, 3.470249091369316e-05]",500,10000
validation_model,20161023,without_profile,horizon_gate,0.00012475478257191564,"[9.365059602643131e-05, 0.0001563416171754878]",500,10000
calibration,20161024,ordinary_concatenation,horizon_gate,-0.00011801402611904077,"[-0.0001443226530523989, -9.06902136441213e-05]",500,10000
calibration,20161024,without_recent,horizon_gate,0.00034195073903970437,"[-4.1784059011605964e-05, 0.001068345811142385]",500,10000
calibration,20161024,without_profile,horizon_gate,0.0016068911136588673,"[3.068037618765977e-07, 0.004778902212511581]",500,10000
evaluation,20161025,ordinary_concatenation,horizon_gate,-0.0001082397482640752,"[-0.0001342333429515666, -8.201546292401192e-05]",500,10000
evaluation,20161025,without_recent,horizon_gate,0.05885524299390703,"[-1.937330884559122e-05, 0.17798089403776612]",500,10000
evaluation,20161025,without_profile,horizon_gate,9.150126613142368e-05,"[3.147345308487957e-05, 0.00018611074160636957]",500,10000
evaluation,20161026,ordinary_concatenation,horizon_gate,-0.00015548460892920597,"[-0.00020526281197980802, -0.00011826549783556462]",500,10000
evaluation,20161026,without_recent,horizon_gate,0.16434608738931056,"[-8.319132638776918e-05, 0.4969504138593971]",500,10000
evaluation,20161026,without_profile,horizon_gate,0.003017071667935363,"[-2.654424105099405e-05, 0.009092314622314851]",500,10000
evaluation,20161027,ordinary_concatenation,horizon_gate,-9.82622906854313e-05,"[-0.00013187643949783573, -7.15825646891719e-05]",500,10000
evaluation,20161027,without_recent,horizon_gate,-4.333139458031463e-05,"[-8.070776099271674e-05, -1.0012734465671768e-05]",500,10000
evaluation,20161027,without_profile,horizon_gate,6.415417893007747e-05,"[2.951036140368401e-06, 0.00014967927664867578]",500,10000
