split,date,target,quantile,empirical_coverage,coverage_error,pinball_loss,count
validation_model,20161022,pace_sec_per_m,0.5,0.48137642293542754,-0.01862357706457246,0.014890309343656833,242193
validation_model,20161022,pace_sec_per_m,0.9,0.8844392695082022,-0.015560730491797847,0.008935843587955798,242193
validation_model,20161022,pace_sec_per_m,0.95,0.9365795047751173,-0.013420495224882645,0.006184384640588764,242193
validation_model,20161023,pace_sec_per_m,0.5,0.5032397586824292,0.0032397586824292057,0.01352181001499405,241839
validation_model,20161023,pace_sec_per_m,0.9,0.8921307150625003,-0.007869284937499721,0.00776272618787838,241839
validation_model,20161023,pace_sec_per_m,0.95,0.9414279748096874,-0.008572025190312527,0.005175999544385729,241839
calibration,20161024,pace_sec_per_m,0.5,0.49932649728073275,-0.0006735027192672494,0.01410841469429016,237564
calibration,20161024,pace_sec_per_m,0.9,0.8920248859254769,-0.007975114074523115,0.008148157376435105,237564
calibration,20161024,pace_sec_per_m,0.95,0.942095603711,-0.00790439628899997,0.005479638239763335,237564
evaluation,20161025,pace_sec_per_m,0.5,0.49186497329017104,-0.008135026709828963,0.01448785595456387,237553
evaluation,20161025,pace_sec_per_m,0.9,0.8903949855400689,-0.009605014459931116,0.008403979113502096,237553
evaluation,20161025,pace_sec_per_m,0.95,0.9413899214070123,-0.00861007859298768,0.005682321591486061,237553
evaluation,20161026,pace_sec_per_m,0.5,0.49098282023032036,-0.00901717976967964,0.014310416731999826,238711
evaluation,20161026,pace_sec_per_m,0.9,0.8889452098981614,-0.01105479010183863,0.008316490586548741,238711
evaluation,20161026,pace_sec_per_m,0.95,0.9404216814474406,-0.009578318552559306,0.005631705755167128,238711
evaluation,20161027,pace_sec_per_m,0.5,0.48757989173510513,-0.012420108264894869,0.014112067584002496,237196
evaluation,20161027,pace_sec_per_m,0.9,0.8911659555810385,-0.008834044418961517,0.00804498511094335,237196
evaluation,20161027,pace_sec_per_m,0.95,0.9418624260105567,-0.008137573989443259,0.005383502864612206,237196
