split,date,scenario_model,scenario_count,route_count,scale,dispersion_multiplier,offset_s,mean_mae_s,mean_rmse_s,p50_coverage,p90_coverage,p95_coverage,p50_mae_s,average_interval_width_p90_minus_p50_s,average_interval_width_p95_minus_p50_s
validation_model,20161022,independent,1000,10000,1.0,1.0,0.0,303.10336769918325,473.69569262928246,0.1134,0.1629,0.1808,303.85803540439605,29.59641705680847,38.650232729187
validation_model,20161022,shared_route_latent,1000,10000,1.0,1.0,0.0,303.08703706283717,473.6592895811532,0.1079,0.29,0.3532,308.09188323612216,109.00356531467438,143.90614185050958
validation_model,20161022,residual_block,1000,10000,1.0,1.0,0.0,303.0860734138668,473.6734498425909,0.1127,0.182,0.2026,304.09293834056854,38.83911887744904,50.80199617263792
validation_model,20161023,independent,1000,10000,1.0,1.0,0.0,212.3537070712742,316.9457120131885,0.1557,0.2092,0.2267,212.91639947662352,26.952563568534853,35.11404772315978
validation_model,20161023,shared_route_latent,1000,10000,1.0,1.0,0.0,212.38065015481683,316.9469942248336,0.1474,0.354,0.4307,216.430640325737,101.45962675628664,133.7955562634849
validation_model,20161023,residual_block,1000,10000,1.0,1.0,0.0,212.3580675550175,316.94278039994515,0.1549,0.229,0.2548,213.1536772315979,35.714601740646366,46.52921414850234
calibration,20161024,independent,1000,10000,1.0,1.0,0.0,256.8857576721661,390.30031974218105,0.14,0.191,0.2089,257.53047354602813,28.038367531051637,36.57619715309143
calibration,20161024,shared_route_latent,1000,10000,1.0,1.0,0.0,256.8085371529958,390.2552653067444,0.1332,0.3254,0.3892,261.191303931427,103.6274140664673,136.79782140007015
calibration,20161024,residual_block,1000,10000,1.0,1.0,0.0,256.8695399377457,390.2896433728112,0.1399,0.2114,0.2348,257.7724519618988,37.0122232238388,48.32943113487242
evaluation,20161025,independent,1000,10000,1.0,1.0,0.0,282.6506345853096,451.3070302400689,0.1303,0.1869,0.2041,283.3443085067749,29.01433396755219,37.92251671159744
evaluation,20161025,shared_route_latent,1000,10000,1.0,1.0,0.0,282.6762936229851,451.35996674883216,0.1251,0.3163,0.3808,287.3313324440002,106.26771258155824,140.325475988388
evaluation,20161025,residual_block,1000,10000,1.0,1.0,0.0,282.64252978412895,451.30357914846394,0.1303,0.2049,0.2283,283.5984789373398,38.156320693626405,49.845974480247484
evaluation,20161026,independent,1000,10000,1.0,1.0,0.0,282.4607934854204,490.24703491311374,0.1406,0.1945,0.2102,283.1232262119293,28.384973907890323,37.022643005008696
evaluation,20161026,shared_route_latent,1000,10000,1.0,1.0,0.0,282.4991056926485,490.2685754849653,0.1331,0.3212,0.3928,287.0182493289947,105.31924135150909,138.8753675436973
evaluation,20161026,residual_block,1000,10000,1.0,1.0,0.0,282.44364524970837,490.22409465401057,0.1405,0.2115,0.2337,283.37079938678744,37.463126969604495,48.82866847114562
evaluation,20161027,independent,1000,10000,1.0,1.0,0.0,269.76003240322035,422.9154945235102,0.1369,0.1867,0.2034,270.4505055839539,28.568570459289553,37.260566145057666
evaluation,20161027,shared_route_latent,1000,10000,1.0,1.0,0.0,269.7906530517151,422.92952357159965,0.1293,0.3148,0.3796,274.28010673542025,104.65344771854403,138.17570248970026
evaluation,20161027,residual_block,1000,10000,1.0,1.0,0.0,269.7455082356518,422.8921379155416,0.1368,0.2048,0.2277,270.7003598367691,37.64485802585602,49.10146185657499
calibration,20161024,shared_route_latent_calibrated,1000,10000,1.3496731736362297,2.8999999999999995,16.877099573979166,185.36672791552098,282.24815834973737,0.5,0.9081,0.9484,186.78409407520914,405.60310837453324,535.4338142911089
evaluation,20161025,shared_route_latent_frozen_calibrated,1000,10000,1.3496731736362297,2.8999999999999995,16.877099573979166,205.5702311961233,335.81992720812326,0.4903,0.8959,0.9384,208.27475838168576,415.9373745955417,549.2412385058603
evaluation,20161026,shared_route_latent_frozen_calibrated,1000,10000,1.3496731736362297,2.8999999999999995,16.877099573979166,211.52410981867922,385.2079427381322,0.5093,0.8982,0.9337,212.9201491433789,412.22500868756885,543.5654383525394
evaluation,20161027,shared_route_latent_frozen_calibrated,1000,10000,1.3496731736362297,2.8999999999999995,16.877099573979166,195.90933410188302,312.7431094348313,0.4957,0.9047,0.9413,197.93368586322214,409.61905765135555,540.8269128061987
