split,date,target,model,count,mae,rmse,pearson,spearman
validation_model,20161022,pace_sec_per_m,global_mean,242193,0.04363747287902713,0.07664060261018137,,
validation_model,20161022,pace_sec_per_m,highway_time_bin_mean,242193,0.041123969565526296,0.07487316924946089,0.2171578014417035,0.295392884594461
validation_model,20161022,pace_sec_per_m,strict_historical_profile,242193,0.033200659989236,0.0687668669781454,0.44465301061484364,0.6271104105174151
validation_model,20161022,pace_sec_per_m,edge_rolling_mean,242193,0.038192673909155705,0.09146546591756316,0.27135387489998675,0.5754611317115255
validation_model,20161022,pace_sec_per_m,v4_static_entry_time,242193,0.03319452430904305,0.06866589911425909,0.4466821638631386,0.6271104075116194
validation_model,20161022,pace_sec_per_m,hist_gradient_boosting,242193,0.030976293650966488,0.06568675449311247,0.5096181461170194,0.6947499303601773
validation_model,20161022,pace_sec_per_m,rc_mstnet_v5_mean,242193,0.029875902205424243,0.06521513137599103,0.5219779293734673,0.7157911928780732
validation_model,20161022,pace_sec_per_m,rc_mstnet_v5_p50,242193,0.029780618687313666,0.06551612547937713,0.5256610428997232,0.7163052726098573
validation_model,20161023,pace_sec_per_m,global_mean,241839,0.042094873717431466,0.06221739349028709,,
validation_model,20161023,pace_sec_per_m,highway_time_bin_mean,241839,0.0398568143957812,0.06029476807198213,0.24783206549327438,0.2992484206890605
validation_model,20161023,pace_sec_per_m,strict_historical_profile,241839,0.031174464710693912,0.05265949966321783,0.542168865345933,0.6476532551829961
validation_model,20161023,pace_sec_per_m,edge_rolling_mean,241839,0.034986085746004675,0.06029880519178826,0.4473458486811423,0.5772407249907436
validation_model,20161023,pace_sec_per_m,v4_static_entry_time,241839,0.031170171670058828,0.05258184263001127,0.5436052355672546,0.6476483199739923
validation_model,20161023,pace_sec_per_m,hist_gradient_boosting,241839,0.028521963202535444,0.04942341226817324,0.6074079457572152,0.7045039484007347
validation_model,20161023,pace_sec_per_m,rc_mstnet_v5_mean,241839,0.02728492875732584,0.048681110840185234,0.6230243712617998,0.7266224260576891
validation_model,20161023,pace_sec_per_m,rc_mstnet_v5_p50,241839,0.0270436200299881,0.048946025691704996,0.624861982861311,0.7275329715581482
calibration,20161024,pace_sec_per_m,global_mean,237564,0.04287788917697114,0.06995753414540819,,
calibration,20161024,pace_sec_per_m,highway_time_bin_mean,237564,0.04031115575255555,0.0679104598467064,0.23939291228168436,0.31191443149659215
calibration,20161024,pace_sec_per_m,strict_historical_profile,237564,0.030879736030627745,0.0558690383464516,0.6016465983250472,0.6655718715304005
calibration,20161024,pace_sec_per_m,edge_rolling_mean,237564,0.03651243052438384,0.06546303764225415,0.4813731913701374,0.5781438925762671
calibration,20161024,pace_sec_per_m,v4_static_entry_time,237564,0.030910142470443464,0.059392104245689734,0.52867512012909,0.6655718722621303
calibration,20161024,pace_sec_per_m,hist_gradient_boosting,237564,0.029523821361519924,0.05804882153042514,0.5571737661733597,0.7090133263172056
calibration,20161024,pace_sec_per_m,rc_mstnet_v5_mean,237564,0.0284142676951854,0.057506011605585904,0.5693317251487569,0.7277301875488261
calibration,20161024,pace_sec_per_m,rc_mstnet_v5_p50,237564,0.02821682938858032,0.057781157308899295,0.5716278408003984,0.7284364301845221
evaluation,20161025,pace_sec_per_m,global_mean,237553,0.04367957386299929,0.0702600736441993,,
evaluation,20161025,pace_sec_per_m,highway_time_bin_mean,237553,0.04093640616960107,0.0679468411466922,0.2538740313291818,0.32481239229217074
evaluation,20161025,pace_sec_per_m,strict_historical_profile,237553,0.03143298233114441,0.05667948514353876,0.5908335146249499,0.6695234233729871
evaluation,20161025,pace_sec_per_m,edge_rolling_mean,237553,0.03758219444968126,0.06763243210281521,0.46560201824079817,0.5817768920517018
evaluation,20161025,pace_sec_per_m,v4_static_entry_time,237553,0.03146639508161345,0.059498391196778334,0.5313361142019791,0.6695234194628595
evaluation,20161025,pace_sec_per_m,hist_gradient_boosting,237553,0.030270310174579127,0.05783771090372445,0.5642775045070061,0.7109992382847478
evaluation,20161025,pace_sec_per_m,rc_mstnet_v5_mean,237553,0.02911011330412002,0.0571369507526713,0.5798724450894773,0.7313821148476962
evaluation,20161025,pace_sec_per_m,rc_mstnet_v5_p50,237553,0.02897571190912774,0.05742492743557281,0.5836067688930259,0.7318219121633539
evaluation,20161026,pace_sec_per_m,global_mean,238711,0.04330712380061084,0.07417919077169963,,
evaluation,20161026,pace_sec_per_m,highway_time_bin_mean,238711,0.04026984734480094,0.07186891747082425,0.2496238023946111,0.34402143392421
evaluation,20161026,pace_sec_per_m,strict_historical_profile,238711,0.030950851068754483,0.061058914591219704,0.5722580601964372,0.6736931067150964
evaluation,20161026,pace_sec_per_m,edge_rolling_mean,238711,0.03710111886513667,0.07183252315744444,0.459479446254242,0.5759831138594438
evaluation,20161026,pace_sec_per_m,v4_static_entry_time,238711,0.03094775108790317,0.06387938039535841,0.5082327332030291,0.6736893545504756
evaluation,20161026,pace_sec_per_m,hist_gradient_boosting,238711,0.0298861119358447,0.06276080128603277,0.5314792665647576,0.7083879908813914
evaluation,20161026,pace_sec_per_m,rc_mstnet_v5_mean,238711,0.028776788248815747,0.06202952385395226,0.5480725195311159,0.7274396457420207
evaluation,20161026,pace_sec_per_m,rc_mstnet_v5_p50,238711,0.028620833463999653,0.06253636650004445,0.5458438410968733,0.7282732922852606
evaluation,20161027,pace_sec_per_m,global_mean,237196,0.043034865884788435,0.06553313745828956,,
evaluation,20161027,pace_sec_per_m,highway_time_bin_mean,237196,0.039857579007678424,0.06287010448388325,0.2844822495581647,0.34799780848993256
evaluation,20161027,pace_sec_per_m,strict_historical_profile,237196,0.030421698239886517,0.0542647933302677,0.5610173684149277,0.6837192489956113
evaluation,20161027,pace_sec_per_m,edge_rolling_mean,237196,0.03638351479231521,0.06555224256799848,0.41951293224158565,0.5886337285339277
evaluation,20161027,pace_sec_per_m,v4_static_entry_time,237196,0.03042169823988652,0.0542647933302677,0.5610173684149277,0.6837192501077733
evaluation,20161027,pace_sec_per_m,hist_gradient_boosting,237196,0.029456675274991673,0.052372402656081396,0.5989824465983383,0.7156919261124562
evaluation,20161027,pace_sec_per_m,rc_mstnet_v5_mean,237196,0.028351259585133688,0.051653675384435056,0.6145378765724647,0.7342389202861876
evaluation,20161027,pace_sec_per_m,rc_mstnet_v5_p50,237196,0.028224135168004993,0.052033419505904996,0.6159329757832499,0.7352365044854701
