split,date,subgroup_type,subgroup,count,mae,rmse
validation_model,20161022,highway,primary_link,6831,0.031027742233788423,0.04517011209896035
validation_model,20161022,highway,primary,76468,0.031267155388342065,0.085278628914105
validation_model,20161022,highway,unclassified,15998,0.030598741287594673,0.0509713675447532
validation_model,20161022,highway,tertiary,24485,0.030430494204440578,0.049230177388577004
validation_model,20161022,highway,secondary,69606,0.029382600622926275,0.056479414022020225
validation_model,20161022,highway,tertiary_link,5725,0.030299174284653597,0.07018476100814766
validation_model,20161022,highway,trunk_link,7877,0.02903956603239462,0.04421737280275622
validation_model,20161022,highway,trunk,31220,0.026231592020302074,0.049244815212106226
validation_model,20161022,highway,service,181,0.03737298298986131,0.04920197256075154
validation_model,20161022,highway,secondary_link,3103,0.03078330046737397,0.046118223539769694
validation_model,20161022,highway,residential,686,0.04269771506586563,0.12487868698983659
validation_model,20161022,highway,unknown,0,,
validation_model,20161022,highway,living_street,12,0.023323062778133702,0.030432075587691794
validation_model,20161022,highway,track,0,,
validation_model,20161022,highway,pedestrian,1,0.019086878897745185,0.019086878897745185
validation_model,20161023,highway,primary,76491,0.02867731532572535,0.05647604260600378
validation_model,20161023,highway,trunk_link,7939,0.025257480390237185,0.039030909257398695
validation_model,20161023,highway,secondary,69928,0.027051890321242673,0.04260717644545818
validation_model,20161023,highway,tertiary,23139,0.028877719295001793,0.045601318890798104
validation_model,20161023,highway,trunk,33266,0.02242874125425782,0.039625619943967426
validation_model,20161023,highway,unclassified,14568,0.0288421243658212,0.04810586850992311
validation_model,20161023,highway,residential,672,0.03909228578357841,0.06779820133633367
validation_model,20161023,highway,tertiary_link,5647,0.02843647800225931,0.07899770901340304
validation_model,20161023,highway,primary_link,6639,0.028232746882992626,0.040491236718918695
validation_model,20161023,highway,secondary_link,3408,0.028798839260717995,0.043106870762021306
validation_model,20161023,highway,service,134,0.04222499105310962,0.060276459469646805
validation_model,20161023,highway,living_street,8,0.027363498161323545,0.040351402648974945
validation_model,20161023,highway,unknown,0,,
validation_model,20161023,highway,track,0,,
calibration,20161024,highway,secondary,70136,0.027559872736077073,0.0454931634459388
calibration,20161024,highway,primary,74052,0.02958475741570169,0.07462023782614315
calibration,20161024,highway,trunk,29700,0.024476018238223422,0.04093968241239717
calibration,20161024,highway,trunk_link,7127,0.025617418610685134,0.03829120085141679
calibration,20161024,highway,unclassified,15174,0.030525715490196937,0.05472430752092605
calibration,20161024,highway,primary_link,6757,0.031233215731006216,0.04953759642109171
calibration,20161024,highway,tertiary,24587,0.02999096189379357,0.04702372927964003
calibration,20161024,highway,secondary_link,3175,0.029416669562031764,0.042061421714696276
calibration,20161024,highway,tertiary_link,5985,0.02990803198449564,0.08492776893313701
calibration,20161024,highway,residential,744,0.03646971803529726,0.05567810292286549
calibration,20161024,highway,service,121,0.045073895720337424,0.05615434434513175
calibration,20161024,highway,unknown,0,,
calibration,20161024,highway,living_street,5,0.05247275454395765,0.06617608156551495
calibration,20161024,highway,pedestrian,1,0.06921797523301026,0.06921797523301026
calibration,20161024,highway,track,0,,
