split,date,target,quantile,empirical_coverage,coverage_error,pinball_loss,count
validation_model,20161019,pace_sec_per_m,0.5,0.5098912959048931,0.009891295904893127,0.013355145338325776,244609
validation_model,20161019,pace_sec_per_m,0.9,0.8947871909864314,-0.005212809013568576,0.0075824520934518165,244609
validation_model,20161019,pace_sec_per_m,0.95,0.9424918952287119,-0.007508104771288049,0.005001397667229709,244609
validation_model,20161020,pace_sec_per_m,0.5,0.5067716085883817,0.006771608588381661,0.013432471977997778,245215
validation_model,20161020,pace_sec_per_m,0.9,0.8943009196011663,-0.005699080398833711,0.0076468309628823375,245215
validation_model,20161020,pace_sec_per_m,0.95,0.9428419957996045,-0.007158004200395474,0.005057155439217962,245215
calibration,20161021,pace_sec_per_m,0.5,0.4866935926689688,-0.013306407331031223,0.014110026860135677,245859
calibration,20161021,pace_sec_per_m,0.9,0.8854384016855189,-0.014561598314481117,0.00806026188073558,245859
calibration,20161021,pace_sec_per_m,0.95,0.9374275499371592,-0.012572450062840801,0.005352256101039558,245859
evaluation,20161022,pace_sec_per_m,0.5,0.47220605054646503,-0.027793949453534972,0.01493621493901838,242193
evaluation,20161022,pace_sec_per_m,0.9,0.8804713596181558,-0.01952864038184421,0.008993621674684649,242193
evaluation,20161022,pace_sec_per_m,0.95,0.934093883803413,-0.015906116196586995,0.006240090859278481,242193
evaluation,20161023,pace_sec_per_m,0.5,0.502218418038447,0.002218418038447023,0.013557671776729537,241839
evaluation,20161023,pace_sec_per_m,0.9,0.89083233060011,-0.00916766939989,0.007795466343157777,241839
evaluation,20161023,pace_sec_per_m,0.95,0.9406878129664777,-0.009312187033522212,0.005200209915061663,241839
