split,date,scenario_model,scenario_count,route_count,scale,dispersion_multiplier,offset_s,mean_mae_s,mean_rmse_s,p50_coverage,p90_coverage,p95_coverage,p50_mae_s,average_interval_width_p90_minus_p50_s,average_interval_width_p95_minus_p50_s
validation_model,20161023,independent,1000,10000,1.0,1.0,0.0,211.12037705879212,338.24656596670457,0.1535,0.211,0.2303,210.60855872535706,28.956446103630064,38.925168101482384
validation_model,20161023,shared_route_latent,1000,10000,1.0,1.0,0.0,220.87745603063777,1147.1919604221805,0.1463,0.3642,0.441,214.30403989620208,105.67195865772248,141.04179414091107
validation_model,20161023,residual_block,1000,10000,1.0,1.0,0.0,210.70660240176716,325.0675558349402,0.153,0.231,0.2575,210.8284496383667,37.844880685462954,50.85207343660353
validation_model,20161024,independent,1000,10000,1.0,1.0,0.0,272.951800415821,1892.9911415092022,0.1368,0.1918,0.2111,254.9904442785263,31.011269388809207,45.229498014736166
validation_model,20161024,shared_route_latent,1000,10000,1.0,1.0,0.0,286.9882733823889,3300.946347848341,0.1287,0.3298,0.3986,258.8715424627304,109.83080627925874,155.3635516243362
validation_model,20161024,residual_block,1000,10000,1.0,1.0,0.0,285.08805164799384,3113.1930935325495,0.1358,0.2122,0.2373,255.22143985366822,39.886960851440435,55.584132528648354
calibration,20161025,independent,1000,10000,1.0,1.0,0.0,279.46500662221797,447.5298101362261,0.1316,0.1863,0.2051,280.2501489681244,31.400504565658572,42.120977121067035
calibration,20161025,shared_route_latent,1000,10000,1.0,1.0,0.0,279.23687781477776,445.5784667534743,0.125,0.3214,0.3902,284.4720645837784,111.32003200092316,147.91642117786404
calibration,20161025,residual_block,1000,10000,1.0,1.0,0.0,279.4854368051712,447.63705330021884,0.1314,0.2058,0.2316,280.5206141412735,40.658263701210025,53.84427805078504
evaluation,20161026,independent,1000,10000,1.0,1.0,0.0,284.99783619983026,743.7441682051431,0.1385,0.194,0.2118,280.3344418298721,31.33429478530884,43.851772977848036
evaluation,20161026,shared_route_latent,1000,10000,1.0,1.0,0.0,291.52317713069743,1308.1856410118794,0.1305,0.3288,0.4028,284.46147776260375,111.11467964065555,151.22751406509394
evaluation,20161026,residual_block,1000,10000,1.0,1.0,0.0,285.9377527648729,815.7361427387062,0.1373,0.2117,0.2377,280.5663247623444,40.47960868587494,55.50281780168532
evaluation,20161027,independent,1000,10000,1.0,1.0,0.0,267.2160547258724,418.84267117768826,0.1343,0.1842,0.2019,268.1961872795105,30.340787907638546,40.00252300571441
evaluation,20161027,shared_route_latent,1000,10000,1.0,1.0,0.0,267.2448709943476,418.8384498306042,0.1264,0.3188,0.3869,272.25892825775145,108.7454570350647,144.06832605785365
evaluation,20161027,residual_block,1000,10000,1.0,1.0,0.0,267.21434497321127,418.81557706637943,0.1335,0.2029,0.2289,268.43987720623016,39.6047603219986,52.06253585742949
calibration,20161025,shared_route_latent_calibrated,1000,10000,1.359943637767346,2.7999999999999994,15.63292820205838,204.21226414881187,342.09458507724537,0.5,0.9011,0.9423,206.4808609801319,423.1452125077026,562.4984870617304
evaluation,20161026,shared_route_latent_frozen_calibrated,1000,10000,1.359943637767346,2.7999999999999994,15.63292820205838,254.2757173818416,4432.479034830429,0.5184,0.9035,0.9389,211.78942071366188,418.7047223250296,554.4645884674212
evaluation,20161027,shared_route_latent_frozen_calibrated,1000,10000,1.359943637767346,2.7999999999999994,15.63292820205838,194.61233913327894,308.5918787951321,0.5022,0.9069,0.9447,196.8364743665184,414.08553880662777,548.5894495932748
