split,date,subgroup_type,subgroup,count,mae,rmse
validation_model,20161023,highway,primary,76491,0.02865776199299444,0.05633705366731217
validation_model,20161023,highway,trunk_link,7939,0.0252235913430833,0.0392873202740647
validation_model,20161023,highway,secondary,69928,0.027016268308982364,0.04244932376398227
validation_model,20161023,highway,tertiary,23139,0.02901103363971855,0.04602120397707132
validation_model,20161023,highway,trunk,33266,0.022505272483377758,0.03842253066136611
validation_model,20161023,highway,unclassified,14568,0.02883503465430059,0.048210392527103685
validation_model,20161023,highway,residential,672,0.03928311457807054,0.06786772926689365
validation_model,20161023,highway,tertiary_link,5647,0.02882079555421371,0.07859897640358826
validation_model,20161023,highway,primary_link,6639,0.028043824127945993,0.040071860735101245
validation_model,20161023,highway,secondary_link,3408,0.02847227802050146,0.042632601605414766
validation_model,20161023,highway,service,134,0.043657949219405544,0.06175799030826865
validation_model,20161023,highway,living_street,8,0.03832235040772724,0.05337400094561333
validation_model,20161023,highway,unknown,0,,
validation_model,20161023,highway,track,0,,
validation_model,20161024,highway,secondary,70136,0.027561672992798686,0.04570889427466393
validation_model,20161024,highway,primary,74052,0.4784959392864319,122.20834626873722
validation_model,20161024,highway,trunk,29700,0.024424521706067084,0.0468933942977877
validation_model,20161024,highway,trunk_link,7127,0.025415647181360326,0.0382112219253534
validation_model,20161024,highway,unclassified,15174,0.03060890958248812,0.055002293662336534
validation_model,20161024,highway,primary_link,6757,0.03074573180509584,0.048810456859918916
validation_model,20161024,highway,tertiary,24587,0.029887426058278883,0.04755847382279583
validation_model,20161024,highway,secondary_link,3175,0.029564161801373473,0.042342020027032995
validation_model,20161024,highway,tertiary_link,5985,0.0301038106732671,0.08526763017979554
validation_model,20161024,highway,residential,744,0.036868287176614174,0.05571238291223813
validation_model,20161024,highway,service,121,0.04457479210672881,0.057296827336445796
validation_model,20161024,highway,unknown,0,,
validation_model,20161024,highway,living_street,5,0.06277991754406446,0.07597240800107272
validation_model,20161024,highway,pedestrian,1,0.07700052389901063,0.07700052389901063
validation_model,20161024,highway,track,0,,
calibration,20161025,highway,primary,75555,0.033192360496937474,0.8889804821239726
calibration,20161025,highway,primary_link,7042,0.03173043933499112,0.06389711118600662
calibration,20161025,highway,unclassified,15215,0.03128989760953505,0.05419813998032038
calibration,20161025,highway,secondary,68646,0.028192136578353837,0.04940347238385894
calibration,20161025,highway,trunk_link,7256,0.027953995660625126,0.060062312309162987
calibration,20161025,highway,trunk,29479,0.02491326595181874,0.04883028104383194
calibration,20161025,highway,tertiary,24128,0.030823781575738216,0.049992874861380134
calibration,20161025,highway,tertiary_link,6092,0.029674233719456235,0.056934786675479805
calibration,20161025,highway,residential,734,0.03648537547293848,0.05371145449776684
calibration,20161025,highway,secondary_link,3292,0.02988353348003061,0.044558203082257046
calibration,20161025,highway,service,111,0.05350937542935918,0.08007304883881539
calibration,20161025,highway,living_street,3,0.04692919678127266,0.05121114345366794
calibration,20161025,highway,unknown,0,,
evaluation,20161026,highway,unclassified,14210,0.03183369880492098,0.06825744415266888
evaluation,20161026,highway,primary,75740,0.1298925692613864,27.55673418779587
evaluation,20161026,highway,residential,722,0.03697768127418705,0.04959151967291659
evaluation,20161026,highway,tertiary,24133,0.030206396824790902,0.048448852175322035
evaluation,20161026,highway,secondary,69114,0.028285722300590423,0.05960298735396536
evaluation,20161026,highway,trunk,31477,0.024364309451613244,0.037380889204095956
evaluation,20161026,highway,secondary_link,3112,0.0294903422523412,0.044306714001242246
evaluation,20161026,highway,primary_link,6807,0.031040985745874754,0.054044894996672366
evaluation,20161026,highway,trunk_link,7629,0.02741158513291225,0.051433909372126274
evaluation,20161026,highway,tertiary_link,5633,0.029597277618834586,0.06388050874625707
evaluation,20161026,highway,service,128,0.042990610705627486,0.06892485117830273
evaluation,20161026,highway,living_street,4,0.02304900352521167,0.026238280340677638
evaluation,20161026,highway,unknown,0,,
evaluation,20161026,highway,track,0,,
evaluation,20161026,highway,pedestrian,2,0.023745894628993777,0.02402045072846662
evaluation,20161027,highway,primary,73767,0.029529849448009567,0.05355224259825835
evaluation,20161027,highway,unclassified,15238,0.030894457956488628,0.0574574976215712
evaluation,20161027,highway,tertiary,23545,0.030058459182552174,0.05142898354043035
evaluation,20161027,highway,trunk_link,7552,0.02555325282546355,0.039747286868213785
evaluation,20161027,highway,trunk,31173,0.022889114730856256,0.04335633196495958
evaluation,20161027,highway,residential,696,0.04087652308311172,0.10565772507479841
evaluation,20161027,highway,secondary,69084,0.02806389117015408,0.05168217671199993
evaluation,20161027,highway,secondary_link,3163,0.02946962007920062,0.04188645379996848
evaluation,20161027,highway,primary_link,6728,0.03149129883740161,0.0641043356832649
evaluation,20161027,highway,tertiary_link,6087,0.028645893691992785,0.050531203982178446
evaluation,20161027,highway,service,154,0.04192582432528909,0.06128517066452889
evaluation,20161027,highway,living_street,7,0.07423472732053552,0.14073743643236017
evaluation,20161027,highway,unknown,0,,
evaluation,20161027,highway,track,0,,
evaluation,20161027,highway,pedestrian,2,0.058334043084807524,0.07132582731737219
