split,date,target,model,count,mae,rmse,pearson,spearman
validation_model,20161025,pace_sec_per_m,global_mean,237553,0.04374794553474539,0.07022173735309696,,
validation_model,20161025,pace_sec_per_m,highway_time_bin_mean,237553,0.04101727423976564,0.06790973111902364,0.25397314956171246,0.32533617204032395
validation_model,20161025,pace_sec_per_m,strict_historical_profile,237553,0.03143298233114441,0.05667948514353876,0.5908335146249477,0.6695234233729871
validation_model,20161025,pace_sec_per_m,edge_rolling_mean,237553,0.03758219444968126,0.06763243210281521,0.46560201824079744,0.5817768920517018
validation_model,20161025,pace_sec_per_m,v4_static_entry_time,237553,0.03146639508161345,0.05949839119677833,0.5313361142019798,0.6695234194628595
validation_model,20161025,pace_sec_per_m,hist_gradient_boosting,237553,0.0303584102674035,0.057831662674309954,0.564325516407182,0.7111317253862852
validation_model,20161026,pace_sec_per_m,global_mean,238711,0.04339006815367741,0.07415537611796294,,
validation_model,20161026,pace_sec_per_m,highway_time_bin_mean,238711,0.04036303143368659,0.07184413503569012,0.24963757761225414,0.34382493204599596
validation_model,20161026,pace_sec_per_m,strict_historical_profile,238711,0.03095085106875449,0.061058914591219704,0.5722580601964375,0.6736931067150964
validation_model,20161026,pace_sec_per_m,edge_rolling_mean,238711,0.03710111886513667,0.07183252315744444,0.4594794462542417,0.5759831138594438
validation_model,20161026,pace_sec_per_m,v4_static_entry_time,238711,0.03094775108790317,0.06387938039535841,0.5082327332030298,0.6736893545504756
validation_model,20161026,pace_sec_per_m,hist_gradient_boosting,238711,0.02992239463311585,0.06273420322577047,0.5320273028832581,0.7089996184411536
calibration,20161027,pace_sec_per_m,global_mean,237196,0.043110120359976856,0.06550217055562009,,
calibration,20161027,pace_sec_per_m,highway_time_bin_mean,237196,0.03993015043206676,0.06283504232217339,0.28473326062413207,0.34864357931667034
calibration,20161027,pace_sec_per_m,strict_historical_profile,237196,0.03042169823988652,0.05426479333026771,0.5610173684149276,0.6837192489956113
calibration,20161027,pace_sec_per_m,edge_rolling_mean,237196,0.036383514792315205,0.06555224256799848,0.4195129322415851,0.5886337285339277
calibration,20161027,pace_sec_per_m,v4_static_entry_time,237196,0.030421698239886524,0.05426479333026771,0.5610173684149277,0.6837192501077733
calibration,20161027,pace_sec_per_m,hist_gradient_boosting,237196,0.02951630292961493,0.052421601006031174,0.5980179969390371,0.71570844271777
legacy,20161031,pace_sec_per_m,global_mean,717805,0.04243484249334335,0.06148270667826265,,
legacy,20161031,pace_sec_per_m,highway_time_bin_mean,717805,0.03964487097009677,0.05901565157618379,0.28106459608942325,0.33434970677600423
legacy,20161031,pace_sec_per_m,strict_historical_profile,717805,0.03001454414128592,0.050381945797731684,0.5770545365677936,0.6797533595933898
legacy,20161031,pace_sec_per_m,edge_rolling_mean,717805,0.033379852784728964,0.05751962236726167,0.47884913853907346,0.6134733741671329
legacy,20161031,pace_sec_per_m,v4_static_entry_time,717805,0.03001353448121105,0.05036572578913216,0.5773638341750813,0.6797540270123487
legacy,20161031,pace_sec_per_m,hist_gradient_boosting,717805,0.028492864293642253,0.04838854814277685,0.616783811593883,0.7126235608186395
