split,date,target,quantile,empirical_coverage,coverage_error,pinball_loss,count
validation_model,20161025,pace_sec_per_m,0.5,0.514087382605145,0.014087382605144971,0.01441045039342931,237553
validation_model,20161025,pace_sec_per_m,0.9,0.9063366911804944,0.006336691180494403,0.008310863021310079,237553
validation_model,20161025,pace_sec_per_m,0.95,0.9515350258679116,0.0015350258679116546,0.005586690707157628,237553
validation_model,20161026,pace_sec_per_m,0.5,0.5156821428421815,0.0156821428421815,0.014239020814065782,238711
validation_model,20161026,pace_sec_per_m,0.9,0.9057479546397108,0.005747954639710784,0.008249163379362026,238711
validation_model,20161026,pace_sec_per_m,0.95,0.950957433884488,0.0009574338844879904,0.005572548246176284,238711
calibration,20161027,pace_sec_per_m,0.5,0.510156157776691,0.010156157776690988,0.014020856208793557,237196
calibration,20161027,pace_sec_per_m,0.9,0.9071695981382485,0.0071695981382484675,0.007990332331897033,237196
calibration,20161027,pace_sec_per_m,0.95,0.9525624378151403,0.002562437815140317,0.005336577922984537,237196
legacy,20161031,pace_sec_per_m,0.5,0.576118862365127,0.076118862365127,0.013667384370169237,717805
legacy,20161031,pace_sec_per_m,0.9,0.9249545489373855,0.024954548937385468,0.007745296298422961,717805
legacy,20161031,pace_sec_per_m,0.95,0.9619395239654224,0.011939523965422416,0.005110059667959694,717805
