split,date,scenario_model,scenario_count,route_count,scale,dispersion_multiplier,offset_s,mean_mae_s,mean_rmse_s,p50_coverage,p90_coverage,p95_coverage,p50_mae_s,average_interval_width_p90_minus_p50_s,average_interval_width_p95_minus_p50_s
validation_model,20161025,independent,1000,10000,1.0,1.0,0.0,276.347483182209,444.50581149533645,0.1459,0.2027,0.2218,277.0465780824661,29.754480304107663,38.81231481048583
validation_model,20161025,shared_route_latent,1000,10000,1.0,1.0,0.0,276.393876098304,444.56360290070586,0.1386,0.3425,0.4093,281.1594146589279,111.1151573406601,146.77218558406824
validation_model,20161025,residual_block,1000,10000,1.0,1.0,0.0,276.34016279627383,444.5039331354995,0.1446,0.2237,0.2489,277.3113759298325,39.40895574821472,51.38830186565398
validation_model,20161026,independent,1000,10000,1.0,1.0,0.0,276.22972232728006,484.1927771718564,0.1584,0.2121,0.2314,276.8885196842194,29.266151881942747,38.17618539634703
validation_model,20161026,shared_route_latent,1000,10000,1.0,1.0,0.0,276.2581794342451,484.2079977843923,0.1495,0.3505,0.4244,280.88790899295805,110.40870102348327,145.66180355831142
validation_model,20161026,residual_block,1000,10000,1.0,1.0,0.0,276.21594204334565,484.17064146286293,0.1573,0.2333,0.2601,277.1349854669571,38.83852955013275,50.62579472980498
calibration,20161027,independent,1000,10000,1.0,1.0,0.0,263.7567082184792,416.4248508204093,0.153,0.203,0.222,264.41490836887357,29.288594844856263,38.15480203647613
calibration,20161027,shared_route_latent,1000,10000,1.0,1.0,0.0,263.7913418358597,416.4403692001148,0.1455,0.3415,0.4075,268.35033758506773,109.42235546836854,144.54209462528223
calibration,20161027,residual_block,1000,10000,1.0,1.0,0.0,263.73621515983007,416.40050474554073,0.1522,0.2239,0.2472,264.6588234079361,38.87222022777558,50.63979306392668
legacy,20161031,independent,1000,30000,1.0,1.0,0.0,193.5583903689587,303.41844540623305,0.20613333333333334,0.2689,0.2901,194.06565884157817,28.120488208274843,36.576086441001884
legacy,20161031,shared_route_latent,1000,30000,1.0,1.0,0.0,193.56179559602447,303.44888799656246,0.19463333333333332,0.43356666666666666,0.5097666666666667,197.27899322745006,107.49340212347667,141.81342943250016
legacy,20161031,residual_block,1000,30000,1.0,1.0,0.0,193.55492263478212,303.41732515535205,0.205,0.2919,0.3203666666666667,194.26066721725465,37.460208406766256,48.754856808389015
calibration,20161027,shared_route_latent_calibrated,1000,10000,1.3366554061487828,2.6999999999999993,16.19543178148419,196.98105611501578,312.9532737459129,0.5,0.8996,0.9378,198.57281437976118,394.9019540738872,521.6480249317713
legacy,20161031,shared_route_latent_frozen_calibrated,1000,30000,1.3366554061487828,2.6999999999999993,16.19543178148419,166.6801241270836,243.80803316966916,0.6099333333333333,0.9461333333333334,0.9684666666666667,162.24650772719153,387.9404200989092,511.8003552117155
