split,date,target,model,count,mae,rmse,pearson,spearman
validation_model,20161025,pace_sec_per_m,global_mean,237553,0.04374794553474539,0.07022173735309696,,
validation_model,20161025,pace_sec_per_m,highway_time_bin_mean,237553,0.04101727423976564,0.06790973111902364,0.25397314956171213,0.32533617204032395
validation_model,20161025,pace_sec_per_m,strict_historical_profile,237553,0.03143298233114441,0.05667948514353876,0.5908335146249499,0.6695234233729871
validation_model,20161025,pace_sec_per_m,edge_rolling_mean,237553,0.03758219444968126,0.06763243210281521,0.46560201824079817,0.5817768920517018
validation_model,20161025,pace_sec_per_m,v4_static_entry_time,237553,0.03146639508161345,0.059498391196778334,0.5313361142019791,0.6695234194628595
validation_model,20161025,pace_sec_per_m,hist_gradient_boosting,237553,0.0303584102674035,0.057831662674309954,0.5643255164071834,0.7111317253862852
validation_model,20161025,pace_sec_per_m,rc_mstnet_v5_mean,237553,0.029150676077936023,0.055170057951301955,0.6177471376080416,0.733150024271086
validation_model,20161025,pace_sec_per_m,rc_mstnet_v5_p50,237553,0.02882090078685862,0.05680665607937976,0.592683640194227,0.7345961992385815
validation_model,20161026,pace_sec_per_m,global_mean,238711,0.04339006815367741,0.07415537611796294,,
validation_model,20161026,pace_sec_per_m,highway_time_bin_mean,238711,0.040363031433686594,0.07184413503569012,0.24963757761225402,0.34382493204599596
validation_model,20161026,pace_sec_per_m,strict_historical_profile,238711,0.030950851068754483,0.061058914591219704,0.5722580601964372,0.6736931067150964
validation_model,20161026,pace_sec_per_m,edge_rolling_mean,238711,0.03710111886513667,0.07183252315744444,0.459479446254242,0.5759831138594438
validation_model,20161026,pace_sec_per_m,v4_static_entry_time,238711,0.03094775108790317,0.06387938039535841,0.5082327332030291,0.6736893545504756
validation_model,20161026,pace_sec_per_m,hist_gradient_boosting,238711,0.02992239463311585,0.06273420322577047,0.5320273028832585,0.7089996184411536
validation_model,20161026,pace_sec_per_m,rc_mstnet_v5_mean,238711,0.028892039853258875,0.06550078225678965,0.48422769274938643,0.7291028014307184
validation_model,20161026,pace_sec_per_m,rc_mstnet_v5_p50,238711,0.028478041628131563,0.06228243577651825,0.5476357300937281,0.7310237255458037
calibration,20161027,pace_sec_per_m,global_mean,237196,0.043110120359976856,0.06550217055562008,,
calibration,20161027,pace_sec_per_m,highway_time_bin_mean,237196,0.03993015043206676,0.06283504232217339,0.2847332606241325,0.34864357931667034
calibration,20161027,pace_sec_per_m,strict_historical_profile,237196,0.030421698239886517,0.0542647933302677,0.5610173684149277,0.6837192489956113
calibration,20161027,pace_sec_per_m,edge_rolling_mean,237196,0.03638351479231521,0.06555224256799848,0.41951293224158565,0.5886337285339277
calibration,20161027,pace_sec_per_m,v4_static_entry_time,237196,0.03042169823988652,0.0542647933302677,0.5610173684149277,0.6837192501077733
calibration,20161027,pace_sec_per_m,hist_gradient_boosting,237196,0.02951630292961493,0.052421601006031174,0.5980179969390366,0.71570844271777
calibration,20161027,pace_sec_per_m,rc_mstnet_v5_mean,237196,0.028383555570371696,0.05135391785466832,0.6193284331653259,0.736291372760878
calibration,20161027,pace_sec_per_m,rc_mstnet_v5_p50,237196,0.028041712417587114,0.05168380806946101,0.6191212844696553,0.738319491490437
legacy,20161031,pace_sec_per_m,global_mean,717805,0.04243484249334335,0.06148270667826265,,
legacy,20161031,pace_sec_per_m,highway_time_bin_mean,717805,0.03964487097009677,0.05901565157618379,0.2810645960894213,0.3343497067760014
legacy,20161031,pace_sec_per_m,strict_historical_profile,717805,0.03001454414128592,0.050381945797731684,0.5770545365677942,0.6797533595933833
legacy,20161031,pace_sec_per_m,edge_rolling_mean,717805,0.033379852784728964,0.05751962236726167,0.4788491385390726,0.6134733741671331
legacy,20161031,pace_sec_per_m,v4_static_entry_time,717805,0.03001353448121105,0.05036572578913216,0.5773638341750805,0.6797540270123451
legacy,20161031,pace_sec_per_m,hist_gradient_boosting,717805,0.02849286429364225,0.04838854814277685,0.6167838115938796,0.7126235608186363
legacy,20161031,pace_sec_per_m,rc_mstnet_v5_mean,717805,0.028135204040029185,0.0474718185842272,0.6382422223594433,0.7310739620285027
legacy,20161031,pace_sec_per_m,rc_mstnet_v5_p50,717805,0.027334768740338473,0.04740793698570824,0.6379022526898998,0.7333939534266533
