split,date,subgroup_type,subgroup,count,mae,rmse
validation_model,20161025,highway,primary,75555,0.030282418035852684,0.06280668907950042
validation_model,20161025,highway,primary_link,7042,0.03156764707266339,0.06481112878139844
validation_model,20161025,highway,unclassified,15215,0.031392359412822805,0.054128592351078225
validation_model,20161025,highway,secondary,68646,0.028378052387072167,0.049232053338880956
validation_model,20161025,highway,trunk_link,7256,0.02809470620974276,0.059875585737718146
validation_model,20161025,highway,trunk,29479,0.025071830141213673,0.0490599312219991
validation_model,20161025,highway,tertiary,24128,0.030557679936420355,0.049491058557108884
validation_model,20161025,highway,tertiary_link,6092,0.02938723453026006,0.056367093006675854
validation_model,20161025,highway,residential,734,0.03500865692855115,0.052103470142419527
validation_model,20161025,highway,secondary_link,3292,0.02995094808820252,0.04453338291577076
validation_model,20161025,highway,service,111,0.04677967124858516,0.0684648132023529
validation_model,20161025,highway,living_street,3,0.03691142426565783,0.03877262366533628
validation_model,20161025,highway,unknown,0,,
validation_model,20161026,highway,unclassified,14210,0.0317899868964448,0.06790937844345851
validation_model,20161026,highway,primary,75740,0.030114269471493753,0.09099150507112078
validation_model,20161026,highway,residential,722,0.03652110926182958,0.04922126775799113
validation_model,20161026,highway,tertiary,24133,0.02996116997402819,0.048019831106013953
validation_model,20161026,highway,secondary,69114,0.028284515909946167,0.04825978526037977
validation_model,20161026,highway,trunk,31477,0.02468840749038462,0.03723357334386091
validation_model,20161026,highway,secondary_link,3112,0.02910768725407813,0.04376122694544625
validation_model,20161026,highway,primary_link,6807,0.03106710844931978,0.05461700737804472
validation_model,20161026,highway,trunk_link,7629,0.027611723449195397,0.05135240730055499
validation_model,20161026,highway,tertiary_link,5633,0.029175763881911385,0.06320171219691911
validation_model,20161026,highway,service,128,0.04432102308138593,0.07099706687985993
validation_model,20161026,highway,living_street,4,0.020834055809810022,0.029577443437706782
validation_model,20161026,highway,unknown,0,,
validation_model,20161026,highway,track,0,,
validation_model,20161026,highway,pedestrian,2,0.026388764578334598,0.0264099530771999
calibration,20161027,highway,primary,73767,0.029693073421197202,0.05344900462510786
calibration,20161027,highway,unclassified,15238,0.03097479352922365,0.05718780083518794
calibration,20161027,highway,tertiary,23545,0.029827820358403458,0.05155209491499806
calibration,20161027,highway,trunk_link,7552,0.025707723363583287,0.039610465697024595
calibration,20161027,highway,trunk,31173,0.022953606577847663,0.04260023644951836
calibration,20161027,highway,residential,696,0.03653613341168916,0.05362404804179337
calibration,20161027,highway,secondary,69084,0.028210412419769897,0.05138939043865432
calibration,20161027,highway,secondary_link,3163,0.0290741716482421,0.04121759258278514
calibration,20161027,highway,primary_link,6728,0.031536339581515443,0.06464604579982522
calibration,20161027,highway,tertiary_link,6087,0.028367282817679338,0.05029679663318701
calibration,20161027,highway,service,154,0.04138495212155307,0.05634901070484749
calibration,20161027,highway,living_street,7,0.06917170064030351,0.14093509122147158
calibration,20161027,highway,unknown,0,,
calibration,20161027,highway,track,0,,
calibration,20161027,highway,pedestrian,2,0.07247402316255105,0.07596053834110038
legacy,20161031,highway,unclassified,46106,0.030449493753832997,0.04861498260976697
legacy,20161031,highway,tertiary,70730,0.02949781407467111,0.046888663071680485
legacy,20161031,highway,secondary,206601,0.02761616817949108,0.04672520466631713
legacy,20161031,highway,tertiary_link,17683,0.02703696475867528,0.04132392135194837
legacy,20161031,highway,primary,228368,0.029342877560505607,0.052241423160172475
legacy,20161031,highway,primary_link,19537,0.030155976048537855,0.050097362083567125
legacy,20161031,highway,residential,2013,0.03460699515461695,0.049832024910828554
legacy,20161031,highway,trunk_link,22471,0.02593972084004944,0.039653450717071374
legacy,20161031,highway,trunk,94735,0.02421262377440614,0.03717637861305395
legacy,20161031,highway,secondary_link,9091,0.02916453481213437,0.05415994951759838
legacy,20161031,highway,service,446,0.043677410038550815,0.060816348024188414
legacy,20161031,highway,living_street,24,0.024918266468587,0.036049496227221076
legacy,20161031,highway,unknown,0,,
legacy,20161031,highway,track,0,,
