split,date,scenario_model,scenario_count,route_count,scale,dispersion_multiplier,offset_s,mean_mae_s,mean_rmse_s,p50_coverage,p90_coverage,p95_coverage,p50_mae_s,average_interval_width_p90_minus_p50_s,average_interval_width_p95_minus_p50_s
validation_model,20161025,independent,1000,10000,1.0,1.0,0.0,278.1281848916039,446.4375441555903,0.1408,0.196,0.214,278.8360154071808,29.398345948867803,38.430238183403006
validation_model,20161025,shared_route_latent,1000,10000,1.0,1.0,0.0,278.178626437739,446.51885047024604,0.1342,0.3336,0.4013,282.93064883766175,109.56459167098998,144.7333268751144
validation_model,20161025,residual_block,1000,10000,1.0,1.0,0.0,278.1262514128426,446.4429201432413,0.1395,0.215,0.2409,279.09395557384494,38.88418334064484,50.778950042114246
validation_model,20161026,independent,1000,10000,1.0,1.0,0.0,277.69899714683527,485.50583645194735,0.1528,0.2066,0.2233,278.38788009033203,28.898680832595833,37.752019122562395
validation_model,20161026,shared_route_latent,1000,10000,1.0,1.0,0.0,277.7275801945872,485.5215704417945,0.1445,0.3437,0.4148,282.3496726762772,108.82691857254031,143.61948609619137
validation_model,20161026,residual_block,1000,10000,1.0,1.0,0.0,277.6754710677332,485.48060042707704,0.1517,0.2253,0.25,278.6351540365219,38.32801861309052,50.02438571392058
calibration,20161027,independent,1000,10000,1.0,1.0,0.0,265.13570102541235,418.0275114405885,0.1472,0.1964,0.214,265.8082686115265,28.88227028831482,37.644335559616074
calibration,20161027,shared_route_latent,1000,10000,1.0,1.0,0.0,265.1683486993568,418.0422944646203,0.139,0.3338,0.4012,269.72321342201235,107.75982031799317,142.33794974945064
calibration,20161027,residual_block,1000,10000,1.0,1.0,0.0,265.1146968426338,418.00407308033846,0.1461,0.2163,0.2396,266.0486243122101,38.32457776565552,49.939543012580856
calibration,20161027,shared_route_latent_calibrated,1000,10000,1.340154920267497,2.7999999999999994,16.423009084774606,196.1296741286259,312.0316656643768,0.5,0.9028,0.9402,197.84850306252886,404.3615895376397,534.113730353039
