split,date,target,model,count,mae,rmse,pearson,spearman
validation_model,20161025,pace_sec_per_m,global_mean,237553,0.04374794553474539,0.07022173735309696,,
validation_model,20161025,pace_sec_per_m,highway_time_bin_mean,237553,0.04101727423976564,0.06790973111902364,0.25397314956171213,0.32533617204032395
validation_model,20161025,pace_sec_per_m,strict_historical_profile,237553,0.03143298233114441,0.05667948514353876,0.5908335146249499,0.6695234233729871
validation_model,20161025,pace_sec_per_m,edge_rolling_mean,237553,0.03758219444968126,0.06763243210281521,0.46560201824079817,0.5817768920517018
validation_model,20161025,pace_sec_per_m,v4_static_entry_time,237553,0.03146639508161345,0.059498391196778334,0.5313361142019791,0.6695234194628595
validation_model,20161025,pace_sec_per_m,hist_gradient_boosting,237553,0.0303584102674035,0.057831662674309954,0.5643255164071834,0.7111317253862852
validation_model,20161025,pace_sec_per_m,rc_mstnet_v5_mean,237553,0.029028639152524825,0.05368822350221898,0.64423547240955,0.7332477326677854
validation_model,20161025,pace_sec_per_m,rc_mstnet_v5_p50,237553,0.028796444068983754,0.056638029942678116,0.598044875370395,0.7345711409628612
validation_model,20161026,pace_sec_per_m,global_mean,238711,0.04339006815367741,0.07415537611796294,,
validation_model,20161026,pace_sec_per_m,highway_time_bin_mean,238711,0.040363031433686594,0.07184413503569012,0.24963757761225402,0.34382493204599596
validation_model,20161026,pace_sec_per_m,strict_historical_profile,238711,0.030950851068754483,0.061058914591219704,0.5722580601964372,0.6736931067150964
validation_model,20161026,pace_sec_per_m,edge_rolling_mean,238711,0.03710111886513667,0.07183252315744444,0.459479446254242,0.5759831138594438
validation_model,20161026,pace_sec_per_m,v4_static_entry_time,238711,0.03094775108790317,0.06387938039535841,0.5082327332030291,0.6736893545504756
validation_model,20161026,pace_sec_per_m,hist_gradient_boosting,238711,0.02992239463311585,0.06273420322577047,0.5320273028832585,0.7089996184411536
validation_model,20161026,pace_sec_per_m,rc_mstnet_v5_mean,238711,0.028874241213729064,0.07118063710595539,0.4120870238697206,0.728462621305349
validation_model,20161026,pace_sec_per_m,rc_mstnet_v5_p50,238711,0.02849224002819452,0.062417159907389407,0.5458553666988731,0.7303106669028299
calibration,20161027,pace_sec_per_m,global_mean,237196,0.043110120359976856,0.06550217055562008,,
calibration,20161027,pace_sec_per_m,highway_time_bin_mean,237196,0.03993015043206676,0.06283504232217339,0.2847332606241325,0.34864357931667034
calibration,20161027,pace_sec_per_m,strict_historical_profile,237196,0.030421698239886517,0.0542647933302677,0.5610173684149277,0.6837192489956113
calibration,20161027,pace_sec_per_m,edge_rolling_mean,237196,0.03638351479231521,0.06555224256799848,0.41951293224158565,0.5886337285339277
calibration,20161027,pace_sec_per_m,v4_static_entry_time,237196,0.03042169823988652,0.0542647933302677,0.5610173684149277,0.6837192501077733
calibration,20161027,pace_sec_per_m,hist_gradient_boosting,237196,0.02951630292961493,0.052421601006031174,0.5980179969390366,0.71570844271777
calibration,20161027,pace_sec_per_m,rc_mstnet_v5_mean,237196,0.028298565536968915,0.05138953062097015,0.6188775676745618,0.7360600712908862
calibration,20161027,pace_sec_per_m,rc_mstnet_v5_p50,237196,0.028040040615446,0.0517736808133389,0.6188666077200863,0.7379714854003365
