split,date,target,left_model,right_model,left_minus_right_absolute_error,ci95,replicates,order_count
validation_model,20161025,crawl_time_share,rc_mstnet_v5,rc_mstnet_v4,-0.0025702828155717296,"[-0.002936831582996055, -0.0021983695025798926]",500,10000
validation_model,20161025,stop_time_share,rc_mstnet_v5,rc_mstnet_v4,-0.00017241774955225017,"[-0.0002222404270727013, -0.00012577899103254092]",500,10000
validation_model,20161025,speed_cv_bounded,rc_mstnet_v5,rc_mstnet_v4,-0.00019566624397274936,"[-0.00026540414329020594, -0.00012452983919303268]",500,9999
validation_model,20161025,acceleration_rms_bounded,rc_mstnet_v5,rc_mstnet_v4,-9.429341071652156e-05,"[-0.00026139992190065504, 7.974802388149911e-05]",500,9973
validation_model,20161025,rts_raw,rc_mstnet_v5,rc_mstnet_v4,-0.0011480517842392128,"[-0.0013029039747629678, -0.0009818925555333934]",500,10000
validation_model,20161025,lcs_raw,rc_mstnet_v5,rc_mstnet_v4,9.524566681813054e-05,"[-1.1991822769220675e-05, 0.00020169936006286064]",500,9958
validation_model,20161026,crawl_time_share,rc_mstnet_v5,rc_mstnet_v4,-0.0022654962677883294,"[-0.0026129825937684726, -0.0018994507117506025]",500,10000
validation_model,20161026,stop_time_share,rc_mstnet_v5,rc_mstnet_v4,-0.00020516837420145916,"[-0.0002554466181737467, -0.0001518268452200804]",500,10000
validation_model,20161026,speed_cv_bounded,rc_mstnet_v5,rc_mstnet_v4,-0.00014742661178746323,"[-0.00022872384053396316, -7.10573113962572e-05]",500,10000
validation_model,20161026,acceleration_rms_bounded,rc_mstnet_v5,rc_mstnet_v4,-6.835347275326397e-05,"[-0.0002449508626642874, 8.920319035270682e-05]",500,9967
validation_model,20161026,rts_raw,rc_mstnet_v5,rc_mstnet_v4,-0.0008830980790613668,"[-0.001045178984562988, -0.0007108496357176631]",500,10000
validation_model,20161026,lcs_raw,rc_mstnet_v5,rc_mstnet_v4,0.00011877677837244598,"[1.657957566561616e-05, 0.000218846407054626]",500,9951
calibration,20161027,crawl_time_share,rc_mstnet_v5,rc_mstnet_v4,-0.002482391633522637,"[-0.0028694813299913256, -0.002123231180086206]",500,10000
calibration,20161027,stop_time_share,rc_mstnet_v5,rc_mstnet_v4,-0.00018132710800766022,"[-0.00023386866960120806, -0.00012920100856929402]",500,10000
calibration,20161027,speed_cv_bounded,rc_mstnet_v5,rc_mstnet_v4,-0.00022599596725659204,"[-0.0002957479279627085, -0.00015822463546164128]",500,9999
calibration,20161027,acceleration_rms_bounded,rc_mstnet_v5,rc_mstnet_v4,-0.0002973340441002403,"[-0.0004697003316851544, -0.0001245103093642228]",500,9959
calibration,20161027,rts_raw,rc_mstnet_v5,rc_mstnet_v4,-0.0011892149169261438,"[-0.0013409483338423635, -0.00102952262160646]",500,10000
calibration,20161027,lcs_raw,rc_mstnet_v5,rc_mstnet_v4,0.00014762737029391348,"[4.3502328961491535e-05, 0.00024568445992954446]",500,9944
