split,date,target,model,count,mae,rmse,pearson,spearman
validation_model,20161025,crawl_time_share,rc_mstnet_v4,260356,0.17587437094149316,0.29703022448118155,0.5166446284475628,0.5135281802872794
validation_model,20161025,crawl_time_share,rc_mstnet_v5,260356,0.17330408812592143,0.29463122230406186,0.5219815415681609,0.5243698161342123
validation_model,20161025,stop_time_share,rc_mstnet_v4,260356,0.005651059814718867,0.04897420676967589,0.5603273772224057,0.12589363235466688
validation_model,20161025,stop_time_share,rc_mstnet_v5,260356,0.005478642065166617,0.04910547074278037,0.5571486967286952,0.12481335509764148
validation_model,20161025,speed_cv_bounded,rc_mstnet_v4,176855,0.06331029996162929,0.0795243918354979,0.41661228708075104,0.41400471376500064
validation_model,20161025,speed_cv_bounded,rc_mstnet_v5,176855,0.06311463371765655,0.079480980411642,0.41901920522769404,0.41946985196122855
validation_model,20161025,acceleration_rms_bounded,rc_mstnet_v4,121281,0.11918837167031236,0.14701063332327502,0.29249894128049736,0.28699646630987063
validation_model,20161025,acceleration_rms_bounded,rc_mstnet_v5,121281,0.11909407825959584,0.14646583738298063,0.29360865231793015,0.28707856066062987
validation_model,20161025,rts_raw,rc_mstnet_v4,237553,0.10130551654949194,0.13650019516124232,0.4981640200927394,0.4045958542854023
validation_model,20161025,rts_raw,rc_mstnet_v5,237553,0.10015746476525274,0.13696336633610096,0.5042452291692029,0.4107151149092497
validation_model,20161025,lcs_raw,rc_mstnet_v4,106386,0.06273659533225259,0.07898407512057264,0.3258255207391548,0.3138714036230672
validation_model,20161025,lcs_raw,rc_mstnet_v5,106386,0.06283184099907073,0.07921710706209671,0.3142254129391576,0.3008500078962322
validation_model,20161026,crawl_time_share,rc_mstnet_v4,260552,0.17036905567479127,0.2923696759955849,0.5179253137130208,0.5101364239497129
validation_model,20161026,crawl_time_share,rc_mstnet_v5,260552,0.16810355940700294,0.2899823624210861,0.5231789995825233,0.5213557026395369
validation_model,20161026,stop_time_share,rc_mstnet_v4,260552,0.005617228335273717,0.04817124926076248,0.5711622213620923,0.1291023764802609
validation_model,20161026,stop_time_share,rc_mstnet_v5,260552,0.0054120599610722585,0.04819524281625006,0.5708399861822262,0.12795867496045732
validation_model,20161026,speed_cv_bounded,rc_mstnet_v4,176726,0.06330505712226034,0.0793588682446838,0.4136614029614019,0.41015428173275015
validation_model,20161026,speed_cv_bounded,rc_mstnet_v5,176726,0.06315763051047288,0.07936140264670181,0.41490203039598467,0.41512516551275386
validation_model,20161026,acceleration_rms_bounded,rc_mstnet_v4,120951,0.11983535858473073,0.14741087570771866,0.28794176152203677,0.27900807162298996
validation_model,20161026,acceleration_rms_bounded,rc_mstnet_v5,120951,0.11976700511197746,0.14694689102980357,0.28691925078736136,0.278238380380565
validation_model,20161026,rts_raw,rc_mstnet_v4,238711,0.10015964283475028,0.13555715334197183,0.48124483386242983,0.3870678695051413
validation_model,20161026,rts_raw,rc_mstnet_v5,238711,0.0992765447556889,0.13612210182519394,0.48552685455460404,0.39074139095576377
validation_model,20161026,lcs_raw,rc_mstnet_v4,106761,0.06212557635559447,0.07828481906361708,0.32001728115162587,0.3051103883003056
validation_model,20161026,lcs_raw,rc_mstnet_v5,106761,0.062244353133966916,0.07849241113542091,0.30851750867065414,0.2932830874572045
calibration,20161027,crawl_time_share,rc_mstnet_v4,259332,0.17169038940693016,0.2930835058175078,0.5177430306727953,0.5139283226741288
calibration,20161027,crawl_time_share,rc_mstnet_v5,259332,0.1692079977734075,0.2903631764127389,0.5237253691924075,0.5250322704383523
calibration,20161027,stop_time_share,rc_mstnet_v4,259332,0.005455973637730686,0.04760750971041022,0.5797662238460632,0.12433270141351592
calibration,20161027,stop_time_share,rc_mstnet_v5,259332,0.005274646529723027,0.04763438773749286,0.5789744616960557,0.12389316754203382
calibration,20161027,speed_cv_bounded,rc_mstnet_v4,176360,0.06315368724787594,0.07921248128497001,0.41252252627956487,0.41128924770475067
calibration,20161027,speed_cv_bounded,rc_mstnet_v5,176360,0.06292769128061937,0.07915868818897115,0.4151656678702231,0.4170778054426358
calibration,20161027,acceleration_rms_bounded,rc_mstnet_v4,121685,0.11976412005283442,0.1474952163791839,0.28758412718379844,0.2808683435153101
calibration,20161027,acceleration_rms_bounded,rc_mstnet_v5,121685,0.11946678600873417,0.14690919356730495,0.29008453516175686,0.2829045109484409
calibration,20161027,rts_raw,rc_mstnet_v4,237196,0.0999016957392805,0.13438541836773182,0.47882852527860853,0.3773972870581148
calibration,20161027,rts_raw,rc_mstnet_v5,237196,0.09871248082235434,0.13482662808912269,0.48587816270177925,0.38375421774390184
calibration,20161027,lcs_raw,rc_mstnet_v4,107101,0.06248553054455112,0.07887636397069228,0.3175844486457131,0.30775451354061306
calibration,20161027,lcs_raw,rc_mstnet_v5,107101,0.06263315791484501,0.0790870778078492,0.30552925607328374,0.29422029889610585
