split,date,subgroup_type,subgroup,count,mae,rmse
validation_model,20161025,highway,primary,75555,0.03005115309175691,0.05858366911475062
validation_model,20161025,highway,primary_link,7042,0.03148711299923908,0.06431975998260968
validation_model,20161025,highway,unclassified,15215,0.031306979357454634,0.05433814735736799
validation_model,20161025,highway,secondary,68646,0.028301192005271758,0.04925542130942913
validation_model,20161025,highway,trunk_link,7256,0.02797414177724387,0.059652081236727474
validation_model,20161025,highway,trunk,29479,0.024988442565389082,0.04920868614144604
validation_model,20161025,highway,tertiary,24128,0.030530734288249105,0.04956755220244011
validation_model,20161025,highway,tertiary_link,6092,0.029388192679691092,0.05640174494617967
validation_model,20161025,highway,residential,734,0.03504769636797971,0.051088245037261046
validation_model,20161025,highway,secondary_link,3292,0.029830981300982506,0.044532076706028344
validation_model,20161025,highway,service,111,0.04602039443576372,0.06742195554570894
validation_model,20161025,highway,living_street,3,0.05463883406555153,0.05538602923922407
validation_model,20161025,highway,unknown,0,,
validation_model,20161026,highway,unclassified,14210,0.031669865152757624,0.06789247091695676
validation_model,20161026,highway,primary,75740,0.030135813949126886,0.10341357346370968
validation_model,20161026,highway,residential,722,0.036584579214306946,0.04926919637740696
validation_model,20161026,highway,tertiary,24133,0.029968697094432263,0.04819487547591028
validation_model,20161026,highway,secondary,69114,0.02826119201018061,0.04824219057530521
validation_model,20161026,highway,trunk,31477,0.024585514292353963,0.03809759268145473
validation_model,20161026,highway,secondary_link,3112,0.029159811371540396,0.04397388519999942
validation_model,20161026,highway,primary_link,6807,0.030915948107781272,0.05458145665212018
validation_model,20161026,highway,trunk_link,7629,0.02767421311846706,0.05140219703271723
validation_model,20161026,highway,tertiary_link,5633,0.029358126033452253,0.06330419791046522
validation_model,20161026,highway,service,128,0.04258937314281826,0.06872467646508686
validation_model,20161026,highway,living_street,4,0.027900875626637796,0.0330155667189704
validation_model,20161026,highway,unknown,0,,
validation_model,20161026,highway,track,0,,
validation_model,20161026,highway,pedestrian,2,0.02932002415084055,0.03140313400747091
calibration,20161027,highway,primary,73767,0.029597990424032945,0.05344992892878438
calibration,20161027,highway,unclassified,15238,0.030948594561571043,0.05731017657860039
calibration,20161027,highway,tertiary,23545,0.029826572769031057,0.0516213805986791
calibration,20161027,highway,trunk_link,7552,0.02576717964671619,0.03980709226374677
calibration,20161027,highway,trunk,31173,0.022741510909435388,0.04278506754958332
calibration,20161027,highway,residential,696,0.03669092418629565,0.05378964146049404
calibration,20161027,highway,secondary,69084,0.02813095670667705,0.05137619812519025
calibration,20161027,highway,secondary_link,3163,0.029074749761464187,0.04127906187945232
calibration,20161027,highway,primary_link,6728,0.03135952525778427,0.06457643970966657
calibration,20161027,highway,tertiary_link,6087,0.02830458209721957,0.05024192964865164
calibration,20161027,highway,service,154,0.04406376674160214,0.05842846872497539
calibration,20161027,highway,living_street,7,0.06919047138268673,0.13769037040084375
calibration,20161027,highway,unknown,0,,
calibration,20161027,highway,track,0,,
calibration,20161027,highway,pedestrian,2,0.06451552903575433,0.06831128978302854
