protocol,split,date,p50_minus_tree_absolute_error,ci95_low,ci95_high,order_count,replicates
development,evaluation,20161025,-0.0005538628139328174,-0.000614880267145624,-0.0004938077170054537,10000,1000
development,evaluation,20161026,-0.0005005803512209659,-0.0005648507239769819,-0.0004345803381861188,10000,1000
development,evaluation,20161027,-0.0004933449079955412,-0.0005493429566506973,-0.00043268214623318955,10000,1000
fold_1,evaluation,20161022,-0.00046622110782913365,-0.0005275320776685897,-0.0004082217849275142,10000,1000
fold_1,evaluation,20161023,-0.0007048014783966602,-0.0007657499425500147,-0.0006425244468317333,10000,1000
fold_2,evaluation,20161024,-0.0007648849706091938,-0.0008105645894544818,-0.0007176120401473472,10000,1000
fold_2,evaluation,20161025,-0.0007425284211556982,-0.0007972626257119362,-0.0006892473034811529,10000,1000
fold_3,evaluation,20161026,-0.0008177015626121153,-0.0008822989243346738,-0.0007504923974043166,10000,1000
fold_3,evaluation,20161027,-0.0007927342478077188,-0.0008603636226849968,-0.0007298925946633876,10000,1000
legacy,legacy,20161031,-0.0011396666884409704,-0.001173013041518337,-0.0011034994586138934,30000,1000
