protocol,split,date,count,p50_mae,p50_rmse,p90_coverage,p95_coverage
development,evaluation,20161025,237553,0.02971644734953265,0.05815599868847654,0.890378147192416,0.9442692788556659
development,evaluation,20161026,238711,0.029385531585931754,0.06327331924526404,0.888739940765193,0.9439322025377967
development,evaluation,20161027,237196,0.028963330361532553,0.05284419913512127,0.8920386515792846,0.945842257036375
fold_1,evaluation,20161022,242193,0.030575329540054246,0.06592985065067007,0.9002448460525283,0.9500893915183346
fold_1,evaluation,20161023,241839,0.0278719735875609,0.04968870094431416,0.9010746819164817,0.9520466095212103
fold_2,evaluation,20161024,237564,0.02878840663186367,0.058160087266631265,0.8992776683335859,0.9483044569042447
fold_2,evaluation,20161025,237553,0.02954859029209841,0.05791655640471174,0.8958927060487555,0.9461888504881016
fold_3,evaluation,20161026,238711,0.029122362102133495,0.06306456612310002,0.8867919785849835,0.9417622145607031
fold_3,evaluation,20161027,237196,0.028735285241539323,0.05263586454277095,0.8891338808411609,0.94371321607447
legacy,legacy,20161031,717805,0.027353197604782158,0.04803007933589501,0.9087398388141626,0.9552385397148251
