protocol,split,date,route_count,route_p50_mae_s,route_mean_mae_s,route_mean_rmse_s,sample_crps_s,weighted_interval_score_s,p90_coverage,p95_coverage,p90_p50_width_s,p95_p50_width_s,maximum_scenario_s,extreme_scenario_share,maximum_route_mean_s,maximum_route_cvar95_s,prediction_source
development,validation_model,20161022,10000,218.4742745806173,218.737406368504,359.1417820634798,173.04844485270647,494.4050219091852,0.8961,0.9293,479.75778346853497,613.9066607987838,7736.654201160795,0.0,3363.684675074809,6318.67111328125,deep_scenario
development,validation_model,20161023,10000,163.59350861666553,164.62394957673072,237.05262004664507,131.06013210891473,375.9913287263109,0.953,0.972,455.70035456513045,583.9117598303905,7762.814595592697,0.0,3391.8839231501092,6429.285,deep_scenario
development,calibration,20161024,10000,188.3980136659154,188.81696802330472,289.5193931796404,148.8050267424666,422.67253576712255,0.9176,0.9502,459.16937069695706,587.3447590171833,7565.313801076894,0.0,2882.208800547924,5541.2461328125,deep_scenario
development,evaluation,20161025,10000,209.9570414417948,210.30586738600888,344.7636768152761,164.68651955647888,468.7312667192925,0.9052,0.9375,468.08333703745296,598.8545944894146,11454.40473197256,0.0,4319.3833965210315,8190.241728515625,deep_scenario
development,evaluation,20161026,10000,215.41777776927287,215.8665222232434,393.2185559691553,172.44995769034904,500.62448121782,0.9051,0.9342,464.3842207223832,594.4387510247774,9621.861325086378,0.0,3866.0409305268263,7167.275888671875,deep_scenario
development,evaluation,20161027,10000,199.97397091930063,200.51993017272096,321.2833513532109,157.73649869323495,449.3860424117809,0.9123,0.9427,462.7170909746716,592.3351283885872,7692.067079675079,0.0,3001.1937660598755,5642.8505078125,deep_scenario
fold_1,validation_model,20161019,10000,153.0150172793313,153.59949608138848,227.23491027068977,116.8528650793917,329.1063880715824,0.9261,0.9549,350.3480577064106,448.4949456123777,6784.57653693541,0.0,2898.0910608683557,5387.1707421875,deep_scenario
fold_1,validation_model,20161020,10000,156.66737721669168,157.45698933405728,237.765158521862,119.5466527968287,335.55246603541394,0.9228,0.9507,353.32604498950167,452.6188306404288,6978.349217504809,0.0,3048.226342376709,5393.9215625,deep_scenario
fold_1,calibration,20161021,10000,176.5957758977708,176.899245229,276.96450294992314,134.4933888206999,378.57019602701104,0.8972,0.9347,363.7680249188974,465.7367090257274,8150.36681057373,0.0,3827.1714967803955,6469.479697265625,deep_scenario
fold_1,evaluation,20161022,10000,213.6825605999164,213.75429617628103,356.71740315524085,164.5505105064971,472.2598399872964,0.8553,0.8946,372.5351924967276,476.7226902005536,6953.802906754796,0.0,3283.9846078681944,5734.801044921875,deep_scenario
fold_1,evaluation,20161023,10000,157.55575500894955,158.03515635034265,230.7761045621068,119.09496436898988,333.4629718321107,0.9216,0.9502,350.9717556764478,449.694140305249,6707.674161042691,0.0,3101.326197692871,5492.714853515625,deep_scenario
fold_2,validation_model,20161021,10000,184.4136688704819,184.6492673602829,291.76301813170755,139.17423654040638,391.95112091457935,0.8601,0.9051,331.59453782512094,424.6906719160024,7875.29366683188,0.0,3761.172487762451,6272.506865234375,deep_scenario
fold_2,validation_model,20161022,10000,225.5300143999925,225.45548996194375,377.0515603477679,173.485787835738,503.00479771600703,0.811,0.8597,338.3395640665795,433.4041759367369,6453.947653923754,0.0,3103.157948425293,5452.35630859375,deep_scenario
fold_2,calibration,20161023,10000,161.5208345065744,161.93039666284574,239.88810121905536,120.99553565430556,337.9165591861045,0.8944,0.932,326.1265153898673,418.0772359950955,6628.934130299154,0.0,3259.727846191406,5611.146806640625,deep_scenario
fold_2,evaluation,20161024,10000,193.50232276501563,193.5948492672121,302.4365845911844,145.62627151054144,411.7093702944233,0.8434,0.8847,324.2204820096967,414.9622215909433,6233.801984777032,0.0,2725.2373650512695,4746.5312890625,deep_scenario
fold_2,evaluation,20161025,10000,216.80012873464756,216.86021347464435,362.4468808967846,164.97161443461232,474.7017368974052,0.8215,0.868,328.8490214501989,420.9682469661238,9325.921974368626,0.0,4045.8846383361815,6910.71001953125,deep_scenario
fold_3,validation_model,20161023,10000,160.38420457091152,161.32972626265655,232.2712753097479,130.79479587076636,378.3247347746544,0.9577,0.9751,469.6546798895052,601.2793294884552,7805.829039536841,0.0,3350.537322713037,6485.547802734375,deep_scenario
fold_3,validation_model,20161024,10000,185.8369492001624,186.1977531299199,285.43244351869305,148.07884797878685,422.7881866371414,0.9233,0.9534,468.4965669673053,598.8460588204246,7820.401923035592,0.0,2864.4002020491494,5593.44513671875,deep_scenario
fold_3,calibration,20161025,10000,206.92590314408,207.2403373195245,340.30950977200496,163.55882405381442,467.9059031741747,0.9092,0.9418,475.2293697230607,607.6744563836343,11432.248217787906,0.0,4200.753691640502,8141.12966796875,deep_scenario
fold_3,evaluation,20161026,10000,213.0393426239235,213.3610392667891,389.24277275736927,171.7673530096708,500.9490687893992,0.9087,0.9372,472.4586054097537,604.309817291806,9982.968815252434,0.0,3828.7005732252533,7334.441728515625,deep_scenario
fold_3,evaluation,20161027,10000,197.34850482806945,197.8195218377588,316.9712410929035,156.78667800099564,448.7108714699882,0.9155,0.9455,469.77138184313776,601.0025807144522,7761.584058089295,0.0,2857.70701037087,5749.930771484375,deep_scenario
legacy,validation_model,20161025,10000,203.83899556695343,203.87183789394385,337.69967114558494,154.74819103296576,438.2659996257856,0.8793,0.9176,380.18917715562657,486.9026944162445,10172.287278958,0.0,4299.413727401733,7505.004423828125,deep_scenario
legacy,validation_model,20161026,10000,209.7053288079129,209.82603193912735,386.8980426914208,162.7240442190225,471.8058618773434,0.8836,0.9158,377.160420449326,483.12398509157634,8557.345779926929,0.0,3783.226684814453,6506.484482421875,deep_scenario
legacy,calibration,20161027,10000,193.4484215717873,193.6058829754233,313.1077058169327,147.1914145689523,416.3142415092145,0.8894,0.9252,375.91361085569366,481.6756148142314,6843.649454216848,0.0,2825.1792884521483,4942.49248046875,deep_scenario
legacy,legacy,20161031,30000,159.88156461493864,160.60200161009928,241.00972128013757,121.16206291132984,341.65081321346634,0.9352666666666668,0.9577,362.874356163152,464.7112486054911,9425.910839115988,0.0,4257.133149383545,7856.141982421875,deep_scenario
