protocol,split,date,prediction_source,stability_status,extreme_scenario_share,maximum_route_cvar95_s,maximum_route_mean_s,maximum_scenario_s,p90_coverage,p90_p50_width_s,p95_coverage,p95_p50_width_s,route_count,route_mean_mae_s,route_mean_rmse_s,route_p50_mae_s,sample_crps_s,weighted_interval_score_s
development,validation_model,20161022,tree,PASS,6.34e-05,8139.0473573502895,3434.3401261643257,182807.13289455956,0.8839,491.54449111978255,0.9273,673.629982361689,10000,216.34778487457493,349.41594519122503,215.46335067129385,166.7221641180503,481.5338857615595
development,validation_model,20161023,tree,PASS,6.47e-05,8068.369976610498,3344.017371441553,173440.2106332449,0.9479,492.58840457384764,0.9711,675.4022487474085,10000,171.3500963439878,241.0563333264655,159.31690648485156,125.64163511195304,367.9553237760194
development,calibration,20161024,tree,PASS,6.18e-05,7745.496369509213,3055.5607596559953,165091.09525207177,0.9123,484.20295951804667,0.9499,663.7262542076583,10000,191.9393862815126,285.3971549545372,185.5846419004043,143.11306341412146,410.5427472679074
development,evaluation,20161025,tree,PASS,6.29e-05,9165.94650052021,4354.562252790749,188859.45462000283,0.8966,483.9076229248305,0.9369,663.7547633196394,10000,211.3322765796808,335.9079954414095,206.19230932094518,158.57483839555894,456.71259607128667
development,evaluation,20161026,tree,PASS,6.22e-05,10655.343941057477,4022.186392036709,236804.7970985922,0.898,487.1696447979294,0.9324,668.1269870154463,10000,219.747750531746,385.54085597702806,212.12513110627998,167.1915460583748,493.44813263266684
development,evaluation,20161027,tree,PASS,6.46e-05,9012.535233373364,2982.7359639818787,199849.85428227074,0.9051,483.997135127889,0.9414,663.2435098191779,10000,202.21920080877717,313.16477045716096,195.72351200272897,151.2061637445171,436.29699808086474
fold_1,validation_model,20161019,tree,PASS,7.2e-05,5925.466951517981,2888.1420079746413,58136.72559139487,0.9291,394.91090613127795,0.9604,543.7659530424183,10000,162.35811840205739,233.01041346386842,152.7994736952186,115.89049881696359,331.67682711691987
fold_1,validation_model,20161020,tree,PASS,6.81e-05,7500.389414552299,3286.1012362121246,69744.00339388612,0.9262,395.1941110667696,0.9594,543.6548489246854,10000,166.08800928202265,241.86023139325255,156.63202485166505,118.44019916843436,337.91825767382306
fold_1,calibration,20161021,tree,PASS,7.22e-05,8541.394817392513,4026.4753722740293,79386.68297893667,0.898,393.9956585707781,0.9401,542.3715567085364,10000,181.44307994302986,274.6935885294172,176.93063386357397,132.69457708893563,376.69722270313224
fold_1,evaluation,20161022,tree,PASS,7.09e-05,7513.791495870442,3384.190701912702,61204.51726483666,0.8453,389.3412872077741,0.8972,535.8544498676979,10000,214.62178591236486,350.418244366524,215.12062270745042,163.47901567221783,471.4949188912343
fold_1,evaluation,20161023,tree,PASS,6.98e-05,8505.755911825872,3302.28715546068,70148.01125838718,0.9232,390.10538870654807,0.9551,536.7908657315536,10000,165.7322954201234,235.6137265257482,157.88440994366704,118.27031213367651,336.42814015247063
fold_2,validation_model,20161021,tree,FAIL,0.0012029,11814.155323379593,4068.848208432813,114514.41602796846,0.8801,376.9625591015781,0.9294,518.6303177722035,10000,184.39466360770496,276.8050820025064,178.18601302059903,134.1892769778242,380.3581395919796
fold_2,validation_model,20161022,tree,FAIL,0.0011728,10017.426784751404,3460.3305906978558,101680.90356143551,0.8269,372.4870633252731,0.8817,512.1210894758324,10000,216.21736896336535,349.53330387508583,218.33661858813082,166.4884259274858,481.9832856823818
fold_2,calibration,20161023,tree,FAIL,0.0011844,10611.093895740558,3346.6928138088865,110311.82310264255,0.909,373.1722199543462,0.9465,513.357645398907,10000,170.11279901589137,239.5249178143948,156.7305114972473,117.90802499808319,334.72200878246593
fold_2,evaluation,20161024,tree,FAIL,0.0011553,9076.761609939887,3036.678096744464,87569.27596535302,0.8606,366.6098786244694,0.9102,504.5651222561952,10000,191.18201357026655,285.2846991875935,186.44515558371398,139.89841771322233,396.6529228581707
fold_2,evaluation,20161025,tree,FAIL,0.0011684,12912.4938978802,4513.4925807376485,125914.37867747388,0.8399,367.015821796374,0.8939,504.3146575179065,10000,210.5951044859208,335.8705243728181,207.61521480166329,157.25131564789135,453.0193453534952
fold_3,validation_model,20161023,tree,PASS,8.92e-05,10313.094275306512,3494.4723682572594,164045.20753917267,0.9539,522.4659101396837,0.9761,729.78507770659,10000,175.21118690461208,244.28483030766796,159.41562843054766,127.54764755715938,378.5939329766708
fold_3,validation_model,20161024,tree,PASS,8.7e-05,7382.3719313827705,3129.8797498356935,111751.29483962063,0.9232,513.5575338943577,0.9575,716.3966079468379,10000,194.07361595180765,285.42129003756287,184.73630821533558,144.13015191947952,417.6145466039739
fold_3,calibration,20161025,tree,PASS,8.68e-05,10290.33477413852,4578.5312415091485,161664.37944012706,0.9066,513.3160124808123,0.9473,716.5822415100183,10000,211.9389066263108,332.35062678831997,204.56549975018686,158.49663957120646,459.7457606998334
fold_3,evaluation,20161026,tree,PASS,8.16e-05,9920.67357774593,4156.235283466827,161501.1167372136,0.9079,516.3666221095664,0.9402,721.177406209951,10000,222.05015545367826,383.1356272625978,211.47813159817647,167.73627835937637,497.0170352065307
fold_3,evaluation,20161027,tree,PASS,8.74e-05,9161.565999908866,3096.987426121671,191500.13853995665,0.9163,513.2241911917506,0.9497,716.3417759277928,10000,203.96040177181396,311.66885426346886,194.44606895811302,151.57954395955258,440.7105571853321
legacy,validation_model,20161025,tree,PASS,7.92e-05,9646.624281544411,4480.069017909972,74402.81788787272,0.8956,477.2253949180726,0.9341,648.4765462038873,10000,209.18085934891351,333.28085231265925,204.73478669700202,158.31515367872166,459.2294428309834
legacy,validation_model,20161026,tree,PASS,7.79e-05,8260.760572178579,3883.9362470463266,85695.01266457106,0.8969,480.47880853495076,0.9306,652.8617810746055,10000,218.3592874764075,384.32235788021313,211.05506612558784,167.59164727765062,497.88779676269104
legacy,calibration,20161027,tree,PASS,7.91e-05,8134.419454924988,3137.8154300621513,99566.6231816467,0.9044,477.41864306544375,0.9408,649.1869544806436,10000,200.8724944516391,312.05750461283566,194.57955174671264,151.43853978136335,439.99446981910523
legacy,legacy,20161031,tree,PASS,7.44e-05,9705.709645664036,4484.587831847324,98310.62029223856,0.9478666666666666,483.1184589916925,0.9695,656.9040278806823,30000,170.85990297211782,248.35712982962576,157.12706647268348,125.7091653218775,372.76199132398114
