rank,structure_signature_sha256,unique_edge_count
1,00b3f6a06af3eea5e56a22825a0d006d2b2f902d9b2d35278d296bd3edb3f06b,2604
2,22b562646cdc87af33fae8d3f360eeb6c63cafcb67c0f03238643c13003919b0,1894
3,7ab5b98543133f07b5021265329edcf5f9e435d1baba652f40c505de476d12bc,1612
4,11cc2a8b83a66122dd83300542c4aed3e946d6c4abe1c3e5979cdc5defcf5d79,1609
5,f6fb54fde59877c0b25c8d17b524b0a5ab59f75a4fdd10ddbda7ac74819dbc30,1564
6,5fafa38f90c98276502e1b08e85212527aef1a7546824cd9e2ae376ed0263071,1457
7,951c05485754b22190e48bb989315b991fd7bdcb7502ebfa9d3e917990a0be28,1404
8,6bcd6ee3034e88416cc8b9a8bead7ebc012247aa6436028ee0aefa771072c4c8,1202
9,6adfbf88854f22023f4dc3318e9b6cab7977f9f92c1ed4ce8b1cecd9555155fe,1171
10,dc8c35202a7b5d73da7a14884d3ef57e69d5e45aa988a485234211bfea42eec5,1159
11,78bf3c08785e64cc42d011f9f7fd5a0cdd93094fd47fd7b69cb6c5a2fa198034,1148
12,e5f33e06c850ffab9d7a624af944c556ded54ad48c5e4cd6a61a6d905ca11850,1100
13,f3401153eb83b44766e595067bd88898a4de23df5c27cd8e6024c9cbc5646250,1097
14,bd1938f04779997828e9f925dc9a792435049943d31e16ed50f140b48bcb1bc6,834
15,900f33baf4aba6d38d2b2482af3277548afa6b8d7eb9634a5f9436be350a186f,828
16,bb2affd808a146b8d88edd35edb5029a89c619dd37a63b01da313d7044f93e5b,799
17,01718e7977bb94fee242339e852c9711d30576649588c58e23c15779a6d211e2,732
18,f7a9c7c8fdaffe1d74056898c57237d3a6366ac4fbc3adc7c374ef48fb9ac243,720
19,d6ccec7f004e8db8a5f01141169d7ea3ae18ea8ea098dc6796d6271009484258,718
20,423de89d36b6b37cdfeb935149b83bcfac2e1c42c7889fcb9b5316938250faaa,625
