scope,date,target,support_dimension,cell_count,spearman_log1p_support_vs_cell_mae,causal_interpretation
daily,20161025,crawl,spatial,109885,-0.11406399027078565,False
daily,20161025,crawl,spatiotemporal,109885,0.02355919686351286,False
daily,20161025,crawl,target_specific,109885,0.009391575834002222,False
daily,20161025,stop,spatial,109885,-0.12514331316741797,False
daily,20161025,stop,spatiotemporal,109885,-0.039387333159257874,False
daily,20161025,stop,target_specific,109885,-0.23349008683751485,False
daily,20161025,speed_cv,spatial,76131,0.06141073762986117,False
daily,20161025,speed_cv,spatiotemporal,76131,0.0490498616309589,False
daily,20161025,speed_cv,target_specific,76131,0.0239152949361946,False
daily,20161025,acceleration_rms,spatial,54800,0.08765927689852589,False
daily,20161025,acceleration_rms,spatiotemporal,54800,0.055947672176517145,False
daily,20161025,acceleration_rms,target_specific,54800,0.048651446522532546,False
daily,20161026,crawl,spatial,110039,-0.11336107500367865,False
daily,20161026,crawl,spatiotemporal,110039,0.018057383915803398,False
daily,20161026,crawl,target_specific,110039,0.003281174928225347,False
daily,20161026,stop,spatial,110039,-0.12786076547751019,False
daily,20161026,stop,spatiotemporal,110039,-0.04653104570668709,False
daily,20161026,stop,target_specific,110039,-0.23534911649822088,False
daily,20161026,speed_cv,spatial,76296,0.05875807076672856,False
daily,20161026,speed_cv,spatiotemporal,76296,0.04452814295174283,False
daily,20161026,speed_cv,target_specific,76296,0.01926218460015703,False
daily,20161026,acceleration_rms,spatial,55009,0.08243074211013493,False
daily,20161026,acceleration_rms,spatiotemporal,55009,0.05426345366083085,False
daily,20161026,acceleration_rms,target_specific,55009,0.04380988472726008,False
daily,20161027,crawl,spatial,110220,-0.11610963144988375,False
daily,20161027,crawl,spatiotemporal,110220,0.02128526657741653,False
daily,20161027,crawl,target_specific,110220,0.010562516529594492,False
daily,20161027,stop,spatial,110220,-0.13013931051657418,False
daily,20161027,stop,spatiotemporal,110220,-0.04478363744849398,False
daily,20161027,stop,target_specific,110220,-0.2321828654689066,False
daily,20161027,speed_cv,spatial,76350,0.06001916675886287,False
daily,20161027,speed_cv,spatiotemporal,76350,0.04414716255552419,False
daily,20161027,speed_cv,target_specific,76350,0.02013451803454644,False
daily,20161027,acceleration_rms,spatial,55334,0.08315937708669832,False
daily,20161027,acceleration_rms,spatiotemporal,55334,0.05474505867051998,False
daily,20161027,acceleration_rms,target_specific,55334,0.042780632959122655,False
aggregate,all,crawl,spatial,172690,-0.13630875236131185,False
aggregate,all,crawl,spatiotemporal,172690,0.03177629716071674,False
aggregate,all,crawl,target_specific,172690,0.011401747899552327,False
aggregate,all,stop,spatial,172690,-0.11401895162671455,False
aggregate,all,stop,spatiotemporal,172690,0.0008344134580292451,False
aggregate,all,stop,target_specific,172690,-0.23606677609703783,False
aggregate,all,speed_cv,spatial,120066,0.07728275349537805,False
aggregate,all,speed_cv,spatiotemporal,120066,0.05936779027447319,False
aggregate,all,speed_cv,target_specific,120066,0.030850533255009832,False
aggregate,all,acceleration_rms,spatial,88880,0.10847536500692527,False
aggregate,all,acceleration_rms,spatiotemporal,88880,0.06879626688942544,False
aggregate,all,acceleration_rms,target_specific,88880,0.06685511777790994,False
