scope,date,support_group,unique_edges,evaluation_traversals,evaluation_share,train_unique_edges,evaluation_unique_edges
daily,20161025,unseen,234.0,274,0.00039053536126658887,,
daily,20161025,low,727.0,796,0.0011345479838255647,,
daily,20161025,medium,8379.0,97642,0.13917026914157762,,
daily,20161025,high,5889.0,602889,0.8593046475133302,,
daily,20161026,unseen,291.0,337,0.00047809827544135423,,
daily,20161026,low,729.0,833,0.0011817681407793712,,
daily,20161026,medium,8637.0,98253,0.13939047435293583,,
daily,20161026,high,5889.0,605453,0.8589496592308434,,
daily,20161027,unseen,337.0,416,0.0005996551982609999,,
daily,20161027,low,632.0,702,0.0010119181470654374,,
daily,20161027,medium,8654.0,97037,0.1398767823885881,,
daily,20161027,high,5889.0,595577,0.8585116442660855,,
aggregate,all,unseen,,1027,0.000488998952009062,0.0,786.0
aggregate,all,low,,2331,0.001109889539564872,6683.0,1708.0
aggregate,all,medium,,292932,0.13947754723458475,11018.0,10038.0
aggregate,all,high,,1803919,0.8589235642738413,5889.0,5889.0
