scope,date,support_group,unique_edge_time_cells,evaluation_traversals,evaluation_share,train_unique_edge_time_cells,evaluation_unique_edge_time_cells
daily,20161025,unseen,7780.0,8141,0.01160346122653759,,
daily,20161025,low,14668.0,16200,0.023090046907002698,,
daily,20161025,medium,120095.0,191130,0.27241979415650774,,
daily,20161025,high,124556.0,486130,0.6928866977099519,,
daily,20161026,unseen,7685.0,8041,0.011407680216094746,,
daily,20161026,low,15151.0,16995,0.02411062371253951,,
daily,20161026,medium,120268.0,193306,0.27424114312304576,,
daily,20161026,high,125087.0,486534,0.69024055294832,,
daily,20161027,unseen,8436.0,8821,0.01271528486504875,,
daily,20161027,low,15092.0,16892,0.024349460598617333,,
daily,20161027,medium,120208.0,190467,0.2745541505941776,,
daily,20161027,high,124502.0,477552,0.6883811039421563,,
aggregate,all,unseen,,25003,0.011905005644676316,0.0,22233.0
aggregate,all,low,,50087,0.02384857887953056,155944.0,37581.0
aggregate,all,medium,,574903,0.27373609007484495,257389.0,198424.0
aggregate,all,high,,1450216,0.6905103254009481,133694.0,133508.0
