scope,date,spatial_group,spatiotemporal_group,unique_edge_time_cells,evaluation_traversals,evaluation_share,crawl_valid_count,stop_valid_count,speed_cv_valid_count,acceleration_rms_valid_count
daily,20161025,unseen,unseen,261,274,0.00039053536126658887,56,56,30,18
daily,20161025,unseen,low,0,0,0.0,0,0,0,0
daily,20161025,unseen,medium,0,0,0.0,0,0,0,0
daily,20161025,unseen,high,0,0,0.0,0,0,0,0
daily,20161025,low,unseen,729,736,0.0010490292915774065,211,211,112,70
daily,20161025,low,low,60,60,8.551869224815815e-05,20,20,10,9
daily,20161025,low,medium,0,0,0.0,0,0,0,0
daily,20161025,low,high,0,0,0.0,0,0,0,0
daily,20161025,medium,unseen,5665,5882,0.008383682463394436,1975,1975,1355,953
daily,20161025,medium,low,11238,12437,0.017726599591505715,4539,4539,3307,2383
daily,20161025,medium,medium,56296,78538,0.11194111752976407,28011,28011,20063,14199
daily,20161025,medium,high,391,785,0.0011188695569134023,227,227,166,121
daily,20161025,high,unseen,1125,1249,0.0017802141102991587,340,340,236,148
daily,20161025,high,low,3370,3703,0.005277928623248827,1127,1127,734,470
daily,20161025,high,medium,63799,112592,0.1604786766267437,38611,38611,25630,17455
daily,20161025,high,high,124165,485345,0.6917678281530385,185239,185239,125212,85455
daily,20161026,unseen,unseen,320,337,0.00047809827544135423,47,47,16,11
daily,20161026,unseen,low,0,0,0.0,0,0,0,0
daily,20161026,unseen,medium,0,0,0.0,0,0,0,0
daily,20161026,unseen,high,0,0,0.0,0,0,0,0
daily,20161026,low,unseen,770,772,0.0010952280968567522,226,226,116,73
daily,20161026,low,low,59,61,8.654004392261901e-05,14,14,6,4
daily,20161026,low,medium,0,0,0.0,0,0,0,0
daily,20161026,low,high,0,0,0.0,0,0,0,0
daily,20161026,medium,unseen,5873,6179,0.008766080842587917,2126,2126,1456,1029
daily,20161026,medium,low,11853,13283,0.018844449236461447,4806,4806,3459,2455
daily,20161026,medium,medium,55958,78116,0.11082232903375913,27474,27474,19675,14000
daily,20161026,medium,high,350,675,0.0009576152401273415,197,197,140,96
daily,20161026,high,unseen,722,753,0.0010682730012087232,196,196,130,73
daily,20161026,high,low,3239,3651,0.005179634432155443,1113,1113,725,438
daily,20161026,high,medium,64310,115190,0.16341881408928663,40137,40137,26593,18024
daily,20161026,high,high,124737,485859,0.6892829377081926,184216,184216,124410,84748
daily,20161027,unseen,unseen,399,416,0.0005996551982609999,73,73,39,27
daily,20161027,unseen,low,0,0,0.0,0,0,0,0
daily,20161027,unseen,medium,0,0,0.0,0,0,0,0
daily,20161027,unseen,high,0,0,0.0,0,0,0,0
daily,20161027,low,unseen,663,667,0.0009614663875963629,173,173,87,48
daily,20161027,low,low,35,35,5.045175946907451e-05,10,10,6,4
daily,20161027,low,medium,0,0,0.0,0,0,0,0
daily,20161027,low,high,0,0,0.0,0,0,0,0
daily,20161027,medium,unseen,6264,6514,0.009389793176615754,2181,2181,1496,985
daily,20161027,medium,low,11385,12881,0.018567688963461393,4757,4757,3439,2462
daily,20161027,medium,medium,55476,76911,0.11086557921502828,27503,27503,19858,14219
daily,20161027,medium,high,368,731,0.0010537210334826705,224,224,157,117
daily,20161027,high,unseen,1110,1224,0.0017643701025756343,341,341,229,143
daily,20161027,high,low,3672,3976,0.0057313198756868645,1216,1216,746,482
daily,20161027,high,medium,64732,113556,0.1636885713791493,39448,39448,26290,17968
daily,20161027,high,high,124134,476821,0.6873273829086737,183406,183406,124013,85230
aggregate,all,unseen,unseen,948,1027,0.000488998952009062,176,176,85,56
aggregate,all,unseen,low,0,0,0.0,0,0,0,0
aggregate,all,unseen,medium,0,0,0.0,0,0,0,0
aggregate,all,unseen,high,0,0,0.0,0,0,0,0
aggregate,all,low,unseen,2145,2175,0.0010356112177407105,610,610,315,191
aggregate,all,low,low,153,156,7.427832182416131e-05,44,44,22,17
aggregate,all,low,medium,0,0,0.0,0,0,0,0
aggregate,all,low,high,0,0,0.0,0,0,0,0
aggregate,all,medium,unseen,16500,18575,0.008844357871049976,6282,6282,4307,2967
aggregate,all,medium,low,28886,38601,0.018379599363682376,14102,14102,10205,7300
aggregate,all,medium,medium,102816,233565,0.11121036049269382,82988,82988,59596,42418
aggregate,all,medium,high,508,2191,0.0010432295071585733,648,648,463,334
aggregate,all,high,unseen,2640,3226,0.0015360376038765667,877,877,595,364
aggregate,all,high,low,8542,11330,0.005394701194024023,3456,3456,2205,1390
aggregate,all,high,medium,95608,341338,0.1625257295821511,118196,118196,78513,53447
aggregate,all,high,high,133000,1448025,0.6894670958937896,552861,552861,373635,255433
