scope,date,weighting,support_dimension,target,support_group,n,mae,median_absolute_error,p90_absolute_error
daily,20161025,traversal,spatial,crawl,unseen,56,0.48375588901607053,0.4769803583621979,0.9274402856826782
daily,20161025,traversal,spatial,crawl,low,231,0.3707233564484687,0.3139491081237793,0.8177340030670166
daily,20161025,traversal,spatial,crawl,medium,34752,0.2148196967305824,0.11823033541440964,0.5807001233100892
daily,20161025,traversal,spatial,crawl,high,225317,0.16865710128635825,0.04650549590587616,0.5131281137466429
daily,20161025,traversal,spatial,stop,unseen,56,0.07713551456566035,0.009338992182165384,0.2045486867427826
daily,20161025,traversal,spatial,stop,low,231,0.11509100582269957,0.018656395375728607,0.43809160590171814
daily,20161025,traversal,spatial,stop,medium,34752,0.011617493724553183,0.0004888301773462445,0.007389922719448809
daily,20161025,traversal,spatial,stop,high,225317,0.004328554488921622,0.0002206744538852945,0.0018982443260028954
daily,20161025,traversal,spatial,speed_cv,unseen,30,0.0887036902209123,0.09136265143752098,0.1840227395296097
daily,20161025,traversal,spatial,speed_cv,low,122,0.09032134730063501,0.07409429177641869,0.16893827170133593
daily,20161025,traversal,spatial,speed_cv,medium,24891,0.06275538353271207,0.0527670681476593,0.12444993108510971
daily,20161025,traversal,spatial,speed_cv,high,151812,0.06316377594679311,0.05501033738255501,0.12307575196027756
daily,20161025,traversal,spatial,acceleration_rms,unseen,18,0.11402270363436805,0.09897587448358536,0.2080223992466927
daily,20161025,traversal,spatial,acceleration_rms,low,79,0.11971952700162236,0.10165457427501678,0.2508388996124268
daily,20161025,traversal,spatial,acceleration_rms,medium,17656,0.11256759173114833,0.0964527279138565,0.22999955713748932
daily,20161025,traversal,spatial,acceleration_rms,high,103528,0.12007131697689903,0.10520125925540924,0.24252647012472153
daily,20161025,traversal,spatiotemporal,crawl,unseen,2582,0.22526957434956468,0.12483435124158859,0.6178633928298951
daily,20161025,traversal,spatiotemporal,crawl,low,5686,0.2012810406657835,0.10858946293592453,0.5436658263206482
daily,20161025,traversal,spatiotemporal,crawl,medium,66622,0.17434230574436543,0.05993524007499218,0.5158704519271851
daily,20161025,traversal,spatiotemporal,crawl,high,185466,0.17382318314379316,0.05092180520296097,0.5288622677326202
daily,20161025,traversal,spatiotemporal,stop,unseen,2582,0.03584097559000095,0.0011192344827577472,0.05431925728917124
daily,20161025,traversal,spatiotemporal,stop,low,5686,0.017052175422113236,0.0005664379568770528,0.010310095269232988
daily,20161025,traversal,spatiotemporal,stop,medium,66622,0.006709243809527185,0.00028443639166653156,0.003466779552400116
daily,20161025,traversal,spatiotemporal,stop,high,185466,0.004170308063768602,0.00022441337205236778,0.001848114188760519
daily,20161025,traversal,spatiotemporal,speed_cv,unseen,1733,0.07126907987301913,0.06062989681959152,0.14080685675144194
daily,20161025,traversal,spatiotemporal,speed_cv,low,4051,0.06372634562753625,0.05291450768709183,0.1272973120212555
daily,20161025,traversal,spatiotemporal,speed_cv,medium,45693,0.06333835753110513,0.05456988513469696,0.12403666973114015
daily,20161025,traversal,spatiotemporal,speed_cv,high,125378,0.06292140095071477,0.05474583059549332,0.12274694517254829
daily,20161025,traversal,spatiotemporal,acceleration_rms,unseen,1189,0.12140662796463257,0.10542348027229309,0.24782618284225463
daily,20161025,traversal,spatiotemporal,acceleration_rms,low,2862,0.11333568123963894,0.09630553424358368,0.23236004263162616
daily,20161025,traversal,spatiotemporal,acceleration_rms,medium,31654,0.11824919944654376,0.10268992185592651,0.24076126664876937
daily,20161025,traversal,spatiotemporal,acceleration_rms,high,85576,0.11940225758681657,0.10465556383132935,0.2406691312789917
daily,20161025,traversal,target_specific,crawl,unseen,4944,0.23910662906712885,0.09424365684390068,0.8059561491012572
daily,20161025,traversal,target_specific,crawl,low,9504,0.22014058678844467,0.0749438926577568,0.7641715764999399
daily,20161025,traversal,target_specific,crawl,medium,58412,0.19380419799475002,0.05528607405722141,0.6522373735904695
daily,20161025,traversal,target_specific,crawl,high,187496,0.16525474405976381,0.053070228546857834,0.48932670056819916
daily,20161025,traversal,target_specific,stop,unseen,4944,0.051270201777820254,0.0030112576205283403,0.10848597288131709
daily,20161025,traversal,target_specific,stop,low,9504,0.015738054091982905,0.0008954964287113398,0.01588120236992838
daily,20161025,traversal,target_specific,stop,medium,58412,0.006459263401664536,0.00034881352621596307,0.004441050160676242
daily,20161025,traversal,target_specific,stop,high,187496,0.003357836046416821,0.00020298334857216105,0.0013837844016961753
daily,20161025,traversal,target_specific,speed_cv,unseen,3326,0.07316390029924753,0.062262315303087234,0.13981206715106964
daily,20161025,traversal,target_specific,speed_cv,low,6801,0.06639101931795427,0.05605524778366089,0.12774640321731567
daily,20161025,traversal,target_specific,speed_cv,medium,41033,0.06391364514547739,0.05564269423484802,0.1237595096230507
daily,20161025,traversal,target_specific,speed_cv,high,125695,0.062431335093627575,0.05419375002384186,0.12262072265148163
daily,20161025,traversal,target_specific,acceleration_rms,unseen,2692,0.12018069392139366,0.10213924944400787,0.24520813524723054
daily,20161025,traversal,target_specific,acceleration_rms,low,5354,0.11521364043219391,0.09816521406173706,0.232037815451622
daily,20161025,traversal,target_specific,acceleration_rms,medium,27458,0.11990284796331235,0.10472629964351654,0.24290582835674285
daily,20161025,traversal,target_specific,acceleration_rms,high,85777,0.11887888707463676,0.10413441061973572,0.24019276499748232
daily,20161025,cell_equal,spatial,crawl,unseen,56,0.4837558870203793,0.47698035277426243,0.9274402856826782
daily,20161025,cell_equal,spatial,crawl,low,231,0.37072335611786933,0.3139491081237793,0.8177340030670166
daily,20161025,cell_equal,spatial,crawl,medium,27286,0.21723635652043818,0.13128506019711494,0.5561555624008179
daily,20161025,cell_equal,spatial,crawl,high,82312,0.173862448613671,0.07601461722515523,0.4945226904470475
daily,20161025,cell_equal,spatiotemporal,crawl,unseen,2510,0.22662920321479804,0.12808801978826523,0.6152790814638136
daily,20161025,cell_equal,spatiotemporal,crawl,low,5190,0.20121428262529528,0.11103315651416779,0.5412028342485429
daily,20161025,cell_equal,spatiotemporal,crawl,medium,44984,0.17883052653722264,0.07501783967018127,0.5020168840885163
daily,20161025,cell_equal,spatiotemporal,crawl,high,57201,0.18694691852584192,0.09994916617870331,0.49907130002975464
daily,20161025,cell_equal,target_specific,crawl,unseen,4774,0.23974354089767203,0.09816231578588486,0.7884420469403265
daily,20161025,cell_equal,target_specific,crawl,low,8537,0.21764539638581826,0.07844555377960205,0.7075917720794679
daily,20161025,cell_equal,target_specific,crawl,medium,40805,0.1946052054364586,0.07011177266637485,0.5671634380705654
daily,20161025,cell_equal,target_specific,crawl,high,55769,0.16869165124380253,0.10422961739823222,0.43738308846950535
daily,20161025,cell_equal,spatial,stop,unseen,56,0.07713551481512175,0.009338992182165384,0.2045486867427826
daily,20161025,cell_equal,spatial,stop,low,231,0.11509100573601803,0.018656395375728607,0.43809160590171814
daily,20161025,cell_equal,spatial,stop,medium,27286,0.012738992716121897,0.0005515808006748557,0.00905884022358805
daily,20161025,cell_equal,spatial,stop,high,82312,0.005601936838131006,0.00030547623949435854,0.0042667957415687885
daily,20161025,cell_equal,spatiotemporal,stop,unseen,2510,0.03641583561300475,0.0011710869730450213,0.05519425608217711
daily,20161025,cell_equal,spatiotemporal,stop,low,5190,0.01768283978314735,0.0005896743678022176,0.01061246814206243
daily,20161025,cell_equal,spatiotemporal,stop,medium,44984,0.0075060320110600775,0.00033472198992967606,0.00475016275886447
daily,20161025,cell_equal,spatiotemporal,stop,high,57201,0.0055729683323421835,0.0003468629438430071,0.0047789469244889915
daily,20161025,cell_equal,target_specific,stop,unseen,4774,0.05211833489197564,0.003056194051168859,0.1119748562574385
daily,20161025,cell_equal,target_specific,stop,low,8537,0.016040682396575294,0.0009207215625792742,0.01666533164680005
daily,20161025,cell_equal,target_specific,stop,medium,40805,0.006631007509447042,0.0003873311507049948,0.005251813214272261
daily,20161025,cell_equal,target_specific,stop,high,55769,0.003286375829047803,0.00026877659547608346,0.0023402243464564314
daily,20161025,cell_equal,spatial,speed_cv,unseen,30,0.08870369059344133,0.09136265330016613,0.18402274623513223
daily,20161025,cell_equal,spatial,speed_cv,low,122,0.09032134748303809,0.07409429177641869,0.16893827170133593
daily,20161025,cell_equal,spatial,speed_cv,medium,19695,0.06311731717132392,0.054060518741607666,0.12162238955497745
daily,20161025,cell_equal,spatial,speed_cv,high,56284,0.06432798284691828,0.05956860476483901,0.10896478706459486
daily,20161025,cell_equal,spatiotemporal,speed_cv,unseen,1696,0.07135060578548186,0.0602925568819046,0.14067495614290237
daily,20161025,cell_equal,spatiotemporal,speed_cv,low,3714,0.06406837916486642,0.05389416217803955,0.12622409537434578
daily,20161025,cell_equal,spatiotemporal,speed_cv,medium,31104,0.06369446485865062,0.056479644030332565,0.11795750334858897
daily,20161025,cell_equal,spatiotemporal,speed_cv,high,39617,0.0640457086796564,0.0598459697018067,0.10525143146514893
daily,20161025,cell_equal,target_specific,speed_cv,unseen,3222,0.0734848085560531,0.06233422830700874,0.14011862338116998
daily,20161025,cell_equal,target_specific,speed_cv,low,6107,0.06646207962997075,0.056981779634952545,0.12650759220123292
daily,20161025,cell_equal,target_specific,speed_cv,medium,28507,0.06385806432017928,0.057004883885383606,0.11789064854383471
daily,20161025,cell_equal,target_specific,speed_cv,high,38295,0.06304630500881896,0.05931472033262253,0.10378581285476683
daily,20161025,cell_equal,spatial,acceleration_rms,unseen,18,0.11402270363436805,0.09897587448358536,0.2080223992466927
daily,20161025,cell_equal,spatial,acceleration_rms,low,79,0.11971952681300006,0.10165457427501678,0.2508388966321945
daily,20161025,cell_equal,spatial,acceleration_rms,medium,14237,0.11288565790647209,0.09860184788703918,0.2227220296859741
daily,20161025,cell_equal,spatial,acceleration_rms,high,40466,0.12154798148195846,0.11317354440689087,0.21356758698821068
daily,20161025,cell_equal,spatiotemporal,acceleration_rms,unseen,1171,0.12154622868786667,0.10646060109138489,0.24781936407089233
daily,20161025,cell_equal,spatiotemporal,acceleration_rms,low,2646,0.11373151951281996,0.09796072542667389,0.23016230016946793
daily,20161025,cell_equal,spatiotemporal,acceleration_rms,medium,22086,0.1186425120393565,0.10634535551071167,0.22794789262115955
daily,20161025,cell_equal,spatiotemporal,acceleration_rms,high,28897,0.12020698433129316,0.112934410572052,0.20466076731681823
daily,20161025,cell_equal,target_specific,acceleration_rms,unseen,2600,0.12040588924035651,0.10216118395328522,0.24479710012674327
daily,20161025,cell_equal,target_specific,acceleration_rms,low,4793,0.11508584313517939,0.09986340999603271,0.2275140702724457
daily,20161025,cell_equal,target_specific,acceleration_rms,medium,19568,0.11974651394251434,0.10837963471810022,0.22936119064688681
daily,20161025,cell_equal,target_specific,acceleration_rms,high,27839,0.11959346379352911,0.11238812804222106,0.20197642520070078
daily,20161026,traversal,spatial,crawl,unseen,47,0.45138391408514467,0.4644896984100342,0.9324571013450622
daily,20161026,traversal,spatial,crawl,low,240,0.3520971652974064,0.2695714831352234,0.7783028781414032
