scope,date,support_dimension,target,support_group,comparison,n,baseline_mae,candidate_mae,absolute_improvement,relative_improvement
daily,20161025,spatiotemporal,crawl,unseen,M3_vs_M1,2582,0.22526957423278865,0.2179991484978662,0.007270425734922453,0.03227433513684078
daily,20161025,spatiotemporal,crawl,unseen,M4_vs_M1,2582,0.22526957423278865,0.21863968408406667,0.006629890148721979,0.02943091703041439
daily,20161025,spatiotemporal,crawl,unseen,M4_vs_M3,2582,0.2179991484978662,0.21863968408406667,-0.0006405355862004747,-0.002938248110665186
daily,20161025,spatiotemporal,crawl,low,M3_vs_M1,5686,0.20128104074890807,0.19443991709776706,0.006841123651141007,0.03398791871150497
daily,20161025,spatiotemporal,crawl,low,M4_vs_M1,5686,0.20128104074890807,0.19487895334329547,0.0064020874056126,0.031806708579170194
daily,20161025,spatiotemporal,crawl,low,M4_vs_M3,5686,0.19443991709776706,0.19487895334329547,-0.0004390362455284069,-0.002257953264337453
daily,20161025,spatiotemporal,crawl,medium,M3_vs_M1,66622,0.17434230567482065,0.17091563386494707,0.003426671809873577,0.019654849674094182
daily,20161025,spatiotemporal,crawl,medium,M4_vs_M1,66622,0.17434230567482065,0.17085992517589374,0.003482380498926907,0.019974385938328502
daily,20161025,spatiotemporal,crawl,medium,M4_vs_M3,66622,0.17091563386494707,0.17085992517589374,5.570868905332982e-05,0.00032594261738132935
daily,20161025,spatiotemporal,crawl,high,M3_vs_M1,185466,0.17382318312127853,0.1720155331515313,0.0018076499697472215,0.010399360645041244
daily,20161025,spatiotemporal,crawl,high,M4_vs_M1,185466,0.17382318312127853,0.17187601865421487,0.0019471644670636667,0.011201983717586777
daily,20161025,spatiotemporal,crawl,high,M4_vs_M3,185466,0.1720155331515313,0.17187601865421487,0.00013951449731644527,0.0008110575525382621
daily,20161025,spatiotemporal,stop,unseen,M3_vs_M1,2582,0.035840975668385164,0.03786619843544627,-0.002025222767061109,-0.0565057934192213
daily,20161025,spatiotemporal,stop,unseen,M4_vs_M1,2582,0.035840975668385164,0.038811568434228685,-0.0029705927658435216,-0.08288258649342074
daily,20161025,spatiotemporal,stop,unseen,M4_vs_M3,2582,0.03786619843544627,0.038811568434228685,-0.0009453699987824124,-0.02496606572202026
daily,20161025,spatiotemporal,stop,low,M3_vs_M1,5686,0.017052175430824934,0.016699879542288947,0.00035229588853598684,0.020659879436798863
daily,20161025,spatiotemporal,stop,low,M4_vs_M1,5686,0.017052175430824934,0.01677395510801461,0.0002782203228103228,0.01631582573959382
daily,20161025,spatiotemporal,stop,low,M4_vs_M3,5686,0.016699879542288947,0.01677395510801461,-7.407556572566407e-05,-0.004435694613130784
daily,20161025,spatiotemporal,stop,medium,M3_vs_M1,66622,0.0067092438088820665,0.006703648498422887,5.5953104591797975e-06,0.0008339703576984961
daily,20161025,spatiotemporal,stop,medium,M4_vs_M1,66622,0.0067092438088820665,0.006702810052094482,6.433756787584122e-06,0.0009589391846316212
daily,20161025,spatiotemporal,stop,medium,M4_vs_M3,66622,0.006703648498422887,0.006702810052094482,8.384463284043242e-07,0.00012507313421960872
daily,20161025,spatiotemporal,stop,high,M3_vs_M1,185466,0.004170308063750457,0.004237231676861904,-6.692361311144701e-05,-0.016047642545443278
daily,20161025,spatiotemporal,stop,high,M4_vs_M1,185466,0.004170308063750457,0.004257900624903227,-8.759256115276927e-05,-0.02100385866314039
daily,20161025,spatiotemporal,stop,high,M4_vs_M3,185466,0.004237231676861904,0.004257900624903227,-2.0668948041322258e-05,-0.004877936732652223
daily,20161025,spatiotemporal,speed_cv,unseen,M3_vs_M1,1733,0.07126907988789848,0.07034561291440593,0.0009234669734925482,0.012957470125124394
daily,20161025,spatiotemporal,speed_cv,unseen,M4_vs_M1,1733,0.07126907988789848,0.07058976939284849,0.0006793104950499895,0.009531629931500446
daily,20161025,spatiotemporal,speed_cv,unseen,M4_vs_M3,1733,0.07034561291440593,0.07058976939284849,-0.0002441564784425587,-0.0034708131513423554
daily,20161025,spatiotemporal,speed_cv,low,M3_vs_M1,4051,0.06372634567355084,0.06331520708029784,0.0004111385932530076,0.006451626700189835
daily,20161025,spatiotemporal,speed_cv,low,M4_vs_M1,4051,0.06372634567355084,0.06331712825048413,0.00040921742306671005,0.006421479511205564
daily,20161025,spatiotemporal,speed_cv,low,M4_vs_M3,4051,0.06331520708029784,0.06331712825048413,-1.9211701862975605e-06,-3.0342950373061046e-05
daily,20161025,spatiotemporal,speed_cv,medium,M3_vs_M1,45693,0.06333835752144361,0.06299010038879174,0.0003482571326518663,0.005498360650320963
daily,20161025,spatiotemporal,speed_cv,medium,M4_vs_M1,45693,0.06333835752144361,0.06299343976908307,0.0003449177523605351,0.005445637775557426
