scope,date,target,support_group,target_valid_traversals,target_valid_share,unique_edge_time_cells,train_unique_edge_time_cells,evaluation_unique_edge_time_cells,error_n,m1_mae,median_absolute_error,p90_absolute_error,m3_vs_m1_relative_improvement,m4_vs_m1_relative_improvement,m4_vs_m3_relative_improvement
aggregate,all,crawl,unseen,15118,0.019376089408387163,,0.0,13525.0,15118,0.23850673427817162,0.09616633877158165,0.7849006652832033,0.0377334897032412,0.0365518415244405,-0.0012279843122008788
aggregate,all,stop,unseen,15118,0.019376089408387163,,0.0,13525.0,15118,0.04963214679354192,0.002988090389408171,0.09902709722518929,0.03379026377942312,0.026983500092606676,-0.007044809663626199
aggregate,all,speed_cv,unseen,10183,0.019215346614057036,,0.0,9119.0,10183,0.07247771219122941,0.06042353808879852,0.1393350958824158,0.01958246071688463,0.019346448824694162,-0.00024072589762423214
aggregate,all,acceleration_rms,unseen,8172,0.022455669836803447,,0.0,7273.0,8172,0.11892721508422203,0.10186689347028732,0.24306903928518298,0.0051282351096856955,0.005663990813825216,0.0005385173477092177
aggregate,all,crawl,low,28836,0.036957859120270685,,90423.0,21816.0,28836,0.21663296913006694,0.07489077001810074,0.7413258254528046,0.03948158555628892,0.039088615863794335,-0.000409122497377804
aggregate,all,stop,low,28836,0.036957859120270685,,90423.0,21816.0,28836,0.015924192493065686,0.0008636923157609999,0.016448285430669785,0.048509555646585205,0.04781193533547051,-0.000733186880913725
aggregate,all,speed_cv,low,20661,0.03898735897014951,,61941.0,15512.0,20661,0.06630239175963186,0.05682460963726044,0.1275462806224823,0.007846506622154676,0.00783668526155496,-9.899033431085563e-06
aggregate,all,acceleration_rms,low,16300,0.044790432983345105,,49385.0,12259.0,16300,0.11763561766891757,0.10183806717395782,0.2375277072191239,0.003866624941187012,0.003639986099204241,-0.0002275185709638431
aggregate,all,crawl,medium,175874,0.22541013021634368,,105011.0,74450.0,175874,0.1920570759443332,0.05444665066897869,0.6439351558685309,0.019949403913944275,0.020380003282137484,0.00043936442660496894
aggregate,all,stop,medium,175874,0.22541013021634368,,105011.0,74450.0,175874,0.006343669596648458,0.00034455631976015866,0.004376179073005916,-0.005439900035531944,-0.007706301685678939,-0.0022541393573767077
aggregate,all,speed_cv,medium,123652,0.2333316350310695,,73654.0,52109.0,123652,0.06403269951263682,0.055730296298861504,0.12395404502749446,0.00487871701697263,0.004850670494586279,-2.8184024265141013e-05
aggregate,all,acceleration_rms,medium,83116,0.2283927379045222,,53482.0,36949.0,83116,0.12032827545715581,0.10488016903400421,0.24383796751499176,0.0026536831094863635,0.0027006330988548475,4.707491126538943e-05
aggregate,all,crawl,high,560412,0.7182559212549985,,63348.0,62899.0,560412,0.16150656724992515,0.049555348232388496,0.4861219167709351,0.00968217232146075,0.010526655377557108,0.0008527394261657993
aggregate,all,stop,high,560412,0.7182559212549985,,63348.0,62899.0,560412,0.003259305160722272,0.00019697615061886609,0.0013675138354301457,-0.06707412509783774,-0.07280712413281341,-0.005372634290471642
aggregate,all,speed_cv,high,375445,0.708465659384724,,43647.0,43326.0,375445,0.06227956379467762,0.05416536331176758,0.12241541147232061,0.004528319079467885,0.0044300835536961935,-9.868239112623599e-05
aggregate,all,acceleration_rms,high,256329,0.7043611592753293,,32792.0,32399.0,256329,0.11905130620988523,0.10417237877845764,0.2407902538776398,0.003585161765298473,0.003561015331485042,-2.4233314164821047e-05
