section,target,metric,value,structure_signature_sha256
summary,,unique_edge_count,23590.0,
summary,,unique_structure_signature_count,1477.0,
summary,,edge_signature_pair_count,56175.0,
summary,,edge_to_signature_ratio,15.971563981042655,
summary,,mean_edges_per_signature,38.03317535545024,
summary,,median_edges_per_signature,4.0,
summary,,maximum_edges_per_signature,2604.0,
summary,,collision_signature_share,0.7474610697359513,
summary,,mean_signatures_per_edge,2.3813056379821957,
summary,,median_signatures_per_edge,2.0,
top_signature,,rank_1_unique_edge_count,2604.0,00b3f6a06af3eea5e56a22825a0d006d2b2f902d9b2d35278d296bd3edb3f06b
top_signature,,rank_2_unique_edge_count,1894.0,22b562646cdc87af33fae8d3f360eeb6c63cafcb67c0f03238643c13003919b0
top_signature,,rank_3_unique_edge_count,1612.0,7ab5b98543133f07b5021265329edcf5f9e435d1baba652f40c505de476d12bc
top_signature,,rank_4_unique_edge_count,1609.0,11cc2a8b83a66122dd83300542c4aed3e946d6c4abe1c3e5979cdc5defcf5d79
top_signature,,rank_5_unique_edge_count,1564.0,f6fb54fde59877c0b25c8d17b524b0a5ab59f75a4fdd10ddbda7ac74819dbc30
top_signature,,rank_6_unique_edge_count,1457.0,5fafa38f90c98276502e1b08e85212527aef1a7546824cd9e2ae376ed0263071
top_signature,,rank_7_unique_edge_count,1404.0,951c05485754b22190e48bb989315b991fd7bdcb7502ebfa9d3e917990a0be28
top_signature,,rank_8_unique_edge_count,1202.0,6bcd6ee3034e88416cc8b9a8bead7ebc012247aa6436028ee0aefa771072c4c8
top_signature,,rank_9_unique_edge_count,1171.0,6adfbf88854f22023f4dc3318e9b6cab7977f9f92c1ed4ce8b1cecd9555155fe
top_signature,,rank_10_unique_edge_count,1159.0,dc8c35202a7b5d73da7a14884d3ef57e69d5e45aa988a485234211bfea42eec5
top_signature,,rank_11_unique_edge_count,1148.0,78bf3c08785e64cc42d011f9f7fd5a0cdd93094fd47fd7b69cb6c5a2fa198034
top_signature,,rank_12_unique_edge_count,1100.0,e5f33e06c850ffab9d7a624af944c556ded54ad48c5e4cd6a61a6d905ca11850
top_signature,,rank_13_unique_edge_count,1097.0,f3401153eb83b44766e595067bd88898a4de23df5c27cd8e6024c9cbc5646250
top_signature,,rank_14_unique_edge_count,834.0,bd1938f04779997828e9f925dc9a792435049943d31e16ed50f140b48bcb1bc6
top_signature,,rank_15_unique_edge_count,828.0,900f33baf4aba6d38d2b2482af3277548afa6b8d7eb9634a5f9436be350a186f
top_signature,,rank_16_unique_edge_count,799.0,bb2affd808a146b8d88edd35edb5029a89c619dd37a63b01da313d7044f93e5b
top_signature,,rank_17_unique_edge_count,732.0,01718e7977bb94fee242339e852c9711d30576649588c58e23c15779a6d211e2
top_signature,,rank_18_unique_edge_count,720.0,f7a9c7c8fdaffe1d74056898c57237d3a6366ac4fbc3adc7c374ef48fb9ac243
top_signature,,rank_19_unique_edge_count,718.0,d6ccec7f004e8db8a5f01141169d7ea3ae18ea8ea098dc6796d6271009484258
top_signature,,rank_20_unique_edge_count,625.0,423de89d36b6b37cdfeb935149b83bcfac2e1c42c7889fcb9b5316938250faaa
within_signature_heterogeneity,crawl,eligible_signature_count,166.0,
within_signature_heterogeneity,crawl,eligible_cell_count,52756.0,
within_signature_heterogeneity,crawl,median_within_signature_target_mean_std,0.17351606342644316,
within_signature_heterogeneity,crawl,median_within_signature_target_mean_range,0.5878105167299509,
within_signature_heterogeneity,crawl,median_within_signature_m1_mae_std,0.1251000852319965,
within_signature_heterogeneity,crawl,median_within_signature_m1_mae_range,0.424384952057153,
within_signature_heterogeneity,stop,eligible_signature_count,166.0,
within_signature_heterogeneity,stop,eligible_cell_count,52756.0,
within_signature_heterogeneity,stop,median_within_signature_target_mean_std,0.0,
within_signature_heterogeneity,stop,median_within_signature_target_mean_range,0.0,
within_signature_heterogeneity,stop,median_within_signature_m1_mae_std,0.002919972832835508,
within_signature_heterogeneity,stop,median_within_signature_m1_mae_range,0.010677103433893838,
within_signature_heterogeneity,speed_cv,eligible_signature_count,139.0,
within_signature_heterogeneity,speed_cv,eligible_cell_count,35784.0,
within_signature_heterogeneity,speed_cv,median_within_signature_target_mean_std,0.03626556878597779,
within_signature_heterogeneity,speed_cv,median_within_signature_target_mean_range,0.13120447075925767,
within_signature_heterogeneity,speed_cv,median_within_signature_m1_mae_std,0.01822173818193433,
within_signature_heterogeneity,speed_cv,median_within_signature_m1_mae_range,0.07096146259989058,
within_signature_heterogeneity,acceleration_rms,eligible_signature_count,110.0,
within_signature_heterogeneity,acceleration_rms,eligible_cell_count,23926.0,
within_signature_heterogeneity,acceleration_rms,median_within_signature_target_mean_std,0.064805521565057,
within_signature_heterogeneity,acceleration_rms,median_within_signature_target_mean_range,0.23595115542411804,
within_signature_heterogeneity,acceleration_rms,median_within_signature_m1_mae_std,0.033989437350806076,
within_signature_heterogeneity,acceleration_rms,median_within_signature_m1_mae_range,0.12896940012772878,
