scope,date,support_dimension,target,support_group,comparison,n,baseline_mae,candidate_mae,absolute_improvement,relative_improvement
daily,20161025,spatial,crawl,unseen,M3_vs_M1,56,0.4837558870203793,0.47532566932828296,0.008430217692096342,0.017426594524814952
daily,20161025,spatial,crawl,unseen,M4_vs_M1,56,0.4837558870203793,0.45054074809221284,0.033215138928166466,0.06866095032507005
daily,20161025,spatial,crawl,unseen,M4_vs_M3,56,0.47532566932828296,0.45054074809221284,0.024784921236070123,0.05214303126337672
daily,20161025,spatial,crawl,low,M3_vs_M1,231,0.37072335611786933,0.34807098105356293,0.022652375064306396,0.06110317758642702
daily,20161025,spatial,crawl,low,M4_vs_M1,231,0.37072335611786933,0.3524390418864625,0.018284314231406806,0.04932064281807326
daily,20161025,spatial,crawl,low,M4_vs_M3,231,0.34807098105356293,0.3524390418864625,-0.00436806083289959,-0.012549339274644702
daily,20161025,spatial,crawl,medium,M3_vs_M1,34752,0.21481969667430428,0.20976623594188634,0.0050534607324179415,0.023524196387259923
daily,20161025,spatial,crawl,medium,M4_vs_M1,34752,0.21481969667430428,0.20994384098064692,0.004875855693657366,0.02269743309920888
daily,20161025,spatial,crawl,medium,M4_vs_M3,34752,0.20976623594188634,0.20994384098064692,-0.00017760503876057543,-0.0008466807728283743
daily,20161025,spatial,crawl,high,M3_vs_M1,225317,0.1686571012575372,0.16670475168457602,0.0019523495729611706,0.011575851585282248
daily,20161025,spatial,crawl,high,M4_vs_M1,225317,0.1686571012575372,0.16656614876586173,0.0020909524916754574,0.012397654626368802
daily,20161025,spatial,crawl,high,M4_vs_M3,225317,0.16670475168457602,0.16656614876586173,0.00013860291871428676,0.000831427522693168
daily,20161025,spatial,stop,unseen,M3_vs_M1,56,0.07713551481512175,0.0924584771083963,-0.015322962293274553,-0.1986498998548282
daily,20161025,spatial,stop,unseen,M4_vs_M1,56,0.07713551481512175,0.11743384518194944,-0.04029833036682769,-0.5224354885478453
daily,20161025,spatial,stop,unseen,M4_vs_M3,56,0.0924584771083963,0.11743384518194944,-0.024975368073553134,-0.270125237345977
daily,20161025,spatial,stop,low,M3_vs_M1,231,0.11509100573601803,0.1157803028112996,-0.0006892970752815641,-0.005989148073504469
daily,20161025,spatial,stop,low,M4_vs_M1,231,0.11509100573601803,0.11779627212666195,-0.002705266390643918,-0.023505454430113627
daily,20161025,spatial,stop,low,M4_vs_M3,231,0.1157803028112996,0.11779627212666195,-0.0020159693153623537,-0.0174120231715753
daily,20161025,spatial,stop,medium,M3_vs_M1,34752,0.011617493735066807,0.011798972889297875,-0.00018147915423106717,-0.01562119665132951
daily,20161025,spatial,stop,medium,M4_vs_M1,34752,0.011617493735066807,0.011830399200315403,-0.00021290546524859594,-0.018326281907598687
daily,20161025,spatial,stop,medium,M4_vs_M3,34752,0.011798972889297875,0.011830399200315403,-3.142631101752877e-05,-0.002663478534308156
daily,20161025,spatial,stop,high,M3_vs_M1,225317,0.004328554488239307,0.00436379895597854,-3.524446773923301e-05,-0.008142318142232544
daily,20161025,spatial,stop,high,M4_vs_M1,225317,0.004328554488239307,0.004380145838216739,-5.159134997743259e-05,-0.01191884036982933
daily,20161025,spatial,stop,high,M4_vs_M3,225317,0.00436379895597854,0.004380145838216739,-1.6346882238199578e-05,-0.0037460209333896656
daily,20161025,spatial,speed_cv,unseen,M3_vs_M1,30,0.08870369059344133,0.0887517999857664,-4.8109392325079714e-05,-0.0005423606616953645
daily,20161025,spatial,speed_cv,unseen,M4_vs_M1,30,0.08870369059344133,0.0988716101894776,-0.010167919596036273,-0.11462792052970207
daily,20161025,spatial,speed_cv,unseen,M4_vs_M3,30,0.0887517999857664,0.0988716101894776,-0.010119810203711194,-0.1140237178889235
daily,20161025,spatial,speed_cv,low,M3_vs_M1,122,0.09032134748303809,0.0863782814161437,0.003943066066894388,0.043655970341174063
daily,20161025,spatial,speed_cv,low,M4_vs_M1,122,0.09032134748303809,0.08597384716807151,0.004347500314966585,0.048133696364339826
daily,20161025,spatial,speed_cv,low,M4_vs_M3,122,0.0863782814161437,0.08597384716807151,0.00040443424807219686,0.004682128903720119
daily,20161025,spatial,speed_cv,medium,M3_vs_M1,24891,0.06275538352170874,0.06235642254112506,0.0003989609805836805,0.0063573984922850385
daily,20161025,spatial,speed_cv,medium,M4_vs_M1,24891,0.06275538352170874,0.062362400963803674,0.0003929825579050694,0.006262132997229256
daily,20161025,spatial,speed_cv,medium,M4_vs_M3,24891,0.06235642254112506,0.062362400963803674,-5.978422678611095e-06,-9.587501070428197e-05
daily,20161025,spatial,speed_cv,high,M3_vs_M1,151812,0.06316377594790014,0.06286039389265283,0.00030338205524731154,0.004803101947191258
daily,20161025,spatial,speed_cv,high,M4_vs_M1,151812,0.06316377594790014,0.06286292754453962,0.000300848403360518,0.0047629895275524544
daily,20161025,spatial,speed_cv,high,M4_vs_M3,151812,0.06286039389265283,0.06286292754453962,-2.533651886793553e-06,-4.0306013530877485e-05
daily,20161025,spatial,acceleration_rms,unseen,M3_vs_M1,18,0.11402270363436805,0.11861763811773723,-0.004594934483369187,-0.0402984172178865
daily,20161025,spatial,acceleration_rms,unseen,M4_vs_M1,18,0.11402270363436805,0.11979235625929302,-0.005769652624924973,-0.050600910529417745
daily,20161025,spatial,acceleration_rms,unseen,M4_vs_M3,18,0.11861763811773723,0.11979235625929302,-0.0011747181415557861,-0.009903401890280323
daily,20161025,spatial,acceleration_rms,low,M3_vs_M1,79,0.11971952681300006,0.12103366927255559,-0.0013141424595555229,-0.010976843080980363
daily,20161025,spatial,acceleration_rms,low,M4_vs_M1,79,0.11971952681300006,0.12075346331053143,-0.0010339364975313625,-0.008636322954620046
daily,20161025,spatial,acceleration_rms,low,M4_vs_M3,79,0.12103366927255559,0.12075346331053143,0.00028020596202416037,0.002315107554024202
daily,20161025,spatial,acceleration_rms,medium,M3_vs_M1,17656,0.11256759174816437,0.11222283323581256,0.0003447585123518143,0.003062680004055752
daily,20161025,spatial,acceleration_rms,medium,M4_vs_M1,17656,0.11256759174816437,0.11221707388468491,0.0003505178634794631,0.003113843496480229
daily,20161025,spatial,acceleration_rms,medium,M4_vs_M3,17656,0.11222283323581256,0.11221707388468491,5.759351127648804e-06,5.132067121801091e-05
daily,20161025,spatial,acceleration_rms,high,M3_vs_M1,103528,0.12007131697464592,0.1196028771248311,0.0004684398498148168,0.003901346813025561
daily,20161025,spatial,acceleration_rms,high,M4_vs_M1,103528,0.12007131697464592,0.11959934154899282,0.0004719754256530956,0.003930792445232838
daily,20161025,spatial,acceleration_rms,high,M4_vs_M3,103528,0.1196028771248311,0.11959934154899282,3.5355758382787927e-06,2.956095976344002e-05
daily,20161025,spatiotemporal,crawl,unseen,M3_vs_M1,2582,0.22526957423278865,0.2179991484978662,0.007270425734922453,0.03227433513684078
daily,20161025,spatiotemporal,crawl,unseen,M4_vs_M1,2582,0.22526957423278865,0.21863968408406667,0.006629890148721979,0.02943091703041439
daily,20161025,spatiotemporal,crawl,unseen,M4_vs_M3,2582,0.2179991484978662,0.21863968408406667,-0.0006405355862004747,-0.002938248110665186
