hotspot,rows,device,inference_mode,warmup_runs,repeat_runs,wall_time_s,rows_per_s,fixture_setup_rss_mb,execution_baseline_rss_mb,rss_baseline_mb,rss_peak_mb,rss_delta_mb
support_aware_edge_representation,10000,cpu,True,2,3,0.0019814000006590504,5046936.507860005,215.828125,218.5234375,218.5234375,224.25,5.7265625
support_aware_edge_representation,50000,cpu,True,2,3,0.012117100000068604,4126399.881136321,224.4296875,226.11328125,226.11328125,235.3203125,9.20703125
support_aware_edge_representation,100000,cpu,True,2,3,0.025131100000180595,3979133.4242942566,226.13671875,227.6640625,227.6640625,246.00390625,18.33984375
support_aware_edge_representation,500000,cpu,True,2,3,0.19371230000069772,2581147.4026078833,227.66796875,245.6015625,245.6015625,395.2265625,149.625
static_structure_preprocessing,10000,cpu,True,2,3,0.026485200000024633,377569.3594909874,245.60546875,227.140625,227.140625,229.515625,2.375
static_structure_preprocessing,50000,cpu,True,2,3,0.07204530000035447,694007.7978682023,229.49609375,241.2109375,241.2109375,246.3515625,5.140625
static_structure_preprocessing,100000,cpu,True,2,3,0.12742379999963305,784782.7485939674,237.71484375,253.6875,253.6875,276.30859375,22.62109375
static_structure_preprocessing,500000,cpu,True,2,3,0.6227514000001975,802888.600491049,252.48046875,355.61328125,355.61328125,532.4453125,176.83203125
micro_route_aggregation,10000,cpu,True,2,3,0.045382100000097125,220351.19573529207,357.09765625,236.5625,236.5625,238.30078125,1.73828125
micro_route_aggregation,50000,cpu,True,2,3,0.10256779999963328,487482.42626027635,238.27734375,244.55078125,244.55078125,257.9765625,13.42578125
micro_route_aggregation,100000,cpu,True,2,3,0.18591490000017075,537880.5033911115,242.16015625,258.74609375,258.74609375,287.49609375,28.75
micro_route_aggregation,500000,cpu,True,2,3,0.8885872999999265,562690.9139935281,259.98828125,357.91015625,357.91015625,558.16015625,200.25
weighted_quantile,10000,cpu,True,2,3,0.0006819999998697313,14662756.601041202,359.84375,236.41796875,236.41796875,237.15234375,0.734375
weighted_quantile,50000,cpu,True,2,3,0.003027499999916472,16515276.63133922,237.1328125,238.22265625,238.22265625,241.25,3.02734375
weighted_quantile,100000,cpu,True,2,3,0.009138899999925343,10942235.936580652,241.23828125,242.00390625,242.00390625,242.00390625,0.0
weighted_quantile,500000,cpu,True,2,3,0.047937199999978475,10430312.992836973,236.6796875,246.28125,246.28125,274.921875,28.640625
max_consecutive_high_exposure,10000,cpu,True,2,3,0.0017660999992585857,5662193.536151991,252.00390625,242.6796875,242.6796875,242.96484375,0.28515625
max_consecutive_high_exposure,50000,cpu,True,2,3,0.0032234000000244123,15511571.632320322,242.9453125,242.9453125,242.9453125,243.64453125,0.69921875
max_consecutive_high_exposure,100000,cpu,True,2,3,0.0037781999999424443,26467630.088805083,243.625,244.40625,244.40625,244.63671875,0.23046875
max_consecutive_high_exposure,500000,cpu,True,2,3,0.0214616000002934,23297424.236457884,244.6171875,250.34375,250.34375,264.0703125,13.7265625
temporal_adapter,10000,cpu,True,2,3,0.0009127000002990826,10956502.680752821,241.03515625,236.046875,236.046875,238.27734375,2.23046875
temporal_adapter,50000,cpu,True,2,3,0.005689800000254763,8787655.101719081,238.27734375,241.33203125,241.33203125,246.703125,5.37109375
temporal_adapter,100000,cpu,True,2,3,0.016723499999898195,5979609.531533995,242.8671875,247.4453125,247.4453125,262.73828125,15.29296875
temporal_adapter,500000,cpu,True,2,3,0.0865219999996043,5778877.048638343,247.453125,277.97265625,277.97265625,354.30078125,76.328125
full_transfer_model_forward,10000,cpu,True,2,3,0.06965549999949872,143563.68126094804,277.98046875,241.50390625,241.50390625,254.29296875,12.7890625
full_transfer_model_forward,50000,cpu,True,2,3,0.2908726999994542,171896.50317851698,239.89453125,247.97265625,247.97265625,336.484375,88.51171875
full_transfer_model_forward,100000,cpu,True,2,3,0.6315715000000637,158335.2003692217,248.171875,258.77734375,258.77734375,436.890625,178.11328125
full_transfer_model_forward,500000,cpu,True,2,3,2.9958110000006855,166899.71430103088,253.04296875,305.8125,305.8125,1252.43359375,946.62109375
