date,comparison_group,raw,processed,prefilter,matched,accepted
20161009,rare,2118,322,315,315,176
20161009,common,56731,9382,9194,9194,5888
20161010,rare,2055,349,336,336,182
20161010,common,56738,9576,9352,9352,5934
20161011,rare,2087,346,336,336,182
20161011,common,55797,9447,9261,9261,5846
20161012,rare,2121,328,318,318,183
20161012,common,57814,9466,9277,9277,5889
20161013,rare,2006,408,388,388,207
20161013,common,45762,9305,9108,9108,5732
20161014,rare,1642,337,321,321,182
20161014,common,48060,9567,9351,9351,5836
20161015,rare,1990,365,350,350,194
20161015,common,53097,9594,9383,9383,5883
20161016,rare,2165,398,380,380,204
20161016,common,48731,9433,9215,9215,5847
20161017,rare,1649,349,333,333,183
20161017,common,43611,9528,9329,9329,5906
20161018,rare,2221,366,359,359,207
20161018,common,58323,9434,9238,9238,5942
20161019,rare,2273,366,361,361,201
20161019,common,57909,9442,9266,9266,5838
20161020,rare,2238,348,339,339,204
20161020,common,60338,9415,9236,9236,5808
20161021,rare,2455,363,348,348,205
20161021,common,66525,9486,9307,9307,5909
20161022,rare,2749,377,364,364,210
20161022,common,69299,9547,9348,9348,5869
20161023,rare,2701,375,368,368,198
20161023,common,66162,9581,9364,9364,5874
20161024,rare,2365,357,346,346,212
20161024,common,61904,9502,9275,9275,5832
20161025,rare,2329,362,347,347,198
20161025,common,62726,9516,9331,9331,5838
20161026,rare,2237,339,327,327,191
20161026,common,60038,9592,9386,9386,5786
20161027,rare,2320,350,335,335,185
20161027,common,63476,9525,9320,9320,5798
20161031,rare,2280,1076,1041,1041,604
20161031,common,61414,28697,28058,28058,17643
