support_group,rejection_token,count
high,CANONICAL_NOT_RESOLVED,32849
high,DURATION_TOO_SHORT,2857
high,DYNAMIC_UNUSABLE,25994
high,GPS_NOT_CORE_ELIGIBLE,26030
high,IMPOSSIBLE_SPEED_DOMINATES,109
high,INSUFFICIENT_DIRECT_INTERVALS,31034
high,INSUFFICIENT_TIMED_EDGES,36144
high,LOCAL_OUTLIER_AFFECTS_CORRIDOR,21787
high,OD_DISTANCE_TOO_SHORT,2900
high,ROUTE_NOT_PASS,56722
high,TOO_FEW_VALID_POINTS,2633
low,CANONICAL_NOT_RESOLVED,1553
low,DURATION_TOO_SHORT,195
low,DYNAMIC_UNUSABLE,1162
low,GPS_NOT_CORE_ELIGIBLE,1156
low,IMPOSSIBLE_SPEED_DOMINATES,24
low,INSUFFICIENT_DIRECT_INTERVALS,1333
low,INSUFFICIENT_TIMED_EDGES,1617
low,LOCAL_OUTLIER_AFFECTS_CORRIDOR,1053
low,OD_DISTANCE_TOO_SHORT,192
low,ROUTE_NOT_PASS,2371
low,TOO_FEW_VALID_POINTS,184
medium,CANONICAL_NOT_RESOLVED,25195
medium,DURATION_TOO_SHORT,2053
medium,DYNAMIC_UNUSABLE,18146
medium,GPS_NOT_CORE_ELIGIBLE,18061
medium,IMPOSSIBLE_SPEED_DOMINATES,91
medium,INSUFFICIENT_DIRECT_INTERVALS,21624
medium,INSUFFICIENT_TIMED_EDGES,25788
medium,LOCAL_OUTLIER_AFFECTS_CORRIDOR,16164
medium,MATCH_REJECTION:*,1
medium,OD_DISTANCE_TOO_SHORT,1935
medium,ROUTE_NOT_PASS,41084
medium,TOO_FEW_VALID_POINTS,1953
unseen,CANONICAL_NOT_RESOLVED,2
unseen,DYNAMIC_UNUSABLE,2
unseen,GPS_NOT_CORE_ELIGIBLE,1
unseen,INSUFFICIENT_DIRECT_INTERVALS,2
unseen,INSUFFICIENT_TIMED_EDGES,2
unseen,ROUTE_NOT_PASS,2
