date,split,raw_candidates,processed_candidates,prefilter_pass,valhalla_processed_or_matched,core_accepted,rejected,unprocessed_quota,processing_opportunity_rate,prefilter_pass_given_processed,matched_given_prefilter,core_acceptance_given_processed,core_acceptance_given_raw
20161009,train,98859,16287,15957,15957,10000,6287,82572,0.16474979516280763,0.9797384417019709,1.0,0.613986615091791,0.10115416906907818
20161010,train,97632,16366,15998,15998,10000,6366,81266,0.16762946574893478,0.977514359037028,1.0,0.6110228522546743,0.10242543428384136
20161011,train,96783,16289,15962,15962,10000,6289,80494,0.16830435097072832,0.9799251028301308,1.0,0.6139112284363681,0.10332393085562547
20161012,train,100038,16357,16032,16032,10000,6357,83681,0.163507867010536,0.9801308308369505,1.0,0.6113590511707526,0.09996201443451488
20161013,train,80701,16591,16216,16216,10000,6591,64110,0.20558605221744464,0.9773973841239226,1.0,0.6027364233620638,0.12391420180666907
20161014,train,83579,16705,16327,16327,10000,6705,66874,0.19987078093779537,0.9773720442981143,1.0,0.5986231667165519,0.11964727981909332
20161015,train,91631,16603,16250,16250,10000,6603,75028,0.18119413735526185,0.9787387821478046,1.0,0.6023007890140336,0.10913337189379141
20161016,train,84536,16312,15932,15932,10000,6312,68224,0.1929592126431343,0.9767042667974497,1.0,0.6130456105934281,0.1182927983344374
20161017,train,74772,16361,15996,15996,10000,6361,58411,0.21881185470496978,0.977690850192531,1.0,0.6112095837662734,0.1337399026373509
20161018,train,101201,16207,15881,15881,10000,6207,84994,0.16014663886720487,0.9798852347750971,1.0,0.6170173381872031,0.09881325283347002
20161019,train,100348,16421,16122,16122,10000,6421,83927,0.16364053095228603,0.9817916083064369,1.0,0.608976310821509,0.09965320684019612
20161020,train,104047,16378,16061,16061,10000,6378,87669,0.15740963218545465,0.9806447673708634,1.0,0.6105751618024179,0.09611041164089305
20161021,train,115187,16256,15950,15950,10000,6256,98931,0.1411270369052063,0.9811761811023622,1.0,0.6151574803149606,0.08681535242692318
20161022,train,120467,16483,16133,16133,10000,6483,103984,0.1368258527231524,0.9787660013347085,1.0,0.6066856761511861,0.08301028497430832
20161023,train,114356,16537,16191,16191,10000,6537,97819,0.14460981496379727,0.9790772207776501,1.0,0.6047046018020197,0.08744622057434678
20161024,train,107533,16583,16206,16206,10000,6583,90950,0.15421312527317196,0.9772658746909486,1.0,0.6030271965265633,0.0929947086010806
20161025,validation,107906,16496,16176,16176,10000,6496,91410,0.15287379756454691,0.9806013579049466,1.0,0.6062075654704171,0.09267325264582137
20161026,validation,104726,16764,16393,16393,10000,6764,87962,0.1600748620208926,0.9778692436172751,1.0,0.5965163445478406,0.09548727154670282
20161027,validation,109753,16548,16195,16195,10000,6548,93205,0.15077492187001723,0.9786681169929901,1.0,0.6043026347594875,0.09111368254170729
20161031,test,105460,49421,48345,48345,30000,19421,56039,0.4686231746633795,0.9782278788369316,1.0,0.6070294004572955,0.2844680447563057
