origin_grid,raw_count,raw_share,processed_count,accepted_count,accepted_share,acceptance_rate
OE307_N3786,6727,0.0033643158465927986,1231,618,0.002809090909090909,0.09186858926713246
OE307_N3787,17798,0.008901158530943754,3262,2045,0.009295454545454546,0.11490055062366558
OE307_N3788,72430,0.03622378426768491,13032,7837,0.03562272727272727,0.10820102167610106
OE307_N3789,36703,0.018355951318194664,6528,4386,0.019936363636363637,0.11949976841130153
OE307_N3790,71928,0.035972723385420964,12844,9231,0.04195909090909091,0.12833667000333668
OE307_N3791,33388,0.01669804927694966,6121,1853,0.008422727272727273,0.0554989816700611
OE307_N3792,25373,0.012689577222476451,4499,2352,0.010690909090909091,0.09269696133685414
OE307_N3793,26955,0.013480769086503476,5032,2819,0.012813636363636364,0.10458171025783713
OE307_N3794,2893,0.0014468508613338735,504,179,0.0008136363636363636,0.06187348772900104
OE307_N3795,34,1.7004123499948737e-05,7,0,0.0,0.0
OE308_N3786,18688,0.009346266469618883,3438,2179,0.009904545454545454,0.11659888698630137
OE308_N3787,16676,0.008340022455445446,2985,1727,0.00785,0.10356200527704486
OE308_N3788,19709,0.009856890295896755,3599,2625,0.011931818181818182,0.13318788370795068
OE308_N3789,20236,0.01012045421014596,3665,2513,0.011422727272727272,0.12418462146669303
OE308_N3790,27591,0.0137988462202084,5013,2844,0.012927272727272726,0.10307709035555072
OE308_N3791,17180,0.008592083580268216,3147,1484,0.006745454545454546,0.08637951105937136
OE308_N3792,18735,0.009369772169751165,3413,1631,0.0074136363636363636,0.0870563117160395
OE308_N3793,14161,0.007082217437728649,2626,1463,0.00665,0.10331191300049432
OE308_N3794,7637,0.003819426210856133,1400,635,0.0028863636363636366,0.08314783291868534
OE308_N3795,21750,0.01087763782717309,3867,1663,0.007559090909090909,0.07645977011494252
OE309_N3786,15794,0.007898915487005598,2748,1824,0.00829090909090909,0.11548689375712295
OE309_N3787,15609,0.007806393050314701,2779,1714,0.0077909090909090905,0.10980844384649882
OE309_N3788,21618,0.010811621818290935,3927,2892,0.013145454545454545,0.13377740771579238
OE309_N3789,33845,0.016926604701640147,6189,4393,0.01996818181818182,0.1297976067365933
OE309_N3790,28493,0.014249955614236452,5148,3428,0.015581818181818181,0.12031025164075387
OE309_N3791,20061,0.010032932986249165,3547,2091,0.009504545454545455,0.10423209211903693
OE309_N3792,30002,0.01500463862486653,5513,3498,0.0159,0.11659222718485435
OE309_N3793,10081,0.005041722617734801,1894,1151,0.005231818181818182,0.11417518103362762
OE309_N3794,10376,0.005189258395160826,1908,1271,0.005777272727272727,0.12249421742482652
OE309_N3795,27128,0.013567290067841452,4826,2784,0.012654545454545455,0.10262459451489236
OE310_N3786,52750,0.026381397488891057,9627,6494,0.02951818181818182,0.12310900473933649
OE310_N3787,22716,0.011360754983083398,4060,2181,0.009913636363636364,0.09601162176439514
OE310_N3788,48228,0.024119849063397873,8752,6437,0.029259090909090908,0.13347018329601062
OE310_N3789,47947,0.02397931498388359,8668,6196,0.028163636363636363,0.12922602039752226
OE310_N3790,25767,0.012886625006564092,4593,3152,0.014327272727272727,0.12232700741258198
OE310_N3791,30134,0.015070654633748685,5452,2739,0.01245,0.09089400676976173
OE310_N3792,60451,0.030232831461629445,11003,6842,0.0311,0.11318257762485319
OE310_N3793,21850,0.010927649955114116,3936,2661,0.012095454545454545,0.12178489702517162
OE310_N3794,9608,0.004805165252573749,1732,1200,0.005454545454545455,0.12489592006661115
OE310_N3795,452,0.00022605481829343616,82,3,1.3636363636363637e-05,0.00663716814159292
OE311_N3786,8808,0.004405068229045544,1607,1034,0.0047,0.11739327883742053
OE311_N3787,12042,0.006022460446658315,2177,1196,0.005436363636363637,0.09931904999169573
OE311_N3788,20650,0.010327504419821807,3687,2681,0.012186363636363636,0.12983050847457628
OE311_N3789,17298,0.008651097891238625,3161,2200,0.01,0.12718233321771302
OE311_N3790,28100,0.014053407951428221,5051,3463,0.01574090909090909,0.12323843416370107
OE311_N3791,29788,0.014897612671072735,5313,2590,0.011772727272727273,0.08694776420034914
OE311_N3792,30560,0.015283706298777454,5417,3477,0.015804545454545453,0.1137761780104712
OE311_N3793,29630,0.014818593508925915,5252,3610,0.016409090909090908,0.12183597705028687
OE311_N3794,12109,0.006055968572378802,2185,1222,0.005554545454545454,0.10091667354860022
OE311_N3795,41725,0.020867560383392974,7572,4835,0.021977272727272727,0.11587777112043139
OE312_N3786,15965,0.007984436225784753,2825,715,0.00325,0.04478546821171312
OE312_N3787,21872,0.01093865262326114,3953,1854,0.008427272727272728,0.08476591075347477
OE312_N3788,15364,0.007683863336859188,2884,1795,0.00815909090909091,0.11683155428273886
OE312_N3789,16313,0.008158478431019522,2993,1911,0.008686363636363636,0.1171458346104334
OE312_N3790,25174,0.01259005308787381,4524,3009,0.013677272727272727,0.11952808453165965
OE312_N3791,23930,0.01196790221628745,4331,2440,0.01109090909090909,0.10196406184705391
OE312_N3792,29051,0.014529023288147376,5260,3346,0.01520909090909091,0.11517675811503907
OE312_N3793,39500,0.01975479053670515,7254,5110,0.02322727272727273,0.12936708860759494
OE312_N3794,24628,0.012316986869315809,4403,2855,0.012977272727272728,0.11592496345622869
OE312_N3795,38,1.9004608617589767e-05,8,0,0.0,0.0
