support_group,target,raw_orders,processed_orders,accepted_orders,target_valid_traversals,R1_processed_per_raw,R2_accepted_per_processed,R3_target_valid_traversals_per_accepted_order
unseen,crawl,11,2,0,0,0.18181818181818182,0.0,
unseen,stop,11,2,0,0,0.18181818181818182,0.0,
unseen,speed_cv,11,2,0,0,0.18181818181818182,0.0,
unseen,acceleration_rms,11,2,0,0,0.18181818181818182,0.0,
low,crawl,43990,7879,4308,104437,0.17910888838372357,0.5467698946566824,24.242571959145774
low,stop,43990,7879,4308,104437,0.17910888838372357,0.5467698946566824,24.242571959145774
low,speed_cv,43990,7879,4308,65723,0.17910888838372357,0.5467698946566824,15.256035283194057
low,acceleration_rms,43990,7879,4308,41828,0.17910888838372357,0.5467698946566824,9.709377901578458
medium,crawl,801059,145049,86794,2218049,0.18107155652704732,0.5983771001523623,25.55532640505104
medium,stop,801059,145049,86794,2218049,0.18107155652704732,0.5983771001523623,25.55532640505104
medium,speed_cv,801059,145049,86794,1491656,0.18107155652704732,0.5983771001523623,17.186164942277117
medium,acceleration_rms,801059,145049,86794,1019216,0.18107155652704732,0.5983771001523623,11.742931539046477
high,crawl,1154455,209035,128898,3453044,0.18106812305373532,0.6166335781089292,26.788964917997177
high,stop,1154455,209035,128898,3453044,0.18106812305373532,0.6166335781089292,26.788964917997177
high,speed_cv,1154455,209035,128898,2346078,0.18106812305373532,0.6166335781089292,18.201042684913652
high,acceleration_rms,1154455,209035,128898,1602836,0.18106812305373532,0.6166335781089292,12.434917531691726
