target,context_dimension,context_group,direct_observed_traversals,target_valid_traversals,availability_rate
crawl,origin_time_support,unseen,0,0,
stop,origin_time_support,unseen,0,0,
speed_cv,origin_time_support,unseen,0,0,
acceleration_rms,origin_time_support,unseen,0,0,
crawl,origin_time_support,low,104437,104437,1.0
stop,origin_time_support,low,104437,104437,1.0
speed_cv,origin_time_support,low,104437,65723,0.629307620862338
acceleration_rms,origin_time_support,low,104437,41828,0.40050939801028373
crawl,origin_time_support,medium,2218049,2218049,1.0
stop,origin_time_support,medium,2218049,2218049,1.0
speed_cv,origin_time_support,medium,2218049,1491656,0.6725081366552317
acceleration_rms,origin_time_support,medium,2218049,1019216,0.45951013706189536
crawl,origin_time_support,high,3453044,3453044,1.0
stop,origin_time_support,high,3453044,3453044,1.0
speed_cv,origin_time_support,high,3453044,2346078,0.6794231408577476
acceleration_rms,origin_time_support,high,3453044,1602836,0.4641805896478585
crawl,edge_spatial_support,unseen,972,972,1.0
stop,edge_spatial_support,unseen,972,972,1.0
speed_cv,edge_spatial_support,unseen,972,208,0.2139917695473251
acceleration_rms,edge_spatial_support,unseen,972,111,0.11419753086419752
crawl,edge_spatial_support,low,6525,6525,1.0
stop,edge_spatial_support,low,6525,6525,1.0
speed_cv,edge_spatial_support,low,6525,1663,0.2548659003831418
acceleration_rms,edge_spatial_support,low,6525,930,0.1425287356321839
crawl,edge_spatial_support,medium,485441,485441,1.0
stop,edge_spatial_support,medium,485441,485441,1.0
speed_cv,edge_spatial_support,medium,485441,223360,0.4601177074041954
acceleration_rms,edge_spatial_support,medium,485441,157591,0.32463471359032303
crawl,edge_spatial_support,high,5282592,5282592,1.0
stop,edge_spatial_support,high,5282592,5282592,1.0
speed_cv,edge_spatial_support,high,5282592,3678226,0.6962918960994906
acceleration_rms,edge_spatial_support,high,5282592,2505248,0.4742459762177355
crawl,edge_time_support,unseen,23601,23601,1.0
stop,edge_time_support,unseen,23601,23601,1.0
speed_cv,edge_time_support,unseen,23601,9373,0.3971441888055591
acceleration_rms,edge_time_support,unseen,23601,6138,0.2600737256895894
crawl,edge_time_support,low,164542,164542,1.0
stop,edge_time_support,low,164542,164542,1.0
speed_cv,edge_time_support,low,164542,70938,0.43112396834850675
acceleration_rms,edge_time_support,low,164542,47514,0.28876517849546013
crawl,edge_time_support,medium,1202979,1202979,1.0
stop,edge_time_support,medium,1202979,1202979,1.0
speed_cv,edge_time_support,medium,1202979,658209,0.5471492021057724
acceleration_rms,edge_time_support,medium,1202979,440805,0.36642784288005026
crawl,edge_time_support,high,4384408,4384408,1.0
stop,edge_time_support,high,4384408,4384408,1.0
speed_cv,edge_time_support,high,4384408,3164937,0.721861879642588
acceleration_rms,edge_time_support,high,4384408,2169423,0.4948040875757913
