dimension,target,comparison,jensen_shannon_divergence,total_variation_distance
time_bin,orders,raw_vs_accepted,9.524248678179187e-05,0.008340064124641128
origin_grid,orders,raw_vs_accepted,0.004703785807844462,0.058559796500651407
time_bin,crawl,accepted_orders_vs_target_valid_traversals,0.0004190781157889336,0.015419733899273787
origin_grid,crawl,accepted_orders_vs_target_valid_traversals,0.001996118350808735,0.04185109996988863
time_bin,stop,accepted_orders_vs_target_valid_traversals,0.0004190781157889336,0.015419733899273787
origin_grid,stop,accepted_orders_vs_target_valid_traversals,0.001996118350808735,0.04185109996988863
time_bin,speed_cv,accepted_orders_vs_target_valid_traversals,0.0006153452986142414,0.017709134395020063
origin_grid,speed_cv,accepted_orders_vs_target_valid_traversals,0.001907812706683795,0.04068122981989833
time_bin,acceleration_rms,accepted_orders_vs_target_valid_traversals,0.000875782309293397,0.0214009444869889
origin_grid,acceleration_rms,accepted_orders_vs_target_valid_traversals,0.0016448180696449792,0.03577293162263656
