scenario,metric,recovered,reference,absolute_error,atol,passed
RT-Low,orders,114356.0,114356.0,0.0,0.0,True
RT-Low,mean_lead_sec,318.50330106916647,318.5033010691664,5.684341886080802e-14,1e-06,True
RT-Low,p50_lead_sec,289.5808632833151,289.5808632833151,0.0,1e-06,True
RT-Low,p90_lead_sec,506.1923605348263,506.1923605348263,0.0,1e-06,True
RT-Low,clipped_share,0.2012574766518591,0.2012574766518591,0.0,1e-12,True
RT-Base,orders,114356.0,114356.0,0.0,0.0,True
RT-Base,mean_lead_sec,501.9096013928667,501.9096013928667,0.0,1e-06,True
RT-Base,p50_lead_sec,497.97856176370203,497.978561763702,5.684341886080802e-14,1e-06,True
RT-Base,p90_lead_sec,626.9027962306016,626.9027962306016,0.0,1e-06,True
RT-Base,clipped_share,0.0,0.0,0.0,1e-12,True
RT-High,orders,114356.0,114356.0,0.0,0.0,True
RT-High,mean_lead_sec,1308.7568309649687,1308.756830964969,2.2737367544323206e-13,1e-06,True
RT-High,p50_lead_sec,1364.176402753013,1364.176402753013,0.0,1e-06,True
RT-High,p90_lead_sec,1486.3696770491251,1486.3696770491251,0.0,1e-06,True
RT-High,clipped_share,0.0,0.0,0.0,1e-12,True
