fold,sample_size,initial_fleet_hash,mechanism_id,dispatch_strategy,pricing_scenario,supply_scenario,av_penetration,odd_profile,cancellation_reason,orders
1,1500,092ac9bc4eec0bae50509fe25844a6b753d846bdb14053512753a3d009bbf861,INT_AV0.75_conservative_av,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.75,conservative_av,,1205
1,1500,092ac9bc4eec0bae50509fe25844a6b753d846bdb14053512753a3d009bbf861,INT_AV0.75_conservative_av,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.75,conservative_av,cancelled_no_available_vehicle,3
1,1500,092ac9bc4eec0bae50509fe25844a6b753d846bdb14053512753a3d009bbf861,INT_AV0.75_conservative_av,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.75,conservative_av,cancelled_no_odd_feasible_av,102
1,1500,092ac9bc4eec0bae50509fe25844a6b753d846bdb14053512753a3d009bbf861,INT_AV0.75_conservative_av,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.75,conservative_av,cancelled_no_spatial_candidate,15
1,1500,092ac9bc4eec0bae50509fe25844a6b753d846bdb14053512753a3d009bbf861,INT_AV0.75_conservative_av,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.75,conservative_av,cancelled_passenger_rejection,158
1,1500,092ac9bc4eec0bae50509fe25844a6b753d846bdb14053512753a3d009bbf861,INT_AV0.75_conservative_av,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.75,conservative_av,cancelled_patience_timeout,17
1,1500,092ac9bc4eec0bae50509fe25844a6b753d846bdb14053512753a3d009bbf861,INT_AV0.75_intersection_sensitive_av,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.75,intersection_sensitive_av,,1226
1,1500,092ac9bc4eec0bae50509fe25844a6b753d846bdb14053512753a3d009bbf861,INT_AV0.75_intersection_sensitive_av,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.75,intersection_sensitive_av,cancelled_no_available_vehicle,3
1,1500,092ac9bc4eec0bae50509fe25844a6b753d846bdb14053512753a3d009bbf861,INT_AV0.75_intersection_sensitive_av,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.75,intersection_sensitive_av,cancelled_no_odd_feasible_av,79
1,1500,092ac9bc4eec0bae50509fe25844a6b753d846bdb14053512753a3d009bbf861,INT_AV0.75_intersection_sensitive_av,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.75,intersection_sensitive_av,cancelled_no_spatial_candidate,15
1,1500,092ac9bc4eec0bae50509fe25844a6b753d846bdb14053512753a3d009bbf861,INT_AV0.75_intersection_sensitive_av,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.75,intersection_sensitive_av,cancelled_passenger_rejection,154
1,1500,092ac9bc4eec0bae50509fe25844a6b753d846bdb14053512753a3d009bbf861,INT_AV0.75_intersection_sensitive_av,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.75,intersection_sensitive_av,cancelled_patience_timeout,23
1,1500,092ac9bc4eec0bae50509fe25844a6b753d846bdb14053512753a3d009bbf861,INT_AV0.75_mature_av,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.75,mature_av,,1303
1,1500,092ac9bc4eec0bae50509fe25844a6b753d846bdb14053512753a3d009bbf861,INT_AV0.75_mature_av,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.75,mature_av,cancelled_no_available_vehicle,3
1,1500,092ac9bc4eec0bae50509fe25844a6b753d846bdb14053512753a3d009bbf861,INT_AV0.75_mature_av,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.75,mature_av,cancelled_no_odd_feasible_av,15
1,1500,092ac9bc4eec0bae50509fe25844a6b753d846bdb14053512753a3d009bbf861,INT_AV0.75_mature_av,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.75,mature_av,cancelled_no_spatial_candidate,15
1,1500,092ac9bc4eec0bae50509fe25844a6b753d846bdb14053512753a3d009bbf861,INT_AV0.75_mature_av,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.75,mature_av,cancelled_passenger_rejection,163
1,1500,092ac9bc4eec0bae50509fe25844a6b753d846bdb14053512753a3d009bbf861,INT_AV0.75_mature_av,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.75,mature_av,cancelled_patience_timeout,1
1,1500,092ac9bc4eec0bae50509fe25844a6b753d846bdb14053512753a3d009bbf861,INT_AV0.75_moderate_av,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.75,moderate_av,,1293
1,1500,092ac9bc4eec0bae50509fe25844a6b753d846bdb14053512753a3d009bbf861,INT_AV0.75_moderate_av,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.75,moderate_av,cancelled_no_available_vehicle,3
1,1500,092ac9bc4eec0bae50509fe25844a6b753d846bdb14053512753a3d009bbf861,INT_AV0.75_moderate_av,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.75,moderate_av,cancelled_no_odd_feasible_av,24
1,1500,092ac9bc4eec0bae50509fe25844a6b753d846bdb14053512753a3d009bbf861,INT_AV0.75_moderate_av,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.75,moderate_av,cancelled_no_spatial_candidate,15
