time_bin,target_online_HV,generated_online_HV,absolute_error,relative_error,replication_id
0,1053,1053,0,0.0,1
1,1994,1994,0,0.0,1
2,2457,2457,0,0.0,1
3,2702,2702,0,0.0,1
4,3040,3040,0,0.0,1
5,3273,3273,0,0.0,1
6,3500,3500,0,0.0,1
7,3663,3663,0,0.0,1
8,3672,3672,0,0.0,1
9,3764,3764,0,0.0,1
10,3874,3874,0,0.0,1
11,4009,4009,0,0.0,1
12,4150,4150,0,0.0,1
13,4364,4364,0,0.0,1
14,4559,4559,0,0.0,1
15,4677,4677,0,0.0,1
16,4700,4700,0,0.0,1
17,4686,4686,0,0.0,1
18,4614,4614,0,0.0,1
19,4535,4535,0,0.0,1
20,4379,4379,0,0.0,1
21,4313,4313,0,0.0,1
22,4360,4360,0,0.0,1
23,4211,4211,0,0.0,1
24,4056,4056,0,0.0,1
25,3911,3911,0,0.0,1
26,3735,3735,0,0.0,1
27,3585,3585,0,0.0,1
28,3249,3249,0,0.0,1
29,2836,2836,0,0.0,1
30,2256,2256,0,0.0,1
31,1641,1641,0,0.0,1
32,906,906,0,0.0,1
33,920,920,0,0.0,1
34,776,776,0,0.0,1
35,623,623,0,0.0,1
36,500,525,25,0.05,1
37,413,413,0,0.0,1
38,340,340,0,0.0,1
39,268,268,0,0.0,1
40,216,216,0,0.0,1
41,196,196,0,0.0,1
42,195,195,0,0.0,1
43,203,203,0,0.0,1
44,257,257,0,0.0,1
45,373,373,0,0.0,1
46,444,444,0,0.0,1
47,377,377,0,0.0,1
