vehicle_profile,binding_dimension,orders
conservative_av,lcs,63298
conservative_av,pmis,27535
conservative_av,rts,21332
conservative_av,unknown_condition,2191
moderate_av,lcs,82960
moderate_av,pmis,19019
moderate_av,rts,10186
moderate_av,unknown_condition,2191
mature_av,lcs,85543
mature_av,pmis,19250
mature_av,rts,7372
mature_av,unknown_condition,2191
intersection_sensitive_av,lcs,76992
intersection_sensitive_av,pmis,22260
intersection_sensitive_av,rts,12913
intersection_sensitive_av,unknown_condition,2191
uncertainty_sensitive_av,lcs,29410
uncertainty_sensitive_av,pmis,17734
uncertainty_sensitive_av,rts,10883
uncertainty_sensitive_av,uncertainty,54138
uncertainty_sensitive_av,unknown_condition,2191
