supply_scenario,av_penetration,odd_profile,pricing_scenario,dispatch_strategy,relocation_mode,mechanism_id,odd_policy,passenger_policy,driver_policy,experiment_family,sample_size,initial_fleet_hash,orders,served_orders,match_rate,cancel_rate,passenger_acceptance_rate,driver_acceptance_rate,spatial_feasibility_rate,ODD_feasibility_rate,matching_success_rate_given_feasible,patience_cancellation_rate,price_rejection_rate,driver_rejection_rate,mean_waiting_time_sec,mean_pickup_time_sec,mean_passenger_fare,mean_passenger_generalized_cost,platform_revenue,platform_cost,served_order_profit,lost_demand_cost,platform_profit,net_platform_profit,profit_margin,HV_payout,HV_net_income,HV_stress_burden,HV_high_stress_assignment_share,AV_utilization,HV_utilization,AV_active_vehicle_share,HV_active_vehicle_share,AV_orders_per_vehicle,HV_orders_per_vehicle,AV_assignment_share,AV_stress_exposure,AV_ODD_violation_rate,remote_assistance_cost,fallback_expected_cost,capability_cost,mean_candidate_count,zero_candidate_order_share,cross_zone_candidate_share,local_zone_candidate_share,neighbor_zone_candidate_share,candidate_generation_runtime_sec,fold,experiment_id
moderate,0.5,moderate_av,P0_uniform,GlobalMatch-MinPickup,none,B0_minpickup_uniform,none,deterministic_gc_threshold,deterministic_utility_threshold,main_mechanism,15000,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,15000,12645,0.843,0.157,0.8438,0.9979333333333333,0.9979333333333333,0.9978666666666667,0.9990518331226296,0.0008,0.15413333333333334,0.0,69.52898378805853,145.63052173430316,50.10466039378846,51.49163071002954,633573.430679455,229763.32754442544,403810.1031350296,11775.0,392035.1031350296,392035.1031350296,0.6187682187281819,123467.70102472324,81058.42479424426,0.3317875135344593,0.029915912031047865,0.6095911738666542,0.6159891096822587,1.0,1.0,30.766666666666666,29.447619047619046,0.5109529458283907,0.33051743395851413,0.06995821080328123,5928.412638187408,6757.497841835022,17503.309002950788,6.304235511264073,0.35896218675452946,0.7560689096269818,0.2310000558902595,0.7560689096269818,7.374541699900874,1,0
moderate,0.5,moderate_av,P0_uniform,GlobalMatch-MinOperatingCost,none,B1_mincost_uniform,none,deterministic_gc_threshold,deterministic_utility_threshold,main_mechanism,15000,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,15000,12553,0.8368666666666666,0.16313333333333332,0.8377333333333333,0.9979333333333333,0.9979333333333333,0.9976666666666667,0.9989651329406145,0.0008666666666666666,0.1602,0.0,70.55333386441488,185.96947074937944,50.495294430300596,52.2048389037688,633867.4309835634,208014.7216628945,425852.70932066883,12235.0,413617.70932066883,413617.70932066883,0.6525303069742263,119983.61392384683,77791.49292942711,0.3490542911816953,0.05646739948802891,0.6587046667493117,0.5722479287580589,1.0,1.0,28.152380952380952,31.623809523809523,0.47096311638652116,0.31061295680130424,0.0027063599458728013,416.1323642730713,231.51165103912354,5887.7595100700855,6.208102829761185,0.3681994763190818,0.7565688383468172,0.23050012717042417,0.7565688383468172,7.317714800170506,1,1
moderate,0.5,moderate_av,P0_uniform,ODD Gate Only,none,B2_oddgate_uniform,hard_gate_for_av,deterministic_gc_threshold,deterministic_utility_threshold,main_mechanism,15000,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,15000,12640,0.8426666666666667,0.15733333333333333,0.8440666666666666,0.9979333333333333,0.9979333333333333,0.9978666666666667,0.9984202211690363,0.0013333333333333333,0.15386666666666668,0.0,69.20308544303798,148.28141029759598,49.82476083694558,51.224539859182705,629784.9769789921,218083.8822317422,411701.0947472498,11800.0,399901.0947472498,399901.0947472498,0.6349803653074269,123985.68043332899,81070.24383411798,0.33948926268158003,0.05668016194331984,0.6070405685889033,0.6204131789587553,1.0,1.0,30.785714285714285,29.404761904761905,0.5114715189873418,0.3230737158650743,0.0,6603.9989013671875,0.0,11729.878788635135,6.1320985163621184,0.3589144789019944,0.758160349198116,0.2289086163191254,0.758160349198116,7.345015600178158,1,2
moderate,0.5,moderate_av,P3_shared_comp,ODD-Gated Price-Aware Matching,none,B3_odd_price_shared,hard_gate_for_av,deterministic_gc_threshold,deterministic_utility_threshold,main_mechanism,15000,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,15000,12539,0.8359333333333333,0.16406666666666667,0.8380666666666666,0.9978,0.9978,0.9974666666666666,0.9978513448989337,0.0018,0.15973333333333334,0.0,69.94848074009091,181.68801704259795,50.91846804380685,52.588964917931385,638466.670801294,216499.4380469833,421967.2327543108,12305.0,409662.2327543108,409662.2327543108,0.6416344838175703,137620.41777316981,95754.99417897064,0.34839333066298067,0.0555807966076026,0.6594547066948065,0.5682069267867925,1.0,1.0,28.266666666666666,31.442857142857143,0.4734029826939947,0.31118213704654146,0.0,592.7659797668457,0.0,5853.609347090125,6.048793063713136,0.3730302528936892,0.7530418205965642,0.23402714492067717,0.7530418205965642,7.434917000340647,1,3
moderate,0.5,moderate_av,P5_three_stakeholder_balanced,Three-Stakeholder Balanced,none,B6_three_stakeholder_balanced,hard_gate_for_av,deterministic_gc_threshold,deterministic_utility_threshold,main_mechanism,15000,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,15000,12457,0.8304666666666667,0.16953333333333334,0.8324666666666667,0.9978,0.9978,0.9976,0.9978372316565204,0.0018,0.16533333333333333,0.0,69.5901902544754,176.98325710014308,48.69525915978373,50.32762138380582,606596.843353426,219048.8149178513,387548.0284355747,12715.0,374833.0284355747,374833.0284355747,0.6179277596688432,141589.3366414596,100793.00969361546,0.3475998925937739,0.05631216526396327,0.6530176727619618,0.5510299560844475,1.0,1.0,28.2,31.11904761904762,0.47539536003853256,0.3124639540659097,0.0,664.0020899772644,0.0,5949.71733482182,5.789216656307606,0.3936123898050686,0.7413787050554629,0.24569026046177844,0.7413787050554629,7.401753099664347,1,4
moderate,0.5,moderate_av,P0_uniform,GlobalMatch-MinPickup,none,B0_minpickup_uniform,none,deterministic_gc_threshold,deterministic_utility_threshold,main_mechanism,15000,d9322babd189499956610877b248c22df3ae9196d212e12d27f427e06607a6af,15000,12156,0.8104,0.1896,0.8104666666666667,0.9600666666666666,0.9600666666666666,0.9597333333333333,0.9999177090190915,6.666666666666667e-05,0.1496,0.0,68.22318196775255,146.97154888698975,49.298153087671345,50.696983924717664,599268.3489337328,258881.5442780789,340386.80465565395,14220.0,326166.80465565395,326166.80465565395,0.5442750401151614,121534.44779720379,77147.99456511263,0.40252591965841983,0.22771317829457363,0.6969694186767803,0.7634473671634847,1.0,1.0,28.4,29.485714285714284,0.4906219151036525,0.40515579709776117,0.2290409121395037,10120.122754096985,21628.53866481781,35216.066645398736,4.727192160372126,0.5184157483015364,0.6209065240209329,0.16237959495923712,0.6209065240209329,7.073350200065761,2,0
moderate,0.5,moderate_av,P0_uniform,GlobalMatch-MinOperatingCost,none,B1_mincost_uniform,none,deterministic_gc_threshold,deterministic_utility_threshold,main_mechanism,15000,d9322babd189499956610877b248c22df3ae9196d212e12d27f427e06607a6af,15000,12067,0.8044666666666667,0.19553333333333334,0.8047333333333333,0.9600666666666666,0.9600666666666666,0.9564666666666667,0.99966716591779,0.0002666666666666667,0.15526666666666666,0.0,69.21712107400349,189.9269017674464,49.716327996599645,51.4247525835601,599926.9299349679,211351.5147219956,388575.4152129723,14665.0,373910.4152129723,373910.4152129723,0.6232599280940835,120184.83236649446,74166.2871961708,0.4418293151640491,0.41072283389181424,0.7187511769010324,0.7519728339372114,1.0,1.0,27.61904761904762,29.84285714285714,0.4806497058092318,0.3622958464291075,0.030862068965517242,4084.4392857551575,2787.5843925476074,12425.653902307153,4.648784812137691,0.5268690847143351,0.6249307094726183,0.15835540950755161,0.6249307094726183,7.085070700049982,2,1
moderate,0.5,moderate_av,P0_uniform,ODD Gate Only,none,B2_oddgate_uniform,hard_gate_for_av,deterministic_gc_threshold,deterministic_utility_threshold,main_mechanism,15000,d9322babd189499956610877b248c22df3ae9196d212e12d27f427e06607a6af,15000,12101,0.8067333333333333,0.19326666666666667,0.8091333333333334,0.9600666666666666,0.9600666666666666,0.9596,0.9975269969499629,0.002,0.15086666666666668,0.0,71.06139988430708,164.2512154209652,49.3764470120471,50.919808143528854,597504.385292782,223199.2158200732,374305.1694727088,14495.0,359810.1694727088,359810.1694727088,0.6021883325532396,122896.06703828622,76763.4743793619,0.4304713416281807,0.41148325358851673,0.6797490103000299,0.786419977255127,1.0,1.0,28.761904761904763,28.86190476190476,0.499132303115445,0.3762771687003687,0.0,13610.856392383575,0.0,18269.27300488949,4.116863653778846,0.5260879264073425,0.6262923239648103,0.15699379501535968,0.6262923239648103,6.968693799848552,2,2
moderate,0.5,moderate_av,P3_shared_comp,ODD-Gated Price-Aware Matching,none,B3_odd_price_shared,hard_gate_for_av,deterministic_gc_threshold,deterministic_utility_threshold,main_mechanism,15000,d9322babd189499956610877b248c22df3ae9196d212e12d27f427e06607a6af,15000,11992,0.7994666666666667,0.20053333333333334,0.8050666666666667,0.9600666666666666,0.9600666666666666,0.9595333333333333,0.9935376967688484,0.0052,0.15486666666666668,0.0,71.11157438292194,189.30756828382357,50.17744545041406,51.90966490719615,601727.9258413655,217869.80746644858,383858.11837491696,15040.0,368818.11837491696,368818.11837491696,0.6129316964294409,142306.63703677224,96303.12582652611,0.44224884646316875,0.41900958466453675,0.7098456559125047,0.7519349890915324,1.0,1.0,27.295238095238094,29.80952380952381,0.47798532354903267,0.3597888041878647,0.0,5017.178819656372,0.0,10568.254453852773,4.084605919132853,0.5334245737099832,0.6232011905149301,0.16008492846523986,0.6232011905149301,7.001556500064908,2,3
moderate,0.5,moderate_av,P5_three_stakeholder_balanced,Three-Stakeholder Balanced,none,B6_three_stakeholder_balanced,hard_gate_for_av,deterministic_gc_threshold,deterministic_utility_threshold,main_mechanism,15000,d9322babd189499956610877b248c22df3ae9196d212e12d27f427e06607a6af,15000,11941,0.7960666666666667,0.20393333333333333,0.8054,0.9600666666666666,0.9600666666666666,0.9596666666666667,0.9889026915113872,0.008933333333333333,0.15466666666666667,0.0,70.25609245456829,183.05573529334,47.9940009569779,49.67519713548767,573096.3654272731,222177.32426420983,350919.04116306326,15295.0,335624.04116306326,335624.04116306326,0.5856328209529615,149041.5899576323,103694.96046070017,0.44053880989438843,0.4125918823905401,0.6992872402556105,0.7379218853262225,1.0,1.0,27.061904761904763,29.8,0.47592328950674145,0.3606333677965642,0.0,4787.136488437653,0.0,10337.702263474464,3.9868304404667554,0.5436691348764521,0.6105763410942947,0.1727097778858753,0.6105763410942947,7.0630588001949945,2,4
