supply_scenario,av_penetration,odd_profile,pricing_scenario,dispatch_strategy,relocation_mode,experiment_family,orders,served_orders,match_rate,cancel_rate,passenger_acceptance_rate,mean_waiting_time_sec,mean_pickup_time_sec,mean_passenger_fare,mean_passenger_generalized_cost,platform_revenue,platform_cost,platform_profit,profit_margin,HV_payout,HV_net_income,HV_stress_burden,HV_high_stress_assignment_share,AV_utilization,AV_assignment_share,AV_stress_exposure,AV_ODD_violation_rate,mean_candidate_count,zero_candidate_order_share,cross_zone_candidate_share,fold,experiment_id
moderate,0.5,conservative_av,P3_shared_comp,ODD-Gated Price-Aware Matching,pending_demand,odd_profile,1500,1310,0.8733333333333333,0.12666666666666668,0.8733333333333333,70.80152671755725,88.16961277248376,45.44248582883435,46.499771214055016,59529.656435772995,20330.918386732592,39198.7380490404,0.6584741185484956,8994.403894963714,6263.4526228309915,0.38912078405355477,0.12207792207792208,0.7523809523809524,0.7061068702290076,0.30837474650090874,0.0,5.9261064339793625,0.2982770350173666,0.4481351437724677,1,14
moderate,0.5,mature_av,P3_shared_comp,ODD-Gated Price-Aware Matching,pending_demand,odd_profile,1500,1317,0.878,0.122,0.878,71.26271829916477,89.37784215936661,45.51964795603624,46.398320972344294,59949.376358099726,16386.511142368116,43562.8652157316,0.7266608572458627,2913.130878858195,2044.2577787651844,0.35258365981280804,0.1,0.8714285714285714,0.908883826879271,0.33028511372292413,0.0,6.699736911339121,0.2878938025346865,0.4689643114132457,1,15
moderate,0.5,intersection_sensitive_av,P3_shared_comp,ODD-Gated Price-Aware Matching,pending_demand,odd_profile,1500,1299,0.866,0.134,0.866,73.79291762894535,94.58342041297367,45.38970240952584,46.6393384852218,58961.22342997407,21451.21644054284,37510.00698943122,0.63618094753377,11394.42869411129,7925.18515407892,0.3696146530596586,0.0989247311827957,0.7523809523809524,0.6420323325635104,0.31048018062453003,0.0,5.498223154991111,0.31344090736355934,0.4589739439860004,1,16
moderate,0.5,uncertainty_sensitive_av,P3_shared_comp,ODD-Gated Price-Aware Matching,pending_demand,odd_profile,1500,1312,0.8746666666666667,0.12533333333333332,0.8746666666666667,70.73094512195122,93.13327760183749,45.48438507798019,46.594001849529135,59675.51322231001,19421.027147944325,40254.48607436569,0.6745561772448458,7422.123876696186,5179.674936879883,0.38474176770436413,0.1419753086419753,0.8285714285714286,0.7530487804878049,0.3147045992485747,0.0,6.0717691915205725,0.29385202990175363,0.4702759581699524,1,17
moderate,0.5,conservative_av,P3_shared_comp,ODD-Gated Price-Aware Matching,pending_demand,odd_profile,1500,1306,0.8706666666666667,0.12933333333333333,0.8706666666666667,76.55436447166922,88.4661371716467,44.956897207756164,46.2752245453698,58713.70775332955,25791.35421076478,32922.35354256477,0.5607268694540553,17393.526835335604,11910.876840962988,0.4664779894680879,0.4309623430962343,0.5666666666666667,0.45099540581929554,0.32265537424433616,0.0,5.331759081617036,0.2835243670470943,0.5018473092403248,2,14
moderate,0.5,mature_av,P3_shared_comp,ODD-Gated Price-Aware Matching,pending_demand,odd_profile,1500,1310,0.8733333333333333,0.12666666666666668,0.8733333333333333,75.78625954198473,84.61230521984969,45.01866891566347,45.84221272998412,58974.456279519145,17109.932030938944,41864.524248580194,0.7098755442552347,4308.005758269343,2938.125075333569,0.4911147420431755,0.5872093023255814,0.7476190476190476,0.8687022900763359,0.38704762723478014,0.0,6.70515073625869,0.2758660741615287,0.5116291964314054,2,15
moderate,0.5,intersection_sensitive_av,P3_shared_comp,ODD-Gated Price-Aware Matching,pending_demand,odd_profile,1500,1309,0.8726666666666667,0.12733333333333333,0.8726666666666667,76.69824293353705,89.15157863908243,44.90007475452161,46.150638794835736,58774.19785366879,24244.87554719033,34529.32230647847,0.5874911707420791,15309.462781168197,10493.117124487017,0.4675922885391058,0.5016339869281046,0.6095238095238096,0.5324675324675324,0.3437793035717571,0.0,5.587887806637807,0.2848695286195286,0.5166969900336373,2,16
moderate,0.5,uncertainty_sensitive_av,P3_shared_comp,ODD-Gated Price-Aware Matching,pending_demand,odd_profile,1500,1308,0.872,0.128,0.872,76.36620795107034,89.70935068278357,44.94935914597125,46.20914248990215,58793.76176293039,24141.667326128278,34652.094436802116,0.5893838631473712,14785.357418765987,10126.572858704145,0.471746489095701,0.5008210180623974,0.6523809523809524,0.5344036697247706,0.33987864576951626,0.0,5.59941794842363,0.2800250885478158,0.5136801072927875,2,17
moderate,0.5,conservative_av,P3_shared_comp,ODD-Gated Price-Aware Matching,pending_demand,odd_profile,1500,1318,0.8786666666666667,0.12133333333333333,0.8786666666666667,72.81942336874052,90.41354635271254,46.0949740612274,47.26060462409348,60753.17581269771,22110.358534196523,38642.81727850117,0.6360625063887546,10904.42871112813,7537.015468915004,0.41981206806897275,0.14225053078556263,0.7571428571428571,0.6426403641881638,0.3342530803622247,0.0,5.835653352831856,0.26372589342838865,0.4374621458486144,3,14
moderate,0.5,mature_av,P3_shared_comp,ODD-Gated Price-Aware Matching,pending_demand,odd_profile,1500,1336,0.8906666666666667,0.10933333333333334,0.8906666666666667,71.57634730538922,80.06419400291013,46.094833799569564,46.758243428130754,61582.69795622493,16250.501355336211,45332.19660088872,0.736119041635889,2032.2320350544005,1403.265894034654,0.4083000695609663,0.21686746987951808,0.8476190476190476,0.937874251497006,0.36269432391518447,0.0,7.079669120600023,0.23773968087787664,0.46567090217214974,3,15
