fold,pricing_scenario,dispatch_strategy,mean_passenger_fare,platform_profit,HV_payout,HV_net_income
1,P3_shared_comp,Random,45.523184202092125,35762.12568953789,15067.11173205971,10547.239499009964
1,P3_shared_comp,Nearest,45.49089911385916,36601.655189088284,13891.03089564962,9771.280235568413
1,P3_shared_comp,GlobalMatch-MinPickup,45.55716410577508,36322.414097259985,14689.055988974247,10335.835148529872
1,P3_shared_comp,GlobalMatch-MinOperatingCost,45.55716410577508,44470.37175012603,1621.945980862917,1141.1293184390443
1,P3_shared_comp,Cost-only,45.592995933602296,44085.75571142679,2327.7095157624376,1633.4386747689584
1,P3_shared_comp,Simple Risk Penalty,45.409526686301966,27933.903592572293,27528.58711162415,19343.55594410874
1,P3_shared_comp,ODD Gate Only,45.52151188070917,35031.041229207905,16502.498235084546,11593.503321633183
1,P3_shared_comp,ODD-Gated Price-Aware Matching,45.57235832633118,42626.25371125539,4422.845108549516,3080.642583876957
1,P3_shared_comp,Three-Stakeholder Balanced,45.5827050127739,42756.55227447426,4074.057417952288,2833.6638312813548
1,P3_shared_comp,ODD-Gated Price-Aware Matching,45.567157479127516,43016.7704641138,3447.8225646758324,2396.9354518764126
1,P3_shared_comp,ODD-Gated Price-Aware Matching,45.570341489707246,42717.257180758505,4095.667791404375,2843.724395432977
1,P3_shared_comp,ODD-Gated Price-Aware Matching,45.33485994262031,26058.32723329164,30364.692572870503,21341.52373793331
1,P3_shared_comp,ODD-Gated Price-Aware Matching,45.490345680343715,39654.35309456003,8896.380841431692,6241.682857973179
1,P3_shared_comp,ODD-Gated Price-Aware Matching,45.459448081561675,43242.19281830571,2581.927394782376,1784.1963360912823
1,P3_shared_comp,ODD-Gated Price-Aware Matching,45.44248582883435,39198.7380490404,8994.403894963714,6263.4526228309915
1,P3_shared_comp,ODD-Gated Price-Aware Matching,45.51964795603624,43562.8652157316,2913.130878858195,2044.2577787651844
1,P3_shared_comp,ODD-Gated Price-Aware Matching,45.38970240952584,37510.00698943122,11394.42869411129,7925.18515407892
1,P3_shared_comp,ODD-Gated Price-Aware Matching,45.48438507798019,40254.48607436569,7422.123876696186,5179.674936879883
1,P0_uniform,ODD-Gated Price-Aware Matching,44.922872083818454,42662.6693686231,3463.4259114238484,2259.817249900391
1,P1_platform_funded_comp,ODD-Gated Price-Aware Matching,44.97103512729812,41563.087473179155,4349.101480447262,3028.6508555017613
1,P2_passenger_funded_comp,ODD-Gated Price-Aware Matching,46.89526455232142,44116.74355942878,4751.1720756210625,3316.854456019642
1,P4_av_discount_hv_comp,ODD-Gated Price-Aware Matching,43.81980480680182,40259.277165064406,4338.22256848444,3057.5656281510364
