fold,sample_size,initial_fleet_hash,mechanism_id,dispatch_strategy,pricing_scenario,served_order_profit,lost_demand_cost,net_platform_profit,platform_revenue,platform_cost,capability_cost,remote_assistance_cost,fallback_expected_cost,supply_scenario,av_penetration,odd_profile
1,1500,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,B0_minpickup_uniform,GlobalMatch-MinPickup,P0_uniform,33755.392137948285,925.0,32830.392137948285,59068.15137678111,25312.759238832823,1890.1981416642664,621.5694317817688,809.1483793258667,moderate,0.5,moderate_av
1,1500,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,B1_mincost_uniform,GlobalMatch-MinOperatingCost,P0_uniform,38094.55082824671,930.0,37164.55082824671,58973.79215860325,20879.241330356544,895.8332432955503,101.90294981002808,0.0,moderate,0.5,moderate_av
1,1500,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,B2_oddgate_uniform,ODD Gate Only,P0_uniform,35118.95541830866,930.0,34188.95541830866,58977.56266422541,23858.60724591674,1110.227803349495,604.0569353103638,0.0,moderate,0.5,moderate_av
1,1500,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,B3_odd_price_shared,ODD-Gated Price-Aware Matching,P3_shared_comp,38086.501241435966,935.0,37151.501241435966,59545.78344782587,21459.28220638991,918.4205927103758,130.43007850646973,0.0,moderate,0.5,moderate_av
1,1500,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,B4_odd_price_avdiscount,ODD-Gated Price-Aware Matching,P4_av_discount_hv_comp,36106.51198862396,905.0,35201.511988623955,58183.14744316352,22076.63545453956,938.6391822844744,130.51580047607422,0.0,moderate,0.5,moderate_av
1,1500,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,B5_weighted_heuristic,Weighted Stakeholder Heuristic,P5_three_stakeholder_balanced,34602.86031409934,1065.0,33537.86031409934,56876.27524271159,22273.41492861225,715.4947638958693,32.11012268066406,0.0,moderate,0.5,moderate_av
1,1500,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,B6_three_stakeholder_balanced,Three-Stakeholder Balanced,P5_three_stakeholder_balanced,35854.57719462717,1060.0,34794.57719462717,56623.38847212531,20768.811277498146,863.8102182000875,57.472556591033936,0.0,moderate,0.5,moderate_av
1,1500,f78a91d5c6101c6eea2124693894c4e61c90e2229aeab099466f749bc06228bc,OFAT_BASE,ODD-Gated Price-Aware Matching,P3_shared_comp,38200.324407756,940.0,37260.324407756,59419.9651909957,21219.64078323971,971.2239505797623,162.30002403259277,0.0,abundant,0.5,moderate_av
1,1500,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,OFAT_BASE,ODD-Gated Price-Aware Matching,P3_shared_comp,38086.501241435966,935.0,37151.501241435966,59545.78344782587,21459.28220638991,918.4205927103758,130.43007850646973,0.0,moderate,0.5,moderate_av
1,1500,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,OFAT_BASE,ODD-Gated Price-Aware Matching,P3_shared_comp,38086.501241435966,935.0,37151.501241435966,59545.78344782587,21459.28220638991,918.4205927103758,130.43007850646973,0.0,moderate,0.5,conservative_av
1,1500,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,OFAT_BASE,ODD-Gated Price-Aware Matching,P3_shared_comp,38086.501241435966,935.0,37151.501241435966,59545.78344782587,21459.28220638991,918.4205927103758,130.43007850646973,0.0,moderate,0.5,mature_av
1,1500,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,OFAT_BASE,ODD-Gated Price-Aware Matching,P3_shared_comp,38086.501241435966,935.0,37151.501241435966,59545.78344782587,21459.28220638991,918.4205927103758,130.43007850646973,0.0,moderate,0.5,intersection_sensitive_av
1,1500,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,OFAT_BASE,ODD-Gated Price-Aware Matching,P3_shared_comp,38086.501241435966,935.0,37151.501241435966,59545.78344782587,21459.28220638991,918.4205927103758,130.43007850646973,0.0,moderate,0.5,uncertainty_sensitive_av
1,1500,d93567e4f3b1d01a38394a614bcf1678a4c42b4e787430979ab6601605c101d8,OFAT_BASE,ODD-Gated Price-Aware Matching,P3_shared_comp,38052.995057567474,935.0,37117.995057567474,59551.512160139326,21498.517102571845,923.7028817981482,141.59787321090698,0.0,tight,0.5,moderate_av
1,1500,d9e945fbc8b7486b32b4a3b42b47d37f276cd5307bb311d85244468023d9fbcf,OFAT_BASE,ODD-Gated Price-Aware Matching,P3_shared_comp,29508.340398698325,995.0,28513.340398698325,59643.90612103722,30135.56572233889,0.0,0.0,0.0,moderate,0.0,moderate_av
1,1500,3326188b18261809bec84edb699a139d4666fe42e3973166bee5a469cdfc2455,OFAT_BASE,ODD-Gated Price-Aware Matching,P3_shared_comp,37020.92043950757,950.0,36070.92043950757,59373.45114454128,22352.530705033714,835.5921640247107,134.91064167022705,0.0,moderate,0.25,moderate_av
1,1500,092ac9bc4eec0bae50509fe25844a6b753d846bdb14053512753a3d009bbf861,OFAT_BASE,ODD-Gated Price-Aware Matching,P3_shared_comp,39322.4458041292,1035.0,38287.4458041292,58388.386155026645,19065.940350897454,1652.6935717314482,688.7805585861206,0.0,moderate,0.75,moderate_av
1,1500,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,OFAT_BASE,ODD-Gated Price-Aware Matching,P3_shared_comp,35271.57547463267,950.0,34321.57547463267,59851.05104990252,24579.475575269847,554.29569876194,136.27845001220703,0.0,moderate,0.5,moderate_av
1,1500,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,OFAT_BASE,ODD-Gated Price-Aware Matching,P3_shared_comp,35271.57547463267,950.0,34321.57547463267,59851.05104990252,24579.475575269847,554.29569876194,136.27845001220703,0.0,moderate,0.5,conservative_av
1,1500,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,OFAT_BASE,ODD-Gated Price-Aware Matching,P3_shared_comp,35271.57547463267,950.0,34321.57547463267,59851.05104990252,24579.475575269847,554.29569876194,136.27845001220703,0.0,moderate,0.5,mature_av
1,1500,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,OFAT_BASE,ODD-Gated Price-Aware Matching,P3_shared_comp,35271.57547463267,950.0,34321.57547463267,59851.05104990252,24579.475575269847,554.29569876194,136.27845001220703,0.0,moderate,0.5,intersection_sensitive_av
1,1500,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,OFAT_BASE,ODD-Gated Price-Aware Matching,P3_shared_comp,35271.57547463267,950.0,34321.57547463267,59851.05104990252,24579.475575269847,554.29569876194,136.27845001220703,0.0,moderate,0.5,uncertainty_sensitive_av
1,1500,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,OFAT_BASE,ODD-Gated Price-Aware Matching,P3_shared_comp,39741.103163526765,935.0,38806.103163526765,59271.66090868576,19530.557745158992,1201.2885428518057,76.0871319770813,0.0,moderate,0.5,moderate_av
1,1500,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,OFAT_BASE,ODD-Gated Price-Aware Matching,P3_shared_comp,39741.103163526765,935.0,38806.103163526765,59271.66090868576,19530.557745158992,1201.2885428518057,76.0871319770813,0.0,moderate,0.5,conservative_av
1,1500,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,OFAT_BASE,ODD-Gated Price-Aware Matching,P3_shared_comp,39741.103163526765,935.0,38806.103163526765,59271.66090868576,19530.557745158992,1201.2885428518057,76.0871319770813,0.0,moderate,0.5,mature_av
1,1500,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,OFAT_BASE,ODD-Gated Price-Aware Matching,P3_shared_comp,39741.103163526765,935.0,38806.103163526765,59271.66090868576,19530.557745158992,1201.2885428518057,76.0871319770813,0.0,moderate,0.5,intersection_sensitive_av
1,1500,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,OFAT_BASE,ODD-Gated Price-Aware Matching,P3_shared_comp,39741.103163526765,935.0,38806.103163526765,59271.66090868576,19530.557745158992,1201.2885428518057,76.0871319770813,0.0,moderate,0.5,uncertainty_sensitive_av
1,1500,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,OFAT_BASE,ODD-Gated Price-Aware Matching,P3_shared_comp,34563.96725816486,960.0,33603.96725816486,59539.81120415386,24975.843945989,546.7168637812138,81.9809398651123,0.0,moderate,0.5,moderate_av
1,1500,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,OFAT_BASE,ODD-Gated Price-Aware Matching,P3_shared_comp,34563.96725816486,960.0,33603.96725816486,59539.81120415386,24975.843945989,546.7168637812138,81.9809398651123,0.0,moderate,0.5,conservative_av
1,1500,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,OFAT_BASE,ODD-Gated Price-Aware Matching,P3_shared_comp,34563.96725816486,960.0,33603.96725816486,59539.81120415386,24975.843945989,546.7168637812138,81.9809398651123,0.0,moderate,0.5,mature_av
1,1500,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,OFAT_BASE,ODD-Gated Price-Aware Matching,P3_shared_comp,34563.96725816486,960.0,33603.96725816486,59539.81120415386,24975.843945989,546.7168637812138,81.9809398651123,0.0,moderate,0.5,intersection_sensitive_av
1,1500,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,OFAT_BASE,ODD-Gated Price-Aware Matching,P3_shared_comp,34563.96725816486,960.0,33603.96725816486,59539.81120415386,24975.843945989,546.7168637812138,81.9809398651123,0.0,moderate,0.5,uncertainty_sensitive_av
