supply_scenario,av_penetration,odd_profile,pricing_scenario,dispatch_strategy,relocation_mode,experiment_family,orders,served_orders,match_rate,cancel_rate,passenger_acceptance_rate,mean_waiting_time_sec,mean_pickup_time_sec,mean_passenger_fare,mean_passenger_generalized_cost,platform_revenue,platform_cost,platform_profit,profit_margin,HV_payout,HV_net_income,HV_stress_burden,HV_high_stress_assignment_share,AV_utilization,AV_assignment_share,AV_stress_exposure,AV_ODD_violation_rate,mean_candidate_count,zero_candidate_order_share,cross_zone_candidate_share,fold,experiment_id
moderate,0.5,moderate_av,P3_shared_comp,Random,pending_demand,strategy,1500,1317,0.878,0.122,0.878,71.76537585421413,113.0826135229999,45.523184202092125,47.28445682183079,59954.03359415533,24191.90790461743,35762.12568953789,0.5964924050251758,15067.11173205971,10547.239499009964,0.3320029688340432,0.030395136778115502,0.8238095238095238,0.5003796507213364,0.3327923464952965,0.08042488619119878,6.815249176851386,0.28359449533482683,0.4215362110370102,1,0
moderate,0.5,moderate_av,P3_shared_comp,Nearest,pending_demand,strategy,1500,1316,0.8773333333333333,0.12266666666666666,0.8773333333333333,76.18465045592706,78.43406380063878,45.49089911385916,46.51854695522148,59866.02323383865,23264.368044750365,36601.655189088284,0.6113927936405767,13891.03089564962,9771.280235568413,0.3352747837505067,0.0347682119205298,0.6523809523809524,0.541033434650456,0.32985944979674137,0.0702247191011236,6.858012511327429,0.2774006840305183,0.505016074141273,1,1
moderate,0.5,moderate_av,P3_shared_comp,GlobalMatch-MinPickup,pending_demand,strategy,1500,1318,0.8786666666666667,0.12133333333333333,0.8786666666666667,71.1783004552352,78.54034015241379,45.55716410577508,46.60596787392198,60044.34229141155,23721.928194151562,36322.414097259985,0.6049265044985823,14689.055988974247,10335.835148529872,0.3345326044572094,0.03968253968253968,0.5857142857142857,0.5220030349013657,0.3303487780467831,0.06686046511627906,6.771160632900964,0.286170571805931,0.4834291390668075,1,2
moderate,0.5,moderate_av,P3_shared_comp,GlobalMatch-MinOperatingCost,pending_demand,strategy,1500,1318,0.8786666666666667,0.12133333333333333,0.8786666666666667,70.9051593323217,87.10772128054924,45.55716410577508,46.350153129261635,60044.34229141155,15573.970541285515,44470.37175012603,0.7406255119641282,1621.945980862917,1141.1293184390443,0.32269300861441674,0.014925373134328358,0.861904761904762,0.9491654021244309,0.3328657622118807,0.0759392486011191,6.7837961966415,0.2856180856180856,0.46108725191610567,1,3
moderate,0.5,moderate_av,P3_shared_comp,Cost-only,pending_demand,strategy,1500,1319,0.8793333333333333,0.12066666666666667,0.8793333333333333,71.0303260045489,87.90434674456718,45.592995933602296,46.42462342952472,60137.16163642143,16051.405924994637,44085.75571142679,0.7330867389113145,2327.7095157624376,1633.4386747689584,0.3386098384549937,0.030927835051546393,0.8857142857142857,0.9264594389689158,0.33180560903655204,0.07528641571194762,6.799344005697597,0.2842237157154284,0.4530781093983854,1,4
moderate,0.5,moderate_av,P3_shared_comp,Simple Risk Penalty,pending_demand,strategy,1500,1314,0.876,0.124,0.876,70.70852359208524,82.50440936266861,45.409526686301966,46.967529637634485,59668.11806580079,31734.214473228494,27933.903592572293,0.46815459407932647,27528.58711162415,19343.55594410874,0.33391015874037167,0.036881810561609385,0.23333333333333334,0.09208523592085235,0.31748850729839867,0.05785123966942149,6.762758604195068,0.28919170659502147,0.4759325238846702,1,5
moderate,0.5,moderate_av,P3_shared_comp,ODD Gate Only,pending_demand,strategy,1500,1317,0.878,0.122,0.878,71.00911161731207,80.89463380341945,45.52151188070917,46.679267882517884,59951.83114689398,24920.789917686077,35031.041229207905,0.5843197873868914,16502.498235084546,11593.503321633183,0.34033825030167003,0.06188466947960619,0.5238095238095238,0.4601366742596811,0.3230013860465408,0.0,6.494226333314731,0.2864855473971496,0.48889781876905847,1,6
moderate,0.5,moderate_av,P3_shared_comp,ODD-Gated Price-Aware Matching,pending_demand,strategy,1500,1317,0.878,0.122,0.878,70.98253606681853,90.65094702984518,45.57235832633118,46.52357012949452,60018.79591577816,17392.542204522775,42626.25371125539,0.7102150761416642,4422.845108549516,3080.642583876957,0.38119021885015153,0.21428571428571427,0.8428571428571429,0.8618071374335611,0.324432921173289,0.0,6.52609726573815,0.2868326782691424,0.46989420303468943,1,7
moderate,0.5,moderate_av,P3_shared_comp,Three-Stakeholder Balanced,pending_demand,strategy,1500,1314,0.876,0.124,0.876,70.9041095890411,92.03025140348093,45.5827050127739,46.54964185210684,59895.6743867849,17139.122112310637,42756.55227447426,0.713850419286837,4074.057417952288,2833.6638312813548,0.3839040675974754,0.22289156626506024,0.8523809523809524,0.8736681887366818,0.3244095834904501,0.0,6.465325047369246,0.29209883629773137,0.46523373113279937,1,8
abundant,0.5,moderate_av,P3_shared_comp,ODD-Gated Price-Aware Matching,pending_demand,supply,1500,1310,0.8733333333333333,0.12666666666666668,0.8733333333333333,71.44198473282442,79.0429370619049,45.567157479127516,46.25564980815188,59692.97629765705,16676.205833543245,43016.7704641138,0.7206337015197918,3447.8225646758324,2396.9354518764126,0.39642565315215017,0.2553191489361702,0.472,0.8923664122137405,0.3239514264526413,0.0,6.3875857159006335,0.2975176756944713,0.44591436374642207,1,9
