orders,completed_orders,cancelled_orders,match_rate,av_assignment_share,routing_query_count,routing_cache_hit_count,routing_cache_hit_rate,vehicle_leg_count,plan_revision_count,offer_count,replication_id,strategy,operation,request_time_scenario,max_orders,max_vehicles,output_path,candidate_maximum,operating_contribution,scenario_net_profit,economy_audit_status
1000,0,1000,0.0,0.0,492916,489977,0.9940375236348586,0,0,0,1,Safe GlobalMatch-MinPickup,O0,RT-Base,1000,1000,stage4\output\simulator_v3\replication=1\strategy=Safe_GlobalMatch-MinPickup\operation=O0\RT-Base,,,,
1000,638,344,0.638,0.0,261942,227903,0.8700513854212001,1294,656,656,1,Safe GlobalMatch-MinPickup,O0,RT-Base,1000,2000,stage4\output\simulator_v3\replication=1\strategy=Safe_GlobalMatch-MinPickup\operation=O0\RT-Base,,,,
1000,657,343,0.657,0.0,264215,229911,0.8701663418049694,1314,657,657,1,Safe GlobalMatch-MinPickup,O0,RT-Base,1000,2000,stage4\output\simulator_v3\replication=1\strategy=Safe_GlobalMatch-MinPickup\operation=O0\RT-Base,,,,
1000,660,340,0.66,0.0,394142,341499,0.8664364619857817,1320,660,660,1,Safe GlobalMatch-MinPickup,O0,RT-Base,1000,2000,stage4\output\simulator_v3\replication=1\strategy=Safe_GlobalMatch-MinPickup\operation=O0\RT-Base,,,,
1000,650,350,0.65,0.0,397279,344512,0.8671789850457738,1300,650,650,1,Safe GlobalMatch-MinPickup,O0,RT-Base,1000,2000,stage4\output\simulator_v3\replication=1\strategy=Safe_GlobalMatch-MinPickup\operation=O0\RT-Base,,,,
1000,654,346,0.654,0.0,394052,341405,0.8663958056297139,1308,654,654,1,Safe GlobalMatch-MinPickup,O0,RT-Base,1000,2000,stage4\output\simulator_v3\replication=1\strategy=Safe_GlobalMatch-MinPickup\operation=O0\RT-Base,,,,
114356,102663,11693,0.8977491342824163,0.0,16657391,12882517,0.7733814377053405,205326,102663,102663,1,Safe GlobalMatch-MinPickup,O0,RT-Base,0,0,stage4\output\simulator_v3\replication=1\strategy=Safe_GlobalMatch-MinPickup\operation=O0\RT-Base,,,,
114356,102766,11590,0.8986498303543321,0.0,19804450,15025187,0.7586773174715784,205532,102766,102766,1,Safe GlobalMatch-MinPickup,O0,RT-Base,0,0,stage4\output\simulator_v3\replication=1\strategy=Safe_GlobalMatch-MinPickup\operation=O0\RT-Base,,,,
114356,102104,12252,0.8928608905523103,0.0,11526348,9110820,0.7904342294714684,204208,102104,102104,1,Safe GlobalMatch-MinPickup,O0,RT-Base,0,0,stage4\output\simulator_v3\replication=1\strategy=Safe_GlobalMatch-MinPickup\operation=O0\RT-Base,,,,
114356,102766,11590,0.8986498303543321,0.0,19804450,15025187,0.7586773174715784,205532,102766,102766,1,Safe GlobalMatch-MinPickup,O0,RT-Base,0,0,stage4\output\simulator_v3\replication=1\strategy=Safe_GlobalMatch-MinPickup\operation=O0\RT-Base,120.0,,,
1000,652,348,0.652,0.0,468346,404824,0.8643695045970287,1304,652,652,1,Safe GlobalMatch-MinPickup,O0,RT-Base,1000,2000,stage4\output\simulator_v3\replication=1\strategy=Safe_GlobalMatch-MinPickup\operation=O0\RT-Base,120.0,,,
1000,657,343,0.657,0.0,603654,515212,0.853488919149049,1314,657,657,1,Safe GlobalMatch-MinPickup,O2,RT-Base,1000,2000,stage4\output\simulator_v3\replication=1\strategy=Safe_GlobalMatch-MinPickup\operation=O2\RT-Base,120.0,,,
1000,659,341,0.659,0.0,644841,553736,0.8587171101093137,1318,659,659,1,Safe GlobalMatch-MinPickup,O2,RT-Base,1000,2000,stage4\output\simulator_v3\replication=1\strategy=Safe_GlobalMatch-MinPickup\operation=O2\RT-Base,120.0,,,
1000,611,389,0.611,0.0,460890,401057,0.8701794354401267,1524,913,611,1,ODD-Gated Price-Aware,O1,RT-Base,1000,2000,stage4\output\simulator_v3\replication=1\strategy=ODD-Gated_Price-Aware\operation=O1\RT-Base,120.0,,,
1000,612,388,0.612,0.0,465427,406310,0.8729833035040941,1224,612,612,1,ODD-Gated Price-Aware,O0,RT-Base,1000,2000,stage4\output\simulator_v3\replication=1\strategy=ODD-Gated_Price-Aware\operation=O0\RT-Base,120.0,,,
1000,601,399,0.601,0.0,501151,442338,0.882644153159427,1202,601,601,1,Three-Stakeholder Balanced,O0,RT-Base,1000,2000,stage4\output\simulator_v3\replication=1\strategy=Three-Stakeholder_Balanced\operation=O0\RT-Base,120.0,,,
114356,102685,11671,0.8979415159676799,0.0,20010666,15203552,0.7597724133719488,205370,102685,102685,1,Safe GlobalMatch-MinPickup,O0,RT-Base,0,0,stage4\output\simulator_v3\replication=1\strategy=Safe_GlobalMatch-MinPickup\operation=O0\RT-Base,120.0,,,
114356,102143,12213,0.8932019308125503,0.0,20615009,15792199,0.7660534613397453,204286,102143,102143,1,ODD-Gated Price-Aware,O0,RT-Base,0,0,stage4\output\simulator_v3\replication=1\strategy=ODD-Gated_Price-Aware\operation=O0\RT-Base,120.0,,,
114356,102178,12178,0.8935079925845605,0.0,20398649,15541063,0.761867268758828,208834,106656,102178,1,ODD-Gated Price-Aware,O1,RT-Base,0,0,stage4\output\simulator_v3\replication=1\strategy=ODD-Gated_Price-Aware\operation=O1\RT-Base,120.0,,,
114356,101862,12494,0.8907446920144111,0.0,29915189,22378971,0.7480805486470434,203724,101862,101862,1,ODD-Gated Price-Aware,O2,RT-Base,0,0,stage4\output\simulator_v3\replication=1\strategy=ODD-Gated_Price-Aware\operation=O2\RT-Base,120.0,,,
1000,612,388,0.612,0.0,1175552,1009229,0.8585149784952091,1224,612,612,1,ODD-Gated Price-Aware,O2,RT-Base,1000,2000,stage4\output\simulator_v3\replication=1\strategy=ODD-Gated_Price-Aware\operation=O2\RT-Base,120.0,,,
1000,617,382,0.617,0.0,990147,851155,0.8596248839818734,1234,618,618,1,ODD-Gated Price-Aware,O2,RT-Base,1000,2000,stage4\output\simulator_v3\replication=1\strategy=ODD-Gated_Price-Aware\operation=O2\RT-Base,120.0,,,
1000,617,383,0.617,0.0,990147,851155,0.8596248839818734,1234,618,618,1,ODD-Gated Price-Aware,O2,RT-Base,1000,2000,stage4\output\simulator_v3\replication=1\strategy=ODD-Gated_Price-Aware\operation=O2\RT-Base,120.0,,,
114356,102280,12076,0.8943999440344188,0.0,32992038,25317415,0.7673795416942718,204560,102459,102459,1,ODD-Gated Price-Aware,O2,RT-Base,0,0,stage4\output\simulator_v3\replication=1\strategy=ODD-Gated_Price-Aware\operation=O2\RT-Base,120.0,,,
114356,102269,12087,0.894303753191787,0.0,33048279,25356535,0.7672573509803642,209153,107047,102432,1,ODD-Gated Price-Aware,O3,RT-Base,0,0,stage4\output\simulator_v3\replication=1\strategy=ODD-Gated_Price-Aware\operation=O3\RT-Base,120.0,,,
1000,701,299,0.701,0.1554921540656205,224423,169426,0.7549404472803589,1402,701,701,1,ODD-Gated Price-Aware,O0,RT-Base,1000,2000,stage4\output\simulator_v3\replication=1\strategy=ODD-Gated_Price-Aware\operation=O0\RT-Base,120.0,,,
