stage3_edge_uid,endpoint_side,native_node_id,was_missing_side,old_node_id,transition_component,frozen_node_anchors,frozen_complex_anchors,status,old_complex,old_id_in_native_transition_component,old_complex_preserved
s3e_7d6c3fc4b2d382a3d6e51505,from,207467075952,False,207467075952,[207467075952],[207467075952],"[""s3ic_70ad9a559fc5cfd9fa31d560""]",UNIQUE_FROZEN_COMPLEX_ANCHOR,s3ic_70ad9a559fc5cfd9fa31d560,True,True
s3e_7d6c3fc4b2d382a3d6e51505,to,208003946864,True,,[208003946864],[],[],NO_FROZEN_NODE_ANCHOR,,,
s3e_e809d885a186e4781312b1ed,from,302593890672,True,,"[302593890672, 601698434049]",[],[],NO_FROZEN_NODE_ANCHOR,,,
s3e_e809d885a186e4781312b1ed,to,302962989424,False,99125526810,"[99125526810, 302962989424]",[99125526810],"[""s3ic_80aaeee1a6b65c900d879410""]",UNIQUE_FROZEN_COMPLEX_ANCHOR,s3ic_80aaeee1a6b65c900d879410,True,True
s3e_6a4404d6eefc7ef51cacafb8,from,313700407664,True,,"[313700407664, 626730040321]",[],[],NO_FROZEN_NODE_ANCHOR,,,
s3e_6a4404d6eefc7ef51cacafb8,to,313868179824,False,146001068314,"[146001068314, 313868179824]",[146001068314],"[""s3ic_fae3156f351334ddfcd2c339""]",UNIQUE_FROZEN_COMPLEX_ANCHOR,s3ic_fae3156f351334ddfcd2c339,True,True
s3e_649eb2deaada614bbc093297,from,601295780865,False,601295780865,[601295780865],[601295780865],"[""s3ic_6b8e2dc5bfd6a0132c43986d""]",UNIQUE_FROZEN_COMPLEX_ANCHOR,s3ic_6b8e2dc5bfd6a0132c43986d,True,True
s3e_649eb2deaada614bbc093297,to,601799097345,True,,"[97145815322, 601799097345]",[],[],NO_FROZEN_NODE_ANCHOR,,,
s3e_db7185dc697e2c0ff89d1fff,from,320377739632,True,,"[320377739632, 640856456193]",[],[],NO_FROZEN_NODE_ANCHOR,,,
s3e_db7185dc697e2c0ff89d1fff,to,321048828272,False,321048828272,"[321048828272, 641124891649]",[321048828272],"[""s3ic_d338d69065910d268439db33""]",UNIQUE_FROZEN_COMPLEX_ANCHOR,s3ic_d338d69065910d268439db33,True,True
