stage3_edge_uid,directed_edge_graph_id,endpoint_side,old_node_id,native_identity_verified,existing_endpoint_conflict,source_tile,source_record,opposing_edge_id,way_id,forward,access,native_from_node_id,native_to_node_id,candidate_node_id,candidate_in_frozen_node_table,mvt_direction_marker,mvt_marker_agrees_native_forward,oriented_export_endpoint_error_deg,existing_from_node_id,native_shape_endpoint_error_deg,native_ownership_and_opposing_verified,conflict_reason,evidence_status,existing_to_node_id,existing_conflict_side,existing_conflict_is_explicit_hierarchy_transition,existing_conflict_same_level
s3e_7d6c3fc4b2d382a3d6e51505,511101131120,to,,True,False,D:\pycodes\didi_xian_raw\valhalla_data\tiles\0\002\862.gph,1344496,512879516016,162532779,True,1769,207467075952,208003946864,208003946864,False,F,True,9.686749265824801e-06,207467075952.0,4.999999987376214e-07,True,,VERIFIED_NATIVE_ENDPOINT,,,,
s3e_e809d885a186e4781312b1ed,741485861232,from,,True,True,D:\pycodes\didi_xian_raw\valhalla_data\tiles\0\002\862.gph,1674064,742257613168,28484384,True,2031,302593890672,302962989424,302593890672,False,F,True,1.084575195875459e-05,,4.999999987376214e-07,True,EXISTING_TO_IDENTITY_CONFLICT,STOP_CONFLICT_OR_UNRESOLVED,99125526810.0,to,True,False
s3e_6a4404d6eefc7ef51cacafb8,769537366384,from,,True,True,D:\pycodes\didi_xian_raw\valhalla_data\tiles\0\002\862.gph,1714192,769906465136,142321458,True,2031,313700407664,313868179824,313700407664,False,F,True,1.1047821047327488e-05,,5.000000129484761e-07,True,EXISTING_TO_IDENTITY_CONFLICT,STOP_CONFLICT_OR_UNRESOLVED,146001068314.0,to,True,False
s3e_649eb2deaada614bbc093297,1698559261697,to,,True,False,D:\pycodes\didi_xian_raw\valhalla_data\tiles\1\044\928.gph,3475904,1700136320001,258081767,True,2031,601295780865,601799097345,601799097345,False,F,True,1.1013488773414792e-05,601295780865.0,5.000000129484761e-07,True,,VERIFIED_NATIVE_ENDPOINT,,,,
s3e_db7185dc697e2c0ff89d1fff,785005959536,from,,True,False,D:\pycodes\didi_xian_raw\valhalla_data\tiles\0\002\862.gph,1736320,786918562160,334971119,True,2031,320377739632,321048828272,320377739632,False,F,True,1.094254760403146e-05,,3.999999975690116e-07,True,,VERIFIED_NATIVE_ENDPOINT,321048828272.0,,,
s3e_2cda32ef6089d5bf7c3e948a,530260711792,from,,True,False,D:\pycodes\didi_xian_raw\valhalla_data\tiles\0\002\862.gph,1371904,526636833136,370672200,True,2031,214580615536,213238438256,214580615536,False,R,False,1.0911578371519681e-05,,3.999999975690116e-07,True,,VERIFIED_NATIVE_ENDPOINT,213238438256.0,,,
s3e_55bd67d05e17c1aabff88895,1702557602842,from,,True,False,D:\pycodes\didi_xian_raw\valhalla_data\tiles\2\000\715\395.gph,3166872,1701819405338,245402041,False,2031,705856754714,705487655962,705856754714,False,R,True,8.945016155337271e-06,,3.0000000350582923e-07,True,,VERIFIED_NATIVE_ENDPOINT,705487655962.0,,,
s3e_9d6030f0fd01908e82bd2795,1147394161665,from,,True,False,D:\pycodes\didi_xian_raw\valhalla_data\tiles\1\044\928.gph,2687456,1147662597121,334648916,True,2031,391547026433,391614135297,391547026433,False,F,True,1.0908361815609169e-05,,4.0000000467443897e-07,True,,VERIFIED_NATIVE_ENDPOINT,391614135297.0,,,
s3e_ef2a29f6a2c8e6ed54bf42b1,1171989560321,from,,True,False,D:\pycodes\didi_xian_raw\valhalla_data\tiles\1\044\928.gph,2722640,1221583010817,337335341,True,2031,400271178753,418659007489,400271178753,False,F,True,1.0831182862602873e-05,,4.0000000467443897e-07,True,,VERIFIED_NATIVE_ENDPOINT,418659007489.0,,,
s3e_c6e66ccf2c332d931cbcdfbd,1221515901953,to,,True,False,D:\pycodes\didi_xian_raw\valhalla_data\tiles\1\044\928.gph,2793488,1222119881729,1451020248,True,2031,418659007489,418826779649,418826779649,False,F,True,1.1005279546338897e-05,418659007489.0,5.000000129484761e-07,True,,VERIFIED_NATIVE_ENDPOINT,,,,
s3e_fba390473c38067a1507c04c,1285973965825,to,,True,False,D:\pycodes\didi_xian_raw\valhalla_data\tiles\1\044\928.gph,2885696,1643127340033,148316130,False,2031,438925884417,581867764737,581867764737,False,F,False,1.091889647852895e-05,438925884417.0,4.999999987376214e-07,True,,VERIFIED_NATIVE_ENDPOINT,,,,
