native_node_id,transition_component,affected_edge_count,nearest_frozen_candidate_distance_m,nearest_candidate_complex,frozen_complexes_with_candidate_within10m,frozen_complexes_with_candidate_within20m,directly_adjacent_complexes,nonshortcut_adjacent_complexes,native_neighbor_count,incoming_neighbor_count,outgoing_neighbor_count,nonshortcut_native_neighbor_count,native_neighbor_count_by_level,native_signal,native_roundabout_edge,branching_or_control_evidence,topology_context,membership_assignment,production_eligibility
134995214618,"[134995214618, 623945022465]",1,8.999543173019463,s3ic_eaee4d0bc9d6a53b0898769e,"[""s3ic_eaee4d0bc9d6a53b0898769e""]","[""s3ic_eaee4d0bc9d6a53b0898769e""]","[""s3ic_eaee4d0bc9d6a53b0898769e""]","[""s3ic_eaee4d0bc9d6a53b0898769e""]",3,2,2,3,"{""1"": 2, ""2"": 1}",False,False,True,WITHIN_FROZEN_CANDIDATE_BUFFER_REVIEW,NOT_ASSIGNED,UNCHANGED
194884163952,[194884163952],1,7.244568592951513,s3ic_7715887fa58193d6959edb25,"[""s3ic_7715887fa58193d6959edb25""]","[""s3ic_7715887fa58193d6959edb25""]","[""s3ic_7715887fa58193d6959edb25""]","[""s3ic_7715887fa58193d6959edb25""]",2,1,1,2,"{""0"": 2}",False,False,False,WITHIN_FROZEN_CANDIDATE_BUFFER_REVIEW,NOT_ASSIGNED,UNCHANGED
208003946864,[208003946864],1,35.01861325466833,s3ic_ca2e0766077f83416fde6a53,[],[],"[""s3ic_70ad9a559fc5cfd9fa31d560""]","[""s3ic_70ad9a559fc5cfd9fa31d560""]",2,1,1,2,"{""0"": 2}",False,False,False,OUTSIDE_BUFFERS_SINGLE_COMPLEX_ADJACENCY,NOT_ASSIGNED,UNCHANGED
208373045616,"[208373045616, 414666030081]",1,9.279815029688365,s3ic_2d68226966c6975d2abb4518,"[""s3ic_2d68226966c6975d2abb4518""]","[""s3ic_2d68226966c6975d2abb4518""]","[""s3ic_281d0b00332d5f26e02b9901"", ""s3ic_2d68226966c6975d2abb4518"", ""s3ic_eaf1cd1f65d3a27af6b05b50""]","[""s3ic_2d68226966c6975d2abb4518"", ""s3ic_eaf1cd1f65d3a27af6b05b50""]",4,3,3,3,"{""0"": 2, ""1"": 2}",False,False,True,WITHIN_FROZEN_CANDIDATE_BUFFER_REVIEW,NOT_ASSIGNED,UNCHANGED
212600904048,"[212600904048, 435939539969]",1,7.453314175825134,s3ic_0398bee9de0a439b99b87630,"[""s3ic_0398bee9de0a439b99b87630""]","[""s3ic_0398bee9de0a439b99b87630""]","[""s3ic_0398bee9de0a439b99b87630"", ""s3ic_eaf1cd1f65d3a27af6b05b50""]","[""s3ic_0398bee9de0a439b99b87630"", ""s3ic_eaf1cd1f65d3a27af6b05b50""]",4,2,2,4,"{""0"": 2, ""1"": 2}",False,False,True,WITHIN_FROZEN_CANDIDATE_BUFFER_REVIEW,NOT_ASSIGNED,UNCHANGED
214580615536,"[214580615536, 443657059329]",1,18.452925728261462,s3ic_7d51a2515f2a8ea3fb8a62f8,[],"[""s3ic_7d51a2515f2a8ea3fb8a62f8""]","[""s3ic_1f137d6b5cd4349145bbcba2"", ""s3ic_bebbe3ff5e576814c4cf38a6""]","[""s3ic_bebbe3ff5e576814c4cf38a6""]",4,1,3,3,"{""0"": 2, ""1"": 2}",False,False,True,WITHIN_CANDIDATE_PAIR_DISTANCE_REVIEW,NOT_ASSIGNED,UNCHANGED
302593890672,"[302593890672, 601698434049]",1,10.79368780316566,s3ic_bdd988eb4e044973f86b37a2,[],"[""s3ic_bdd988eb4e044973f86b37a2"", ""s3ic_fdddbd6c0ca9ba443724e792""]","[""s3ic_80aaeee1a6b65c900d879410"", ""s3ic_bdd988eb4e044973f86b37a2"", ""s3ic_d02000fd2e305527a645f2c0""]","[""s3ic_80aaeee1a6b65c900d879410"", ""s3ic_bdd988eb4e044973f86b37a2""]",4,3,1,3,"{""0"": 2, ""1"": 2}",False,False,True,WITHIN_CANDIDATE_PAIR_DISTANCE_REVIEW,NOT_ASSIGNED,UNCHANGED
309573212528,[309573212528],1,32.991237083356786,s3ic_08628e51903eb90ce399207e,[],[],"[""s3ic_08628e51903eb90ce399207e"", ""s3ic_c6c26a8babf741670a63b3cc""]",[],5,2,3,3,"{""0"": 5}",False,False,True,OUTSIDE_BUFFERS_NO_DIRECT_COMPLEX_ANCHOR,NOT_ASSIGNED,UNCHANGED
310512736624,[310512736624],1,17.762452617837635,s3ic_0eadd8e6b0a730bb1429d9dd,[],"[""s3ic_0eadd8e6b0a730bb1429d9dd""]","[""s3ic_3ad06d71d64fd155b0963b2e""]","[""s3ic_3ad06d71d64fd155b0963b2e""]",2,1,1,2,"{""0"": 2}",False,False,False,WITHIN_CANDIDATE_PAIR_DISTANCE_REVIEW,NOT_ASSIGNED,UNCHANGED
313700407664,"[313700407664, 626730040321]",1,12.25748793559973,s3ic_ebfc82159b0dc6e21a92317a,[],"[""s3ic_ebfc82159b0dc6e21a92317a""]","[""s3ic_fae3156f351334ddfcd2c339""]","[""s3ic_fae3156f351334ddfcd2c339""]",4,3,1,3,"{""0"": 2, ""1"": 2}",False,False,True,WITHIN_CANDIDATE_PAIR_DISTANCE_REVIEW,NOT_ASSIGNED,UNCHANGED
315009367041,[315009367041],2,6.230486232887285,s3ic_d3357a0fcb8129aa0e184cd1,"[""s3ic_d3357a0fcb8129aa0e184cd1""]","[""s3ic_d3357a0fcb8129aa0e184cd1""]","[""s3ic_08f3223bea8c1849ac35a3d2"", ""s3ic_1443061358c4def3c53dbe25"", ""s3ic_d3357a0fcb8129aa0e184cd1""]","[""s3ic_08f3223bea8c1849ac35a3d2"", ""s3ic_d3357a0fcb8129aa0e184cd1""]",5,4,4,4,"{""1"": 5}",False,False,True,WITHIN_FROZEN_CANDIDATE_BUFFER_REVIEW,NOT_ASSIGNED,UNCHANGED
316015663472,"[316015663472, 630723017729]",1,18.406168101185262,s3ic_29f2386fbad068735173d7e9,[],"[""s3ic_29f2386fbad068735173d7e9""]","[""s3ic_29f2386fbad068735173d7e9"", ""s3ic_7f8fae2071e3072c73a40c1a"", ""s3ic_abc00da1e6283186bcee7e85""]","[""s3ic_29f2386fbad068735173d7e9"", ""s3ic_7f8fae2071e3072c73a40c1a""]",5,2,3,4,"{""0"": 2, ""1"": 3}",True,False,True,WITHIN_CANDIDATE_PAIR_DISTANCE_REVIEW,NOT_ASSIGNED,UNCHANGED
