epoch_id,witness_role,witness_arcs,counts,all_arcs_present,D13_A1_at_5pct
0730,BASELINE,15,"{""PRESENT"":8,""STAGE3_NOT_ESTABLISHED_OR_NOT_FEASIBLE"":7}",False,True
0730,A1_ALTERNATIVE,15,"{""PRESENT"":8,""STAGE3_NOT_ESTABLISHED_OR_NOT_FEASIBLE"":7}",False,True
0830,BASELINE,13,"{""PRESENT"":4,""STAGE3_NOT_ESTABLISHED_OR_NOT_FEASIBLE"":9}",False,False
0830,A1_ALTERNATIVE,13,"{""PRESENT"":3,""STAGE3_NOT_ESTABLISHED_OR_NOT_FEASIBLE"":10}",False,False
1300,BASELINE,14,"{""STAGE3_NOT_ESTABLISHED_OR_NOT_FEASIBLE"":7,""PRESENT"":7}",False,False
1300,A1_ALTERNATIVE,14,"{""STAGE3_NOT_ESTABLISHED_OR_NOT_FEASIBLE"":8,""PRESENT"":6}",False,False
1800,BASELINE,11,"{""STAGE3_NOT_ESTABLISHED_OR_NOT_FEASIBLE"":5,""PRESENT"":6}",False,True
1800,A1_ALTERNATIVE,11,"{""STAGE3_NOT_ESTABLISHED_OR_NOT_FEASIBLE"":5,""PRESENT"":6}",False,True
1830,BASELINE,9,"{""STAGE3_NOT_ESTABLISHED_OR_NOT_FEASIBLE"":4,""PRESENT"":5}",False,True
1830,A1_ALTERNATIVE,9,"{""STAGE3_NOT_ESTABLISHED_OR_NOT_FEASIBLE"":4,""PRESENT"":5}",False,True
