epoch_id,condition,layer,E_AV,U_AV,M_AV,O_HA,E_HV
0730,D13,SPATIAL,6816,55,55,55,2334
0730,D13,PASSENGER,4675,36,36,36,2334
0730,D13,STRUCTURAL_D13,2754,18,18,18,2334
0730,D13,TOPK,258,18,18,18,713
0730,D13,VALID_ETA,258,18,18,18,713
0730,D13,PATIENCE,23,6,6,3,11
0730,D13,SESSION,23,6,6,2,10
0830,D13,SPATIAL,8422,67,67,67,3300
0830,D13,PASSENGER,5734,44,44,44,3300
0830,D13,STRUCTURAL_D13,3049,22,22,22,3300
0830,D13,TOPK,310,22,22,22,914
0830,D13,VALID_ETA,310,22,22,22,914
0830,D13,PATIENCE,10,3,3,1,7
0830,D13,SESSION,10,3,3,1,3
1200,D13,SPATIAL,9088,76,76,76,3815
1200,D13,PASSENGER,5480,50,50,50,3815
1200,D13,STRUCTURAL_D13,3783,30,30,30,3815
1200,D13,TOPK,414,30,30,29,896
1200,D13,VALID_ETA,414,30,30,29,896
1200,D13,PATIENCE,16,8,7,4,16
1200,D13,SESSION,16,8,7,1,9
1300,D13,SPATIAL,6104,50,50,49,3490
1300,D13,PASSENGER,4371,34,34,34,3490
1300,D13,STRUCTURAL_D13,2502,20,20,20,3490
1300,D13,TOPK,253,20,20,20,640
1300,D13,VALID_ETA,253,20,20,20,640
1300,D13,PATIENCE,15,5,5,2,19
1300,D13,SESSION,15,5,5,1,8
1700,D13,SPATIAL,11035,80,80,80,9130
1700,D13,PASSENGER,8917,63,63,63,9130
1700,D13,STRUCTURAL_D13,4643,35,35,35,9130
1700,D13,TOPK,336,35,35,35,1182
1700,D13,VALID_ETA,336,35,35,35,1182
1700,D13,PATIENCE,6,2,2,0,6
1700,D13,SESSION,6,2,2,0,3
1730,D13,SPATIAL,11813,85,85,85,8804
1730,D13,PASSENGER,7129,52,52,52,8804
1730,D13,STRUCTURAL_D13,3820,24,24,24,8804
1730,D13,TOPK,267,24,24,24,1327
1730,D13,VALID_ETA,267,24,24,24,1327
1730,D13,PATIENCE,7,4,3,1,31
1730,D13,SESSION,7,4,3,0,19
1800,D13,SPATIAL,13462,94,94,94,11329
1800,D13,PASSENGER,9582,63,63,63,11329
1800,D13,STRUCTURAL_D13,5490,36,36,36,11329
1800,D13,TOPK,375,36,36,36,1391
1800,D13,VALID_ETA,375,36,36,36,1391
1800,D13,PATIENCE,15,4,4,1,24
1800,D13,SESSION,15,4,4,1,18
1830,D13,SPATIAL,11162,80,80,80,9840
1830,D13,PASSENGER,7638,57,57,57,9840
1830,D13,STRUCTURAL_D13,4829,36,36,36,9840
1830,D13,TOPK,306,35,35,35,1259
1830,D13,VALID_ETA,306,35,35,35,1259
1830,D13,PATIENCE,6,4,4,2,8
1830,D13,SESSION,6,4,4,2,5
2100,D13,SPATIAL,11008,86,84,86,6418
2100,D13,PASSENGER,7922,59,59,59,6418
2100,D13,STRUCTURAL_D13,4862,38,38,38,6418
2100,D13,TOPK,425,38,38,38,1142
2100,D13,VALID_ETA,425,38,38,38,1142
2100,D13,PATIENCE,24,6,6,1,23
2100,D13,SESSION,24,6,6,1,7
2300,D13,SPATIAL,6270,47,47,47,2822
2300,D13,PASSENGER,3996,35,35,35,2822
2300,D13,STRUCTURAL_D13,3074,24,24,24,2822
2300,D13,TOPK,247,24,24,24,596
2300,D13,VALID_ETA,247,24,24,24,596
2300,D13,PATIENCE,1,1,1,0,11
2300,D13,SESSION,1,1,1,0,0
